DRG_Long_Desc,Average_Charge_Per_Case,Average_Medicare_Payment_Per_Case
003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE; MOUTH & NECK W MAJ O.R.,1272156.62,111878.15
004 - TRACH W MV >96 HRS OR PDX EXC FACE; MOUTH & NECK W/O MAJ O.R.,812884.55,No Medicare Payment Available
020 - INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,457108.68,No Medicare Payment Available
023 - CRANIO W MAJOR DEV IMPL/ACUTE CNS PDX W MCC OR CHEMO IMPL OR EPILEPSY W NEUROSTM,296197.63,29716.19
025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,318660.07,24483
026 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,279634.13,16667.23
027 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,185689.84,14121.5
029 - SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,226145.4,14408.66
030 - SPINAL PROCEDURES W/O CC/MCC,245235.67,No Medicare Payment Available
031 - VENTRICULAR SHUNT PROCEDURES W MCC,270427.98,26010.44
032 - VENTRICULAR SHUNT PROCEDURES W CC,253284.15,12784.58
033 - VENTRICULAR SHUNT PROCEDURES W/O CC/MCC,198883.64,No Medicare Payment Available
037 - EXTRACRANIAL PROCEDURES W MCC,118931.71,18548.32
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,81822.88,7244.35
040 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,299531.05,11821.77
041 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,71910.42,No Medicare Payment Available
042 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC,220672,No Medicare Payment Available
052 - SPINAL DISORDERS & INJURIES W CC/MCC,147434.97,11121.78
054 - NERVOUS SYSTEM NEOPLASMS W MCC,70838.58,7696.59
055 - NERVOUS SYSTEM NEOPLASMS W/O MCC,65386.69,No Medicare Payment Available
