DRG_Long_Desc,Average_Charge_Per_Case,Average_Medicare_Payment_Per_Case
003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE; MOUTH & NECK W MAJ O.R.,1282320.65,116144.41
004 - TRACH W MV >96 HRS OR PDX EXC FACE; MOUTH & NECK W/O MAJ O.R.,717577.26,55985.43
020 - INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,815566.4,66956.68
021 - INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,850159.82,67308.27
022 - INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W/O CC/MCC,328569.05,No Medicare Payment Available
023 - CRANIO W MAJOR DEV IMPL/ACUTE CNS PDX W MCC OR CHEMO IMPL OR EPILEPSY W NEUROSTM,358789.55,33649.59
024 - CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC,248642.49,22897.02
025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,395435.99,28969.56
026 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,315687.73,23393
027 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,356332.81,19573.77
028 - SPINAL PROCEDURES W MCC,429578.74,34308.51
029 - SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,326874.44,23608.91
030 - SPINAL PROCEDURES W/O CC/MCC,276044.15,14627.76
031 - VENTRICULAR SHUNT PROCEDURES W MCC,315725.02,41709.88
032 - VENTRICULAR SHUNT PROCEDURES W CC,120716.18,13912.99
033 - VENTRICULAR SHUNT PROCEDURES W/O CC/MCC,125440.11,11112.78
034 - CAROTID ARTERY STENT PROCEDURE W MCC,228673.05,22257.02
035 - CAROTID ARTERY STENT PROCEDURE W CC,192928.64,14348.76
036 - CAROTID ARTERY STENT PROCEDURE W/O CC/MCC,129968.96,11479
037 - EXTRACRANIAL PROCEDURES W MCC,664013.04,No Medicare Payment Available
038 - EXTRACRANIAL PROCEDURES W CC,150750.85,10330.02
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,96120.56,6720.67
040 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,249914.94,24542.48
041 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,146490.09,16296.69
042 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC,110029.01,12398.39
052 - SPINAL DISORDERS & INJURIES W CC/MCC,249795.8,No Medicare Payment Available
053 - SPINAL DISORDERS & INJURIES W/O CC/MCC,97005.73,5819.2
054 - NERVOUS SYSTEM NEOPLASMS W MCC,154021.27,13539.67
055 - NERVOUS SYSTEM NEOPLASMS W/O MCC,95157.22,7835.81
056 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,134357.96,21390.83
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,116675.41,20841.96
058 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W MCC,50407.67,No Medicare Payment Available
059 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,79523.21,6750.71
060 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,80519.55,4671.85
061 - ISCHEMIC STROKE; PRECEREBRAL OCCL OR TRANS ISCHEMIA W THROMBOLYTIC AGENT W MCC,206702.22,17988.63
062 - ISCHEMIC STROKE; PRECEREBRAL OCCL OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W C,145973.94,14753.86
063 - ISCHEMIC STROKE; PRECEREBRAL OCCL OR TRANSIENT ISCHEMIA W THROMB AGENT W/O CC/MC,121460.89,10569.85
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,130081.32,12324.44
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,89922.97,6765.33
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,70073.07,4982.17
067 - NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W MCC,133618.93,5534.27
068 - NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,81188.53,6106.43
069 - TRANSIENT ISCHEMIA W/O THROMBOLYTIC,74408.35,4925.92
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,89987.21,10434.32
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,56563.27,7425.78
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,56454.99,3980.36
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,62965.98,8970.06
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,78482.67,6657.82
075 - VIRAL MENINGITIS W CC/MCC,95545.04,15461.61
076 - VIRAL MENINGITIS W/O CC/MCC,76196.82,No Medicare Payment Available
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,76478.37,No Medicare Payment Available
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,44032.97,6652.27
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,62913.81,No Medicare Payment Available
