Description, CurrPrice 
FINE NDL ASP W/IMAGE GUIDE,$459.00 
DRAIN W/CATH PLACE SFTTIS W/IM,"$3,041.00 "
PLMT SOFT TISS LOC DEV 1ST LES,"$10,211.00 "
INC & DRN ABSC; SG OR SIMP,$554.00 
INCIS&DRAIN ABSC:SIMPLE/SINGLE,$554.00 
INC & DRN HEMA/SER OR FLD COL,$739.00 
I&D HEMATOMA SEROMA OR FLUID,$739.00 
INCISION & DRAINAGE - HEMATOMA,$739.00 
ABSCESS SKIN CYST/ASPIRA,$910.00 
COMPLEX DRAINAGE WOUND,"$3,409.00 "
WOUND DEBRIDEMENT,"$6,879.00 "
"DEBRIDE, SUBQ, 1ST 20 SQ CM","$6,879.00 "
DEB MUSC/FASCIA 20 SQ CM/&LT;,"$6,879.00 "
"DEBRIDE, MUSC/FASC, 1ST 20CM","$6,879.00 "
"DEBRIDE, BONE, 1ST 20 CM","$6,879.00 "
"DEBRIDE, SUB Q, EA ADDT'L 20CM","$6,879.00 "
"DEBRIDE, MUSC/FASC ADD 20CM","$6,879.00 "
PAR/CUT BENIGN HYPERKERATOTIC,"$1,922.00 "
BIOPSY OF SKIN 1 LESION,"$1,563.00 "
"TRIMOF NONDYST NAILS, ANY NUM",$151.00 
DEBRIDE OF NAIL 6>NAILS,"$1,563.00 "
REPAIR SIMPLE 2.5 CM OR LESS,$948.00 
REPAIR SIMPLE 2.6 TO 7.5 SNG,$959.00 
REPAIR SIMPLE 7.6 TO 12.5 SNG,"$1,333.00 "
REPAIR SIMPLE 2.5 CM OR LESS,$948.00 
REP SPFC WND FEENLM 2.6-5.0 CM,"$1,320.00 "
REP SPFC WND FEENLM 5.1-7.5 CM,"$1,557.00 "
LAYER CLOSE WNDS 2.6CM-7.5CM,"$1,322.00 "
INTERMED REPAIR N/H/F <2.5CM,"$1,322.00 "
SURGICAL PREP - T/A/L/<100SQCM,"$8,408.00 "
SKIN SUB 100 CM; 1ST 25 CM,"$8,130.00 "
SKIN SUB 100 CM EA ADD 25CM,"$8,130.00 "
SKIN SUB TO 100 CM 1ST 25CM,"$8,130.00 "
CHEMICAL CAUT.,"$1,563.00 "
"PUNCTURE ASPIR CYST, BREAST","$1,175.00 "
BR BX W/CLIP SPEC STEREO 1ST,"$10,211.00 "
BR BX W/CLIP SPEC STEREO ADD'L,"$8,649.00 "
BR BX W/CLIP SPEC W/US 1ST,"$10,211.00 "
BR BX W/CLIP SPEC W/US ADD'L,"$4,445.00 "
"NEEDLE LOC, 1ST LESION W/MAMMO","$3,724.00 "
"NEEDLE LOC, ADDTL LES W/MAMMO","$3,724.00 "
"NEEDLE LOC, 1ST LESION W/ULTRA","$8,649.00 "
"NEEDLE LOC, ADDTL W/ULTRA","$4,805.00 "
MUSCLE PERC BIOPSY,"$1,096.00 "
BONE SUPERFIC PERC BIOPS,"$1,151.00 "
BONE DEEP PERCUT BIOPSY,"$1,982.00 "
XR INJECTION SINUS TRACT,"$6,301.00 "
INJ TEN SH/LIG/TRIG PT G/CYST,"$1,564.00 "
"INJ, SGL/MULT TRIG PTS 1-2MUSC","$1,922.00 "
