Temple University Health System,,,,
Episcopal Hospital,,,,
FY18 Charges by DRG,,,,
,,,,
MS DRG,Description,Cases,Total Charges,Avg Charge
25,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC MS,1,"$417,511 ","$417,511 "
29,SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS MS,2,"653,570","326,785"
57,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC MS,1,"134,092","134,092"
66,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC MS,1,"45,016","45,016"
74,CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC MS,2,"278,346","139,173"
90,CONCUSSION W/O CC/MCC MS,1,"44,592","44,592"
92,OTHER DISORDERS OF NERVOUS SYSTEM W CC MS,1,"32,156","32,156"
96,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W/O CC/MCC MS,1,"173,074","173,074"
149,DYSEQUILIBRIUM MS,2,"63,985","31,993"
153,OTITIS MEDIA & URI W/O MCC MS,3,"163,341","54,447"
158,DENTAL & ORAL DISEASES W CC MS,1,"43,762","43,762"
176,PULMONARY EMBOLISM W/O MCC MS,5,"262,331","52,466"
178,RESPIRATORY INFECTIONS & INFLAMMATIONS W CC MS,3,"189,535","63,178"
189,PULMONARY EDEMA & RESPIRATORY FAILURE MS,10,"483,323","48,332"
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC MS,18,"1,241,034","68,946"
191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC MS,29,"1,709,240","58,939"
192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC MS,30,"1,678,749","55,958"
193,SIMPLE PNEUMONIA & PLEURISY W MCC MS,7,"650,486","92,927"
194,SIMPLE PNEUMONIA & PLEURISY W CC MS,17,"819,810","48,224"
195,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC MS,12,"560,085","46,674"
202,BRONCHITIS & ASTHMA W CC/MCC MS,22,"1,360,952","61,861"
203,BRONCHITIS & ASTHMA W/O CC/MCC MS,29,"1,188,876","40,996"
204,RESPIRATORY SIGNS & SYMPTOMS MS,4,"225,960","56,490"
219,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W MCC MS,1,"1,491,742","1,491,742"
288,ACUTE & SUBACUTE ENDOCARDITIS W MCC MS,5,"1,283,974","256,795"
289,ACUTE & SUBACUTE ENDOCARDITIS W CC MS,2,"411,078","205,539"
290,ACUTE & SUBACUTE ENDOCARDITIS W/O CC/MCC MS,1,"70,114","70,114"
291,HEART FAILURE & SHOCK W MCC MS,19,"1,288,039","67,792"
292,HEART FAILURE & SHOCK W CC MS,18,"1,023,596","56,866"
293,HEART FAILURE & SHOCK W/O CC/MCC MS,13,"592,699","45,592"
300,PERIPHERAL VASCULAR DISORDERS W CC MS,1,"193,814","193,814"
301,PERIPHERAL VASCULAR DISORDERS W/O CC/MCC MS,1,"45,061","45,061"
303,ATHEROSCLEROSIS W/O MCC MS,2,"292,610","146,305"
305,HYPERTENSION W/O MCC MS,3,"81,829","27,276"
309,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC MS,3,"161,969","53,990"
310,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC MS,3,"128,422","42,807"
312,SYNCOPE & COLLAPSE MS,6,"265,381","44,230"
313,CHEST PAIN MS,27,"1,320,606","48,911"
314,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC MS,2,"256,681","128,341"
315,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC MS,1,"280,413","280,413"
316,OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC MS,1,"27,340","27,340"
343,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC MS,1,"71,188","71,188"
371,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC MS,1,"334,391","334,391"
372,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC MS,1,"395,809","395,809"
375,DIGESTIVE MALIGNANCY W CC MS,1,"100,084","100,084"
377,G.I. HEMORRHAGE W MCC MS,1,"620,603","620,603"
378,G.I. HEMORRHAGE W CC MS,1,"41,439","41,439"
387,INFLAMMATORY BOWEL DISEASE W/O CC/MCC MS,1,"80,369","80,369"
391,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC MS",1,"40,607","40,607"
392,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC MS",17,"690,365","40,610"
439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC MS,3,"174,619","58,206"
440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC MS,1,"30,345","30,345"
441,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W MCC MS",1,"191,635","191,635"
442,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W CC MS",1,"73,640","73,640"
474,AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W MCC MS,1,"300,874","300,874"
478,BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC MS,1,"388,755","388,755"
507,MAJOR SHOULDER OR ELBOW JOINT PROCEDURES W CC/MCC MS,1,"424,368","424,368"
549,SEPTIC ARTHRITIS W CC MS,1,"148,726","148,726"
557,"TENDONITIS, MYOSITIS & BURSITIS W MCC MS",1,"61,962","61,962"
558,"TENDONITIS, MYOSITIS & BURSITIS W/O MCC MS",17,"740,239","43,543"
561,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W/O CC/MCC MS",1,"26,762","26,762"
566,OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W/O CC/MCC MS,1,"53,243","53,243"
571,SKIN DEBRIDEMENT W CC MS,1,"38,883","38,883"
580,"OTHER SKIN, SUBCUT TISS & BREAST PROC W CC MS",7,"292,928","41,847"
581,"OTHER SKIN, SUBCUT TISS & BREAST PROC W/O CC/MCC MS",2,"61,584","30,792"
603,CELLULITIS W/O MCC MS,43,"1,933,363","44,962"
605,"TRAUMA TO THE SKIN, SUBCUT TISS & BREAST W/O MCC MS",1,"27,829","27,829"
