Procedure ID,Description,Amount
297,ABCIXIMAB 10 MG INJ     ,5504.00
317,ACARBOSE 50MG TAB       ,50.00
329,ACEBUTOLOL 400MG TAB    ,53.00
334,ACEBUTOLOL 200MG TAB    ,51.00
335,ACETAMIN/BUTALBITL 325MG,61.00
346,ACETAMIN/BUTALBITL/CAFFE,61.00
374,ACETAMIN/COD 12.5ML LIQ ,26.00
378,ACETAMIN/CODEINE #2 TAB ,55.00
380,ACETAMIN/COD 5ML LIQ    ,39.00
382,ACETAMIN/CODEINE #3 TAB ,61.00
383,ACETAMIN/CODEINE #4 TAB ,55.00
385,ACETAMINOPHEN 120MG SUPP,6.00
467,ACETAZOLAMIDE 25MG/1MLOS,44.00
494,ACETAZOLAMIDE 250MG TAB ,50.00
626,ACETAZOLAMIDE 500MG SA C,55.00
637,ACETAZOLAMIDE 500 MG INJ,1025.00
654,ACETIC ACID 2% 15ML OT  ,200.00
692,ACETIC ACID/HC 10ML OT  ,1320.00
693,ACETYLCHOLINE 1% 2ML OP ,243.00
697,INH ACETYLCYST NONCMP 1G,478.00
698,ACETYLCYSTEI 10% 30ML VL,195.00
724,ACETYLCYSTEI 20% 30ML VL,1148.00
728,INH ACETYLCYSTN 10% 4ML ,207.00
735,INH ACETYLCYSTN 20% 4ML ,222.00
736,ACITRETIN 25MG CAP      ,143.00
766,ACLOMETASON 0.05% 15GMCR,471.00
829,ACTIVATED CHAR/SORB 25GM,104.00
830,ACTIVATED CHAR/SORB 50GM,130.00
831,ACTIVATED CHARCOAL 25GM ,102.00
844,ACTIVATED CHARCOAL 50GM ,130.00
845,ACYCLOVIR 200MG CAP     ,63.00
871,ACYCLOVIR 200MG/5ML LIQ ,50.00
886,ACYCLOVIR 5% TOP 15 GM  ,1185.00
892,ACYCLOVIR 40MG/ML 1ML   ,48.00
1124,ACYCLOVIR 800MG TAB     ,82.00
1141,ALBUMIN INF 5% 50ML     ,585.00
1151,ALBUTEROL 0.5% 20ML INH ,759.00
1153,ALBUTEROL 200MCG CAP    ,55.00
1154,ALBUTEROL 2MG TAB       ,50.00
1158,ALBUTEROL 4MG SA TAB    ,50.00
1159,ALBUTEROL 2MG/5ML LIQ   ,62.00
1162,ALBUTEROL 4MG TAB       ,50.00
1166,ALBUTEROL 90MCG 6.8GMINH,17.00
1171,INH ALBUTEROL/IPR 14.7GM,865.00
