Enc - MS DRG,Enc - MS DRG Desc,Sum of Average Charge
775,VAGINAL DELIVERY W/O COMPLICATING DIAGNOSES,"19,293 "
794,NEONATE W OTHER SIGNIFICANT PROBLEMS,"6,655 "
795,NORMAL NEWBORN,"4,193 "
885,PSYCHOSES,"23,377 "
765,CESAREAN SECTION W CC/MCC,"36,276 "
789,"NEONATES, DIED OR TRANSFERRED TO ANOTHER ACUTE CARE FACILITY","12,194 "
101,SEIZURES W/O MCC,"37,889 "
812,RED BLOOD CELL DISORDERS W/O MCC,"31,038 "
203,BRONCHITIS  ASTHMA W/O CC/MCC,"9,373 "
392,"ESOPHAGITIS, GASTROENT  MISC DIGEST DISORDERS W/O MCC","23,059 "
774,VAGINAL DELIVERY W COMPLICATING DIAGNOSES,"25,011 "
470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"50,424 "
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC,"69,042 "
641,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC","22,105 "
202,BRONCHITIS  ASTHMA W CC/MCC,"23,093 "
291,HEART FAILURE  SHOCK W MCC OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),"46,411 "
793,FULL TERM NEONATE W MAJOR PROBLEMS,"54,666 "
791,PREMATURITY W MAJOR PROBLEMS,"231,851 "
781,OTHER ANTEPARTUM DIAGNOSES W MEDICAL COMPLICATIONS,"22,277 "
847,CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,"46,642 "
603,CELLULITIS W/O MCC,"18,364 "
064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,"67,445 "
025,CRANIOTOMY  ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,"185,272 "
189,PULMONARY EDEMA  RESPIRATORY FAILURE,"43,581 "
330,MAJOR SMALL  LARGE BOWEL PROCEDURES W CC,"95,906 "
219,CARDIAC VALVE  OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W MCC,"245,081 "
766,CESAREAN SECTION W/O CC/MCC,"28,049 "
177,RESPIRATORY INFECTIONS  INFLAMMATIONS W MCC,"103,002 "
690,KIDNEY  URINARY TRACT INFECTIONS W/O MCC,"21,184 "
951,OTHER FACTORS INFLUENCING HEALTH STATUS,"13,050 "
640,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC","40,875 "
194,SIMPLE PNEUMONIA  PLEURISY W CC,"24,797 "
792,PREMATURITY W/O MAJOR PROBLEMS,"27,885 "
065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,"39,145 "
280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC","56,132 "
460,SPINAL FUSION EXCEPT CERVICAL W/O MCC,"115,622 "
638,DIABETES W CC,"27,595 "
153,OTITIS MEDIA  URI W/O MCC,"12,999 "
918,POISONING  TOXIC EFFECTS OF DRUGS W/O MCC,"25,205 "
881,DEPRESSIVE NEUROSES,"14,256 "
314,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,"69,117 "
853,INFECTIOUS  PARASITIC DISEASES W O.R. PROCEDURE W MCC,"230,204 "
193,SIMPLE PNEUMONIA  PLEURISY W MCC,"43,380 "
683,RENAL FAILURE W CC,"38,257 "
100,SEIZURES W MCC,"69,067 "
897,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,"16,127 "
003,"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH  NECK W MAJ O.R.","679,697 "
880,ACUTE ADJUSTMENT REACTION  PSYCHOSOCIAL DYSFUNCTION,"20,361 "
809,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS  COAGUL W CC,"50,216 "
292,HEART FAILURE  SHOCK W CC,"28,157 "
682,RENAL FAILURE W MCC,"51,448 "
220,CARDIAC VALVE  OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,"173,673 "
378,G.I. HEMORRHAGE W CC,"34,529 "
917,POISONING  TOXIC EFFECTS OF DRUGS W MCC,"41,180 "
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,"36,946 "
286,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC","101,835 "
208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,"74,413 "
481,HIP  FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,"80,075 "
027,CRANIOTOMY  ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,"105,007 "
309,CARDIAC ARRHYTHMIA  CONDUCTION DISORDERS W CC,"27,585 "
494,"LOWER EXTREM  HUMER PROC EXCEPT HIP,FOOT,FEMUR W/O CC/MCC","56,555 "
866,VIRAL ILLNESS W/O MCC,"19,591 "
776,POSTPARTUM  POST ABORTION DIAGNOSES W/O O.R. PROCEDURE,"16,337 "
164,MAJOR CHEST PROCEDURES W CC,"86,436 "
391,"ESOPHAGITIS, GASTROENT  MISC DIGEST DISORDERS W MCC","47,045 "
699,OTHER KIDNEY  URINARY TRACT DIAGNOSES W CC,"42,234 "
767,VAGINAL DELIVERY W STERILIZATION /OR DC,"28,593 "
235,CORONARY BYPASS W/O CARDIAC CATH W MCC,"194,601 "
639,DIABETES W/O CC/MCC,"17,156 "
390,G.I. OBSTRUCTION W/O CC/MCC,"15,020 "
315,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,"52,849 "
811,RED BLOOD CELL DISORDERS W MCC,"64,765 "
023,CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PDX W MCC OR CHEMOTHERAPY IMPLANT OR EPILEPSY W NEUROSTIMULATOR,"190,501 "
195,SIMPLE PNEUMONIA  PLEURISY W/O CC/MCC,"10,903 "
389,G.I. OBSTRUCTION W CC,"26,413 "
698,OTHER KIDNEY  URINARY TRACT DIAGNOSES W MCC,"54,499 "
981,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,"184,617 "
948,SIGNS  SYMPTOMS W/O MCC,"31,786 "
329,MAJOR SMALL  LARGE BOWEL PROCEDURES W MCC,"183,472 "
331,MAJOR SMALL  LARGE BOWEL PROCEDURES W/O CC/MCC,"61,150 "
790,"EXTREME IMMATURITY OR RESPIRATORY DISTRESS SYNDROME, NEONATE","639,006 "
394,OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,"35,314 "
552,MEDICAL BACK PROBLEMS W/O MCC,"26,235 "
054,NERVOUS SYSTEM NEOPLASMS W MCC,"52,323 "
026,CRANIOTOMY  ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,"117,590 "
872,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC,"39,249 "
621,O.R. PROCEDURES FOR OBESITY W/O CC/MCC,"54,490 "
252,OTHER VASCULAR PROCEDURES W MCC,"133,964 "
