H,ID,Facility                        ,Procedure ,Description                   ,Department     ,Chg Cat ,CPT-4 Eff Date,CPT-4 ,HCPC Eff Date,HCPC   ,Std Chg Eff Date,Std Chg,
D,IX,BEACHWOOD,10600050,INTERRUPTED STAY ROOM         ,86144071106,180,              ,      ,             ,       ,1/1/2017,1929.2,
D,IX,BEACHWOOD,10600400,INTERMEDIATE REHAB PRIVATE    ,86144071106,118,              ,      ,             ,       ,2/1/2017,1929.2,
D,IX,BEACHWOOD,10600450,INTERMEDIATE REHAB SEMI-PRIV  ,86144071106,128,              ,      ,             ,       ,2/1/2017,1929.2,
D,IX,BEACHWOOD,10600460,3/4 BED REHAB SEMI-PRIVATE    ,86144071106,138,              ,      ,             ,       ,2/1/2017,1929.2,
D,IX,BEACHWOOD,10600470,DELUXE REHAB PRIVATE          ,86144071106,148,              ,      ,             ,       ,2/1/2017,1929.2,
D,IX,BEACHWOOD,10600480,WARD REHAB SEMI-PRIVATE       ,86144071106,158,              ,      ,             ,       ,2/1/2017,1929.2,
D,IX,BEACHWOOD,33124000,"KIT, BERMAN ORAL AIRWAY, POLYB",86144071331,270,              ,      ,             ,       ,2/1/2017,13.44,
D,IX,BEACHWOOD,33124001,"DRESSING, MEPILEX, BORDR, HEEL",86144071331,270,              ,      ,             ,       ,2/1/2017,81.63,
D,IX,BEACHWOOD,33124002,"DRESSING, FOAM, MEPILEX, BORDE",86144071331,270,              ,      ,             ,       ,2/1/2017,24.61,
D,IX,BEACHWOOD,33124003,"HIBICLENS, LIQUID, FLIP-TOP 4O",86144071331,270,              ,      ,             ,       ,2/1/2017,23.79,
D,IX,BEACHWOOD,33124004,"CUTTER / CRUSHER, PILL        ",86144071331,270,              ,      ,             ,       ,2/1/2017,22.48,
D,IX,BEACHWOOD,33124005,"SET, FLUID WARMING            ",86144071331,270,              ,      ,             ,       ,2/1/2017,69.56,
D,IX,BEACHWOOD,33124006,"MOISTURIZER, ORAL, MOUTH,.35OZ",86144071331,270,              ,      ,             ,       ,2/1/2017,7.44,
D,IX,BEACHWOOD,33124012,"SYRINGE, CATHETER TIP, 2 0Z -O",86144071331,270,              ,      ,             ,       ,2/1/2017,4.71,
D,IX,BEACHWOOD,33124015,"DEVICE, BLOOD TRANSFER, W/LUER",86144071331,270,              ,      ,             ,       ,2/1/2017,5.13,
D,IX,BEACHWOOD,33124017,"SET, BLOOD COLLECT, 21G X .75 ",86144071331,270,              ,      ,             ,       ,2/1/2017,6.06,
D,IX,BEACHWOOD,33124018,"SET, BLOOD COLLECT, 23G X .75 ",86144071331,270,              ,      ,             ,       ,2/1/2017,4.85,
D,IX,BEACHWOOD,33124019,"NEEDLE, 21GX1.25,BLOOD COLLEC ",86144071331,270,              ,      ,             ,       ,2/1/2017,2.61,
D,IX,BEACHWOOD,33124020,"SET, IRRIGATION, BLADDER / TUR",86144071331,270,              ,      ,             ,       ,2/1/2017,76.65,
D,IX,BEACHWOOD,33124021,"SOLUTION, SODIUM CHLORIDE, 0.9",86144071331,270,              ,      ,             ,       ,2/1/2017,19.36,
D,IX,BEACHWOOD,33124023,"SET, IV, ADMIN, 2 ULTRASITE, U",86144071331,270,              ,      ,             ,       ,2/1/2017,21.73,
D,IX,BEACHWOOD,33124024,"SET, INFUSION, ADMIN, UNIVERSA",86144071331,270,              ,      ,             ,       ,2/1/2017,22.79,
D,IX,BEACHWOOD,33124025,"FILTER STRAW, 1-3/4, 5 MICRON ",86144071331,270,              ,      ,             ,       ,2/1/2017,2.64,
D,IX,BEACHWOOD,33124026,HUBERWINGEDINFSET22GX1        ,86144071331,270,              ,      ,             ,       ,2/1/2017,22.07,
D,IX,BEACHWOOD,33124027,HUBER WINGED INF SET 20GX1-1/2,86144071331,270,              ,      ,             ,       ,2/1/2017,22.02,
