PROCEDURE,DESCRIPTION,DEPARTMENT,CHG CAT,STD AMOUNT,CPT,HCPC,A
10600018,SEMI PRIVATE ROOM,37174895106,120,3304,,,Y
10600026,PRIVATE  ROOM,37174895106,110,3031,,,Y
10600042,TELEMETRY ROOM SEMI-PRIVATE,37174895106,120,2475,,,Y
10600300,INTERMEDIATE ICU ROOM,37174895106,206,6666,,,Y
10600310,INTERMEDIATE CCU ROOM,37174895106,214,5500,,,Y
10800018,SEMI PRIVATE ROOM,37174895108,120,2475,,,Y
10800026,PRIVATE ROOM,37174895108,110,2888,,,Y
11100018,ICU,37174895111,200,7209,,,Y
11100026,ICU,37174895111,200,5500,,,Y
11400010,RECOVERY RM 0-30,37174895114,710,856,,,Y
11400020,RECOV RM EA ADDTL 30,37174895114,710,314,,,Y
11400030,DAY SURGERY-FLOOR RECOVERY,37174895114,710,356,,,Y
11600001,PROCEDURE RM-1ST 30 MIN,37174895116,761,708,,,Y
11600002,PROCEDURE RM-EA ADDTL 30,37174895116,761,347,,,Y
11600010,O.R. 0-30 MINUTES,37174895116,360,2422,,,Y
11600020,O.R. EACH ADDTL 30 MIN,37174895116,360,1569,,,Y
11600031,CYSTOSCOPY,37174895116,361,2373,,,Y
11600032,J-TUBE PLACEMENT,37174895116,361,1496,,,Y
11600050,BRONCHOSCOPY DIAGNOSTIC,37174895116,360,1852,,,Y
11600051,BRONCHOSCOPY-THERAPEUTC,37174895116,360,1095,,,Y
11600052,LARYNGOSCOPY,37174895116,360,606,,,Y
11600060,COLONOSCOPY,37174895116,360,2601,,,Y
11600070,GASTROSCOPY,37174895116,360,1963,,,Y
11600071,GASTRO-PEG INSERTION,37174895116,360,2790,,,Y
11600080,ENDOSCOPY,37174895116,360,1814,,,Y
11600081,ENDOSCOPY W/BIOPSY,37174895116,360,1954,,,Y
11600083,ENDOSCOPY W/TUBE &CATH,37174895116,360,1843,,,Y
11600084,ENDOSCOPY W/SCLERO THERAPY,37174895116,360,1843,,,Y
11600087,ESOPHAGOSCOPY,37174895116,360,1486,,,Y
11600090,SIGMOIDOSCOPY,37174895116,360,1072,,,Y
11600100,THORACENTESIS,37174895116,360,836,,,Y
11600110,CENTRAL LINE INSERTION,37174895116,761,1319,36569,,Y
11600112,PERCUTANEOUS TRACHEOSTOMY,37174895116,360,462,,,Y
11600130,"WOUND DEBRIDEMENT, CLOSUR",37174895116,360,1128,,,Y
11600140,INSERTION OF ARTERIAL LIN,37174895116,360,721,,,Y
11600150,PARACENTESIS,37174895116,360,1177,,,Y
11600153,SUCTION IRRIGATION,37174895116,360,231,,,Y
11600155,PEG TUBE INSERTION - NOT OR,37174895116,750,1632,,,Y
11600156,PEG TUBE INSERTION - OR,37174895116,360,3421,43246,,Y
11600160,INCISION/DRAINAGE OF ABCE,37174895116,360,347,,,Y
11600161,BRONCHOSCOPY PRO,37174895116,360,496,,,Y
11600180,CHEST TUBE INSERTION,37174895116,360,906,,,Y
11600190,EGD,37174895116,360,2243,,,Y
11600206,PERMACATH,37174895116,360,2124,,,Y
11600208,PEG PLACEMENT,37174895116,360,1960,,,Y
11600305,CYSTOSCOPY FLEXIBLE,37174895116,360,1447,,,Y
11600315,SKIN GRAFT,37174895116,360,12649,,,Y
11600320,LUMBAR PUNCTURE,37174895116,360,837,,,Y
11600379,O.R. RM 1 HR,37174895116,360,5198,,,Y
11600380,O.R. RM 1-2HR,37174895116,360,10339,,,Y
11600381,O.R. RM 2-3HR,37174895116,360,15454,,,Y
11600382,O.R. RM 3-4HR,37174895116,360,20210,,,Y
11600383,O.R. RM 4-5HR,37174895116,360,25985,,,Y
11600398,"TRAY, CARDIOVASCULAR",37174895116,272,120,,,Y
