Service Area|Px Code|Procedure Description|Supply #|Unit Price
WS SERVICE AREA|1004|PRE-PAYMENT ELECTIVE|102371|153.65
WS SERVICE AREA|271110052|HC DRESSING SM PICC CVC CHG+ SCR|54925|39.38
WS SERVICE AREA|271110053|HC DRESSING LG PICC CVC CHG+ SCR|54926|40.30
WS SERVICE AREA|27237433|HC CATH SWAN GANZ VIP OXY 7.5FR|47021|1,141.40
WS SERVICE AREA|271108957|HC MASK AF421 EE LEAK|51392|81.74
WS SERVICE AREA|271108956|HC MASK LAF421 EE LEEK NA|51391|81.74
WS SERVICE AREA|271108958|HC MASK S AF421 EE LEAK I NA|51393|81.74
WS SERVICE AREA|27164539|HC AIRWAY ESOPH 7MM LMA FST CUFF|75683|294.13
WS SERVICE AREA|272110037|HC DRESSING AG 2X3 MEPITEL|54752|28.32
WS SERVICE AREA|272110038|HC DRESSING AG 3X4 MEPITEL|54753|46.01
WS SERVICE AREA|272110039|HC DRESSING AG 4X5 MEPITEL|54754|63.66
WS SERVICE AREA|272110040|HC DRESSING AG 4X7 MEPITEL|54755|98.34
WS SERVICE AREA|272110041|HC DRESSING AG 8X12 MEPITEL|54756|275.91
WS SERVICE AREA|272110042|HC DRESSING AG 8X20 MEPITEL|54757|463.41
WS SERVICE AREA|272110447|HC CATHETER 12FR 25CM DRAIN AP|56687|417.05
WS SERVICE AREA|272110448|HC CATHETER 14FR 25CM DRAIN AP|56688|417.05
WS SERVICE AREA|272110449|HC CATHETER 16FR 25CM DRAIN AP|56689|307.30
WS SERVICE AREA|272002623|HC CATHETER TRANSLUMIN DRUG COAT|69693|6,478.00
WS SERVICE AREA|272002623|HC CATHETER TRANSLUMIN DRUG COAT|69694|5,885.50
WS SERVICE AREA|272002623|HC CATHETER TRANSLUMIN DRUG COAT|69695|5,885.50
WS SERVICE AREA|272002623|HC CATHETER TRANSLUMIN DRUG COAT|69696|6,478.00
WS SERVICE AREA|272002623|HC CATHETER TRANSLUMIN DRUG COAT|69697|7,070.50
WS SERVICE AREA|272002623|HC CATHETER TRANSLUMIN DRUG COAT|69698|5,885.50
WS SERVICE AREA|272002623|HC CATHETER TRANSLUMIN DRUG COAT|69699|5,885.50
WS SERVICE AREA|272002623|HC CATHETER TRANSLUMIN DRUG COAT|69700|7,070.50
WS SERVICE AREA|272002623|HC CATHETER TRANSLUMIN DRUG COAT|69701|5,885.50
WS SERVICE AREA|272002623|HC CATHETER TRANSLUMIN DRUG COAT|69702|5,885.50
WS SERVICE AREA|272002623|HC CATHETER TRANSLUMIN DRUG COAT|69703|6,478.00
WS SERVICE AREA|272002623|HC CATHETER TRANSLUMIN DRUG COAT|69704|7,070.50
WS SERVICE AREA|272002623|HC CATHETER TRANSLUMIN DRUG COAT|78035|5,569.50
WS SERVICE AREA|272002623|HC CATHETER TRANSLUMIN DRUG COAT|80324|5,885.50
WS SERVICE AREA|278110328|HC ALLODERM LG RTU THIN 164SQCM|56087|18,288.50
WS SERVICE AREA|27896299|HC TISSUE FLEXHD 6X16CM HD THK|9902|8,850.37
WS SERVICE AREA|278110416|HC SURGIMEND 3X3CM PER .5 SQCM|56314|829.71
WS SERVICE AREA|27006729|HC MASK ANES INF ULTHN CSH INF VLV|3003|5.62
WS SERVICE AREA|27064720|HC MASK ANES PED ULTHN CSH INF VLV|14571|5.62
WS SERVICE AREA|270110487|HC COVER AIR WARM PED 57.1X40.2IN UPR FRC|56880|42.54
WS SERVICE AREA|27296426|HC CATHETER THRMB 132CM 5MAX ACE|20573|9,756.50
WS SERVICE AREA|27802999|HC STENT SYS 3.5X15MM|21424|18,802.00
WS SERVICE AREA|27803006|HC STENT SYS 4.5X15MM|21430|18,802.00
WS SERVICE AREA|27298771|HC GUIDEWIRE SNCHR2 300CM STD|21437|2,514.18
WS SERVICE AREA|27205346|HC CATHETER BALL DIL .014IN/4/135|22803|1,097.50
WS SERVICE AREA|27823031|HC CEMENT BN CDS KYP BALLOON|29956|373.15
WS SERVICE AREA|27223033|HC GUN CEMENT BN SZ 2 CDS KYP|29957|1,295.05
WS SERVICE AREA|27830159|HC CEMENT BN XPEDE TAP SZ 2|43098|685.67
WS SERVICE AREA|27885359|HC SYSTEM EMBOL 190CM 4.5MM|5652|6,122.50
WS SERVICE AREA|27286468|HC INTRODUCER ORTH KPHPK XPR 1ST|5986|11,257.50
