Service Area|Px Code|Generic Name|CPT(R)/HCPCS Code|NDC|Unit Price|Override Bill Code|Override Price
WS SERVICE AREA|6370001|montelukast 5 mg chewable tablet||00781555592|31.86||
WS SERVICE AREA|6370001|amoxicillin 200 mg-potassium clavulanate 28.5 mg chewable tablet||00093227034|19.91||
WS SERVICE AREA|6370001|clonazePAM 1 mg disintegrating tablet||49884030902|4.25||
WS SERVICE AREA|6370001|clonazePAM 2 mg disintegrating tablet||49884031002|4.25||
WS SERVICE AREA|6370001|emtricitabine 200 mg-rilpivirine 25 mg-tenofovir alafenam 25 mg tablet||61958210101|629.09||
WS SERVICE AREA|6370001|ascorbic acid (vitamin C) 1,000 mg tablet||00904501360|4.25||
WS SERVICE AREA|6370001|acetaminophen 80 mg chewable tablet||00904525646|4.00||
WS SERVICE AREA|6370001|acetaminophen 80 mg chewable tablet||00536101407|4.00||
WS SERVICE AREA|25010077|rho(D) immune globulin 1,500 unit (300 mcg)/2 mL injection syringe|J2791|44206030090|935.02||
WS SERVICE AREA|25010029|aminophylline 250 mg/10 mL intravenous solution|J0280|00409592101|81.18||
WS SERVICE AREA|25010034|gadobenate dimeglumine 529 mg/mL(0.1 mmol/0.2 mL) intravenous solution|A9577|00270516415|126.00||
WS SERVICE AREA|25010044|DOBUTamine 500 mg/40 mL (12.5 mg/mL) intravenous solution|J1250|00409202554|84.25||
WS SERVICE AREA|25010045|regadenoson 0.4 mg/5 mL intravenous syringe|J2785|00469650189|923.40|J2785|
WS SERVICE AREA|25010050|iohexol 300 mg iodine/mL intravenous solution|Q9967|00407141310|155.00||
WS SERVICE AREA|25010050|iopamidol 76 % intravenous solution|Q9967|00270131698|155.00||
WS SERVICE AREA|34010048||A9541|00000005113|250.70||
WS SERVICE AREA|25010076|sipuleucel-T in lactated ringers 50 million cell/250 mL IV suspension|Q2043|30237890006|127,850.00||
WS SERVICE AREA|25010065|famotidine 10 mg/mL intravenous solution||63323073820|15.75||
WS SERVICE AREA|25010065|EPINEPHrine 0.3 mg/0.3 mL injection, auto-injector||49502010202|874.50||
WS SERVICE AREA|25010065|EPINEPHrine 0.3 mg/0.3 mL injection, auto-injector||49502050001|1,774.10||
WS SERVICE AREA|25010065|fluorescein 500 mg/5 mL (10 %) intravenous solution||00065009265|332.58||
WS SERVICE AREA|25010065|fluorescein 0.25 %-proparacaine 0.5 % eye drops||54799050721|4.25||
WS SERVICE AREA|25010065|flurbiprofen 0.03 % eye drops||24208031425|61.46||
WS SERVICE AREA|25010065|indocyanine green 25 mg solution for injection||25431042402|45.41||
WS SERVICE AREA|25010065|indocyanine green 25 mg solution for injection||17478070125|45.41||
WS SERVICE AREA|25010065|indocyanine green 25 mg solution for injection||17238042406|42.39||
WS SERVICE AREA|25010065|indocyanine green 25 mg solution for injection||17238042425|42.39||
WS SERVICE AREA|25010065|indomethacin 1 mg intravenous solution||63323065903|3,083.72||
WS SERVICE AREA|25010065|indomethacin 1 mg intravenous solution||63323065909|2,308.68||
WS SERVICE AREA|25010065|labetalol 5 mg/mL intravenous solution||00409226720|24.28||
WS SERVICE AREA|25010065|labetalol 5 mg/mL intravenous solution||00409226725|15.75||
WS SERVICE AREA|25010065|labetalol 5 mg/mL intravenous solution||00143962201|42.84||
WS SERVICE AREA|25010065|lidocaine (PF) 10 mg/mL (1 %) injection solution||00409427902|20.99||
WS SERVICE AREA|25010065|lidocaine (PF) 10 mg/mL (1 %) injection solution||00409471332|15.75||
WS SERVICE AREA|25010065|lidocaine (PF) 10 mg/mL (1 %) injection solution||00409471302|15.75||
WS SERVICE AREA|25010065|lidocaine (PF) 10 mg/mL (1 %) injection solution||63323049297|36.91||
WS SERVICE AREA|25010065|lidocaine (PF) 10 mg/mL (1 %) injection solution||63323049280|15.75||
WS SERVICE AREA|25010065|lidocaine (PF) 10 mg/mL (1 %) injection solution||63323049237|73.26||
WS SERVICE AREA|25010065|lidocaine (PF) 10 mg/mL (1 %) injection solution||55150016102|15.75||
WS SERVICE AREA|25010065|lidocaine (PF) 10 mg/mL (1 %) injection solution||00409471342|15.75||
WS SERVICE AREA|25010065|lidocaine (PF) 20 mg/mL (2 %) injection solution||00409206605|17.49||
WS SERVICE AREA|25010065|lidocaine (PF) 20 mg/mL (2 %) injection solution||63323049697|43.05||
WS SERVICE AREA|25010065|lidocaine (PF) 20 mg/mL (2 %) injection solution||63323049507|20.35||
WS SERVICE AREA|25010065|lidocaine 1 %-epinephrine 1:100,000 injection solution||00409317801|15.75||
WS SERVICE AREA|25010065|lidocaine 1 %-epinephrine 1:100,000 injection solution||00409317803|15.75||
WS SERVICE AREA|25010065|lidocaine 1 %-epinephrine 1:100,000 injection solution||63323048227|15.75||
WS SERVICE AREA|25010065|lidocaine 20 mg/mL (2 %)-epinephrine 1:100,000 injection solution||00409318201|15.75||
WS SERVICE AREA|25010065|lidocaine 20 mg/mL (2 %)-epinephrine 1:100,000 injection solution||63323048327|15.75||
WS SERVICE AREA|25010065|lidocaine-epinephrine (PF) 2 %-1:200,000 injection solution||63323048921|15.75||
WS SERVICE AREA|25010065|lidocaine-epinephrine (PF) 2 %-1:200,000 injection solution||63323048917|15.75||
WS SERVICE AREA|25010065|lidocaine-epinephrine (PF) 2 %-1:200,000 injection solution||63323048927|15.75||
WS SERVICE AREA|25010065|lidocaine-prilocaine 2.5 %-2.5 % topical cream||00168035755|58.19||
WS SERVICE AREA|25010065|lidocaine-prilocaine 2.5 %-2.5 % topical cream||17478019055|62.34||
WS SERVICE AREA|25010065|lidocaine-prilocaine 2.5 %-2.5 % topical cream||00115146845|324.40||
WS SERVICE AREA|25010065|lidocaine-prilocaine 2.5 %-2.5 % topical cream||00115146860|56.60||
WS SERVICE AREA|25010065|lidocaine-prilocaine 2.5 %-2.5 % topical cream||50383066730|374.04||
WS SERVICE AREA|25010065|mercaptopurine 50 mg tablet||68084032511|7.33||
WS SERVICE AREA|25010065|bupivacaine-epinephrine (PF) 0.25 %-1:200,000 injection solution||00409174630|15.75||
WS SERVICE AREA|25010065|bupivacaine-epinephrine (PF) 0.25 %-1:200,000 injection solution||00409904201|28.49||
WS SERVICE AREA|25010065|bupivacaine-epinephrine (PF) 0.25 %-1:200,000 injection solution||00409174610|15.75||
WS SERVICE AREA|25010065|bupivacaine-epinephrine (PF) 0.25 %-1:200,000 injection solution||63323046817|15.75||
WS SERVICE AREA|25010065|bupivacaine-epinephrine (PF) 0.25 %-1:200,000 injection solution||63323046837|15.75||
WS SERVICE AREA|25010065|bupivacaine-epinephrine (PF) 0.25 %-1:200,000 injection solution||00409904217|20.35||
WS SERVICE AREA|25010065|bupivacaine-epinephrine (PF) 0.25 %-1:200,000 injection solution||00409904210|15.75||
WS SERVICE AREA|25010065|mepivacaine (PF) 20 mg/mL (2 %) injection solution||63323029427|15.75||
WS SERVICE AREA|25010065|bupivacaine (PF) 0.5 % (5 mg/mL) injection solution||00409156010|15.75||
WS SERVICE AREA|25010065|bupivacaine (PF) 0.5 % (5 mg/mL) injection solution||00409156029|15.75||
WS SERVICE AREA|25010065|bupivacaine (PF) 0.5 % (5 mg/mL) injection solution||00409116202|15.75||
WS SERVICE AREA|25010065|bupivacaine (PF) 0.5 % (5 mg/mL) injection solution||63323046637|15.75||
WS SERVICE AREA|25010065|bupivacaine (PF) 0.5 % (5 mg/mL) injection solution||63323046617|16.28||
WS SERVICE AREA|25010065|bupivacaine (PF) 0.5 % (5 mg/mL) injection solution||55150016910|15.75||
WS SERVICE AREA|25010065|metroNIDAZOLE 0.75 % vaginal gel||00245086070|1,147.73||
WS SERVICE AREA|25010065|metroNIDAZOLE 0.75 % vaginal gel||00781707787|1,075.78||
WS SERVICE AREA|25010065|neomycin 3.5 mg/g-polymyxin B 10,000 unit/g-dexameth 0.1 % eye oint||24208079535|139.81||
WS SERVICE AREA|25010065|neomycin 3.5 mg/g-polymyxin B 10,000 unit/g-dexameth 0.1 % eye oint||61314063136|309.75||
WS SERVICE AREA|25010065|mivacurium chloride 2 mg/mL injection solution||00074436510|213.34||
WS SERVICE AREA|25010065|lidocaine (PF) 5 mg/mL (0.5 %) injection solution||00409427801|27.49||
WS SERVICE AREA|25010065|lidocaine (PF) 5 mg/mL (0.5 %) injection solution||63323049157|89.96||
WS SERVICE AREA|25010065|bupivacaine-epinephrine (PF) 0.5 %-1:200,000 injection solution||00409174929|15.75||
WS SERVICE AREA|25010065|bupivacaine-epinephrine (PF) 0.5 %-1:200,000 injection solution||00409904501|15.75||
WS SERVICE AREA|25010065|bupivacaine-epinephrine (PF) 0.5 %-1:200,000 injection solution||63323046231|15.75||
WS SERVICE AREA|25010065|bupivacaine-epinephrine (PF) 0.5 %-1:200,000 injection solution||63323046237|15.75||
WS SERVICE AREA|25010065|bupivacaine-epinephrine (PF) 0.5 %-1:200,000 injection solution||00409904517|15.75||
WS SERVICE AREA|25010065|bupivacaine-epinephrine (PF) 0.5 %-1:200,000 injection solution||63323046217|17.81||
WS SERVICE AREA|25010065|mvi, adult no.1 with vit K 3,300 unit-150 mcg/10 mL intravenous soln||54643565002|999.85||
WS SERVICE AREA|25010065|mvi, adult no.1 with vit K 3,300 unit-150 mcg/10 mL intravenous soln||54643564901|144.44||
WS SERVICE AREA|25010065|mupirocin 2 % topical ointment||45802011222|79.14||
WS SERVICE AREA|25010065|neomycin-polymyxin-dexameth 3.5 mg/mL-10,000 unit/mL-0.1% eye drops||24208083060|139.81||
WS SERVICE AREA|25010065|norepinephrine bitartrate 1 mg/mL intravenous solution||00409144304|144.46||
WS SERVICE AREA|25010065|norepinephrine bitartrate 1 mg/mL intravenous solution||00409337504|144.46||
WS SERVICE AREA|25010065|norepinephrine bitartrate 1 mg/mL intravenous solution||36000016210|62.49||
WS SERVICE AREA|25010065|norepinephrine bitartrate 1 mg/mL intravenous solution||00409337525|142.31||
WS SERVICE AREA|25010065|balanced salt solution combination no.2 intraocular irrigation||00065079515|58.19||
WS SERVICE AREA|25010065|balanced salt solution combination no.2 intraocular irrigation||00065079550|204.16||
WS SERVICE AREA|25010065|clindamycin 300 mg/2 mL intravenous solution||00409405303|33.76||
WS SERVICE AREA|25010065|clindamycin 600 mg/4 mL intravenous solution||00409405403|36.33||
WS SERVICE AREA|25010065|clindamycin 600 mg/4 mL intravenous solution||47781046369|36.33||
WS SERVICE AREA|25010065|clindamycin 900 mg/6 mL intravenous solution||00409405503|36.76||
WS SERVICE AREA|25010065|clindamycin 900 mg/6 mL intravenous solution||47781046469|36.76||
WS SERVICE AREA|25010065|hydroxocobalamin 5 gram intravenous solution||11704037001|4,788.30||
WS SERVICE AREA|25010065|propofol 10 mg/mL intravenous emulsion||00409469924|203.49||
WS SERVICE AREA|25010065|propofol 10 mg/mL intravenous emulsion||63323026950|107.10||
WS SERVICE AREA|25010065|propofol 10 mg/mL intravenous emulsion||63323027057|27.85||
WS SERVICE AREA|25010065|propofol 10 mg/mL intravenous emulsion||63323027026|15.75||
WS SERVICE AREA|25010065|propofol 10 mg/mL intravenous emulsion||25021060851|208.49||
WS SERVICE AREA|25010065|pyridostigmine bromide 5 mg/mL injection solution||00781304072|54.83||
WS SERVICE AREA|25010065|levothyroxine 100 mcg intravenous solution||63323064907|615.53||
WS SERVICE AREA|25010065|racepinephrine 2.25 % solution for nebulization||00487590199|8.80||
WS SERVICE AREA|25010065|racepinephrine 2.25 % solution for nebulization||00487278401|7.04||
WS SERVICE AREA|25010065|silver nitrate applicators 75 %-25 % topical stick||12870000101|4.26||
WS SERVICE AREA|25010065|silver nitrate applicators 75 %-25 % topical stick||12870000102|4.25||
WS SERVICE AREA|25010065|sodium bicarbonate 4 % intravenous solution||00409660902|54.48||
WS SERVICE AREA|25010065|SUFentanil citrate 50 mcg/mL intravenous solution||17478005002|15.75||
WS SERVICE AREA|25010065|sulfacetamide 10 %-prednisolone 0.2 % eye drops,suspension||11980002205|976.38||
WS SERVICE AREA|25010065|ticarcillin-clavulanate 3.1 gram intravenous solution||00029657126|95.18||
WS SERVICE AREA|25010065|timolol maleate 0.25 % eye drops||61314022605|105.60||
WS SERVICE AREA|25010065|timolol maleate 0.5 % eye drops||64980051405|119.68||
WS SERVICE AREA|25010065|timolol maleate 0.5 % eye drops||61314022705|119.68||
WS SERVICE AREA|25010065|timolol maleate 0.5 % eye drops||61314022710|227.74||
WS SERVICE AREA|25010065|tobramycin-dexamethasone 0.3 %-0.1 % eye ointment||00065064835|1,515.63||
WS SERVICE AREA|25010065|tobramycin 0.3 %-dexamethasone 0.1 % eye drops,suspension||24208029525|459.43||
WS SERVICE AREA|25010065|tranexamic acid 1,000 mg/10 mL (100 mg/mL) intravenous solution||00013111401|299.88||
WS SERVICE AREA|25010065|tranexamic acid 1,000 mg/10 mL (100 mg/mL) intravenous solution||00013111410|299.88||
WS SERVICE AREA|25010065|tranexamic acid 1,000 mg/10 mL (100 mg/mL) intravenous solution||63323056397|419.05||
WS SERVICE AREA|25010065|tranexamic acid 1,000 mg/10 mL (100 mg/mL) intravenous solution||67457029310|619.54||
WS SERVICE AREA|25010065|tranexamic acid 1,000 mg/10 mL (100 mg/mL) intravenous solution||39822100001|219.20||
WS SERVICE AREA|25010065|isoproterenol 0.2 mg/mL injection solution||00187433005|12,523.71||
WS SERVICE AREA|25010065|tromethamine 36 mg/mL (0.3 M) intravenous solution||00409159304|1,413.78||
WS SERVICE AREA|25010065|iodine strong (Lugols) 5 % oral solution||38779059808|1,362.24||
WS SERVICE AREA|25010065|iodine strong (Lugols) 5 % oral solution||00395277516|592.73||
WS SERVICE AREA|25010065|bupivacaine 0.25 % (2.5 mg/mL) injection solution||00409116001|15.75||
WS SERVICE AREA|25010065|bupivacaine 0.25 % (2.5 mg/mL) injection solution||63323046557|15.75||
WS SERVICE AREA|25010065|vecuronium bromide 10 mg intravenous solution||00409163249|31.56||
WS SERVICE AREA|25010065|vecuronium bromide 10 mg intravenous solution||67457057100|42.84||
WS SERVICE AREA|25010065|vecuronium bromide 10 mg intravenous solution||67457057110|42.84||
WS SERVICE AREA|25010065|vecuronium bromide 20 mg intravenous solution||00409163401|94.18||
WS SERVICE AREA|25010065|vecuronium bromide 20 mg intravenous solution||47335093240|121.38||
WS SERVICE AREA|25010065|indigotindisulfonate sodium 8 mg/mL (0.8 %) injection solution||00517037510|64.26||
WS SERVICE AREA|25010065|indigotindisulfonate sodium 8 mg/mL (0.8 %) injection solution||00517037505|1,202.44||
WS SERVICE AREA|25010065|sodium bicarbonate 1 mEq/mL (8.4 %) intravenous solution||00409662502|69.26||
WS SERVICE AREA|25010065|sodium bicarbonate 1 mEq/mL (8.4 %) intravenous solution||00409662525|32.13||
WS SERVICE AREA|25010065|sodium bicarbonate 1 mEq/mL (8.4 %) intravenous solution||63323008950|71.04||
WS SERVICE AREA|25010065|sodium bicarbonate 4.2 % intravenous solution||63323002605|18.21||
WS SERVICE AREA|25010065|calcium chloride 100 mg/mL (10 %) intravenous solution||00517271025|165.58||
WS SERVICE AREA|25010065|belladonna alkaloids-opium 16.2 mg-30 mg rectal suppository||00574704512|193.73||
WS SERVICE AREA|25010065|diluent for epoprostenol (glycine) intravenous solution||00173051801|100.67||
WS SERVICE AREA|25010065|diluent for epoprostenol (glycine) intravenous solution||00703925809|83.90||
WS SERVICE AREA|25010065|lidocaine 2 % mucosal solution||17856077502|6.34||
WS SERVICE AREA|25010065|lidocaine 2 % mucosal solution||50383077517|4.25||
WS SERVICE AREA|25010065|lidocaine 2 % mucosal solution||50383077515|4.25||
WS SERVICE AREA|25010065|lidocaine 2 % mucosal solution||50383077504|4.65||
WS SERVICE AREA|25010065|dextrose 50 % in water (D50W) intravenous syringe||00409751716|57.12||
WS SERVICE AREA|25010065|dextrose 50 % in water (D50W) intravenous syringe||76329330101|71.40||
WS SERVICE AREA|25010065|lidocaine 10 mg/mL (1 %) injection syringe||71019017007|27.42||
WS SERVICE AREA|25010065|acetylcysteine 100 mg/mL (10 %) solution||00517750425|35.07||
WS SERVICE AREA|25010065|bupivacaine (PF) 0.25 % (2.5 mg/mL) injection solution||00409115902|15.75||
WS SERVICE AREA|25010065|bupivacaine (PF) 0.25 % (2.5 mg/mL) injection solution||00409155910|15.75||
WS SERVICE AREA|25010065|bupivacaine (PF) 0.25 % (2.5 mg/mL) injection solution||00409155930|15.75||
WS SERVICE AREA|25010065|bupivacaine (PF) 0.25 % (2.5 mg/mL) injection solution||63323046431|15.75||
WS SERVICE AREA|25010065|bupivacaine (PF) 0.25 % (2.5 mg/mL) injection solution||63323046437|15.75||
WS SERVICE AREA|25010065|bupivacaine (PF) 0.25 % (2.5 mg/mL) injection solution||63323046417|18.67||
WS SERVICE AREA|25010065|bupivacaine (PF) 0.25 % (2.5 mg/mL) injection solution||55150016710|15.75||
WS SERVICE AREA|25010065|bupivacaine (PF) 0.25 % (2.5 mg/mL) injection solution||55150016830|15.75||
WS SERVICE AREA|25010065|bupivacaine (PF) 0.25 % (2.5 mg/mL) injection solution||00409115910|15.75||
WS SERVICE AREA|25010065|bupivacaine 0.5 % (5 mg/mL) injection solution||63323046757|15.75||
WS SERVICE AREA|25010065|bupivacaine (PF) 0.75 % (7.5 mg/mL) injection solution||00409116502|15.75||
WS SERVICE AREA|25010065|albuterol sulfate concentrate 2.5 mg/0.5 mL solution for nebulization|J7611|00487990130|6.34||
WS SERVICE AREA|25010065|activated charcoal-sorbitol 25 gram/120 mL oral suspension||00574012074|117.43||
WS SERVICE AREA|25010065|activated charcoal 50 gram/240 mL oral suspension||66689020208|285.54||
WS SERVICE AREA|25010065|activated charcoal 50 gram/240 mL oral suspension||00574012176|167.27||
WS SERVICE AREA|25010065|mvi, pedi no.1 with vit K 80 mg-400 unit-200 mcg/5 mL intravenous soln||54643564700|46.19||
WS SERVICE AREA|25010065|mvi, pedi no.1 with vit K 80 mg-400 unit-200 mcg/5 mL intravenous soln||61703042153|15.75||
WS SERVICE AREA|25010065|acetylcysteine 200 mg/mL (20 %) solution|J7608|00409330803|7.20||
WS SERVICE AREA|25010065|acetylcysteine 200 mg/mL (20 %) solution|J7608|00517760425|79.01||
