The information provided below is a comprehensive list of charges for each inpatient and outpatient service or item provided by Northside, also known as a chargemaster. 
It is not a helpful tool for patients seeking to comparison shop between hospitals or to estimate what health care services are going to cost them out of their own pocket. 
Northside reserves the right to change, delete, or otherwise modify its standard charges without any prior notice. 
For more information about the cost of your care, please contact one of Northside’s Financial Counselors at (404) 851-8694 or you may email to request a price estimate 
at Price.Estimate@Northside.com.



Northside Hospital System		
		
Charge Code	Charge Description	Charge
6580548	17 G 4.5 TOUHY NEEDLE	$128
7025144	17OH PROGESTERONE	$499
7145267	24 HR AMB EEG UNATTENDED	"$3,277"
7025153	25-OH VITAMIN D-3	$372
10720076	3D DX MAMMO BILATERAL	$294
10720078	3D DX MAMMO UNI OR BIL	$294
7256037	3-DIMENSIONAL SIMULATION	"$13,137"
7025604	5 HIAA URINE 24HR	$328
10724401	ABD PARACENTESIS W GUIDE	"$2,137"
7361099	ABG ANALYSIS PH ONLY	$229
7361036	ABG-ARTERIAL BLOOD GAS	$309
10725609	ABLATE PULM TUMOR PERQ CRYBL	"$15,724"
10725610	ABLATE PULM TUMOR PERQ CRYBL BIL	"$23,611"
10725556	ABLATION BONE TUMOR W/CRYO	"$13,716"
10726177	ABLATION BONE TUMOR W/RF	"$14,108"
10725182	ABLATION CRYO PERC LIVER	"$12,407"
10720038	ABLATION MICROWAVE KIDNEY	$952
10720037	ABLATION MICROWAVE LIVER	$952
10725187	ABLATION PROBE	"$5,623"
10725185	ABLATION RF PERC LIVER	"$12,761"
7020800	ABO TYPE	$126
7284619	ABR FULL HEARING DIAGNOSTIC	"$1,496"
7284621	ABR SCREEN UNIVERSAL	$455
7080842	"ABS THER APHERESIS, LEUKOCYTE"	"$6,148"
7080773	"ABS THER APHERESIS, TPX PLASMA"	"$6,148"
7020637	ABSORPTION STUDY	$528
10727414	ACCESS BILRY TREE SM BWL	"$7,777"
6751477	ACCUFLEX CANNULA	$117
7021801	ACETYLCHOL. RECEPT BIND. AB RIA	$269
7021803	ACETYLCHOL. RECEPT. BLOCK AB RIA	$341
3653145	ACETYLCHOLINE RECEP	$539
7025293	ACETYLCHOLINE RECEPTOR AB	$341
7021490	ACH RECEPTOR GANGLIONIC AB	$256
7284652	ACOUSTIC REFLEX DECAY & THRESHOLD	$305
7025294	ACTH	$337
3655021	ACTH STIMULATION PANEL ADRENAL	$320
7025940	ACYLCARNITINE QUANT	$337
7028024	ADAMTS 13 ACTIVITY	$665
7025163	ADENOVIRUS PCR QUANT	"$1,118"
6751463	ADHESION BARRIER MULTIPLE SHEETS	"$2,218"
6751464	ADHESION BARRIER SINGLE SHEET	"$1,182"
6751591	ADHESIVE SKIN TOP CLEAR	$64
6751590	ADHESIVE SKIN TOP FLEXIBLE	$64
10720124	ADJ LAP BAND VIA SQ PORT	"$1,133"
6781632	ADMIN FLU VACCINE	$44
6781012	ADMIN HEPATITIS B VACCINE	$44
7958110	ADMIN IMMUNIZ/TOXOID SQ OR IM	$44
6781159	ADMIN IMMUNIZ/TOXOID SQ OR IM ADD	$44
6755736	"ADULT LONG ARM,FIBERGLASS SPLINT"	$83
6755738	"ADULT LONG LEG,FIBERGLASS SPLINT"	$193
6755740	ADULT SHORT ARM FIBERGLASS SPLINT	$71
6755742	ADULT SHORT LEG FIBERGLASS SPLINT	$67
7361018	AEROSOL TX	$523
7021739	AFB ID BY NUCLEIC ACID PROBE	$464
7021740	AFB ID BY OTHER METHODS	$464
7027186	AFB M TB PCR WITH CULTURE REFLEX	$513
7025074	AFP TUMOR MARKER	$421
7022276	AG TYPING DONOR EA ANTIGEN	$71
6754749	AHMED GLAUCOMA VALVE PLATE	"$2,851"
7025951	ALBUMIN BODY FLUID	$180
7028166	ALBUMIN SERUM	$127
6754703	ALCON KNIFE BLADES	$153
6758888	ALCON SILICON OIL 1000	"$1,999"
7025298	ALDOLASE	$226
7025299	ALDOSTERONE	$569
7028705	ALKALINE PHOSPHATASE	$57
7026809	ALLERGEN IGG QUANT OR SEMIQUANT	$163
7080782	ALLO/MUD PBSC/BM PROC W/O CRYO	"$11,855"
7080825	ALLOGENEIC PBSC COLLECTION	"$8,924"
6751599	ALLOGRAFT LIQUID HUMAN AMNION	"$15,459"
6758890	ALOCN TOTAL PLUS	"$1,824"
7026239	ALPHA-1 ANTITRYPSIN	$126
7025533	ALPHA-1-ANTITRYPSIN PHENO	$90
7029305	ALT/SGPT SERUM	$61
7125914	AMBULATORY BP MONITOR RECORD	$347
7028576	AMIKACIN(AMIKIN) PEAK	$507
7028580	AMIKACIN(AMIKIN) RANDOM	$507
7028226	AMIKACIN(AMIKIN) TROUGH	$507
7026679	AMINO ACIDS 6+ QUANT BLOOD	"$1,860"
7028604	AMMONIA	$263
6523001	AMNIO PNDX U/S GUIDANCE.	$864
6523000	AMNIO PNDX.	$996
7028023	AMNIOTEST	$69
6751609	AMNIOTIC MEMBRANE LEVEL 1	"$1,436"
6751610	AMNIOTIC MEMBRANE LEVEL 2	"$2,756"
6751611	AMNIOTIC MEMBRANE LEVEL 3	"$7,579"
6751612	AMNIOTIC MEMBRANE LEVEL 4	"$17,886"
7021486	AMPHIPHYSIN ANTIBODY	$82
6607442	AMPLATZ DILATOR	"$1,359"
7028605	AMYLASE	$221
7028614	AMYLASE BODY FLUID	$221
7054003	AMYLASE FLUID	$221
10729941	AMYVID DOSE UP TO 10MCI	"$11,852"
7027071	ANA SCREEN	$320
7027178	ANA TITER	$296
6962041	ANALY CHIMERISM W/CELL SELECT EA	"$2,071"
7052021	ANALY GENE BRAF	"$1,742"
7052083	ANALY GENE EGFR	"$3,117"
6962025	ANALY GENE F2 20210G>A VARIANT	"$1,068"
6962026	ANALY GENE F5 LEIDEN VARIANT	"$1,068"
7022030	ANALY GENE FLT3 ITD VARIANT	"$2,682"
7022032	ANALY GENE HFE COMMON VARIANTS	$994
6962045	ANALY GENE JAK2 V617F VARIANT	"$1,061"
7052048	ANALY GENE KRAS 12 & 13	"$1,216"
7022058	ANALY GENE REARRANG TRB AMPLIFIED	$723
7022104	ANALY GENE REARRANG TRG	$688
7051854	ANALY GENE REARRANGE IGH AMPLFD	"$1,444"
6962035	ANALY GENE STR MARKERS	"$4,341"
7022053	ANALY PML/RAR COMMON BREAKPOINTS	"$1,896"
7022034	ANALY VARI REG SOMATIC MUTATN IGH	"$6,060"
6962110	ANALYSIS GENE NPM1 EXON 12 VAR	"$1,831"
6962098	ANALYSIS TRANS BCR/ABL MAJOR	"$1,030"
6962099	ANALYSIS TRANS BCR/ABL MINOR	"$1,030"
6962097	ANALYSIS TRANS BCR/ABL OTHER	"$1,030"
7021709	ANALYZE 20-25 CELLS	"$1,135"
6751573	ANCHOR LVL I	$299
6751576	ANCHOR LVL IV	"$1,295"
6751585	ANCHOR LVL IX	"$8,943"
6751577	ANCHOR LVL V	"$1,849"
6751578	ANCHOR LVL VI	"$2,802"
6751579	ANCHOR LVL VII	"$4,591"
6751584	ANCHOR LVL VIII	"$5,842"
6757739	ANCHORPORT MULTI CANNULA	$699
6757738	ANCHORPORT SINGLE CANNULA	$278
6705000	ANESTH GENERAL L&D	"$1,063"
7351290	ANESTHESIA 1ST 15 MINUTES	"$1,024"
7351291	ANESTHESIA EA ADDITIONAL 15 MIN	$361
6751614	ANGIOCATH 8167	$134
7025857	ANGIOTENSIN 1 CONVERT ENZYME CSF	$396
7025569	ANGIOTENSIN 1 CONVERTING ENZYME	$396
6756165	ANKLE CONTRACTURE BOOT	$302
6587290	ANLY IMPLANT PUMP W REPRO	$966
6587291	ANLY IMPLANT PUMP W REPRO/REFILL	"$1,829"
7030068	ANORECTAL MANOMETRY	"$3,889"
7026756	ANTI DNA DOUBLE STRAND	$203
7021010	ANTI GLIADIN IGA	$120
7021011	ANTI GLIADIN IGG	$120
7025738	ANTI GLOMERULAR ANTIBODY	$486
7027136	ANTI JO-1	$87
7026686	ANTI NEUTROPHIL CYTOPLASM AB	$446
7026758	ANTI RNP ANTIBODY	$203
7026213	ANTI SCLERODERMA ANTIBODY	$442
7026318	ANTI SMOOTH MUSCLE AB	$369
7026216	ANTI STRIATIONAL ANTIBODY	$512
7025460	ANTI THYROGLOBULIN ANTIBODY	$342
7025863	ANTI XA	$374
7020327	ANTIBODY ID EACH SELECTED CELL	$110
7020802	ANTIBODY IDENTIFICATION	$532
3655295	ANTI-PHOSPHATIDYLSERINE ANTIBODY	$132
7029337	ANTITHROMBIN III ACTIVITY	$450
7020770	APHERESIS PLASMA FROZEN 8-24	$272
7372781	APLY MLC DEVICE BELOW KNEE PT	$322
7148312	APNEA SLEEP STUDY	"$2,644"
7372701	AQTC THER W/THER EX EA 15 M	$180
6992701	AQTC THER W/THER EX EA 15 M PT	$180
6751628	ARGON LASER PROBE	"$1,043"
6608721	ARM SLING	$30
7026687	ARSENIC BLOOD	$584
6756144	ART LINE KIT AK4021	$112
6026030	ARTERIAL LINE INSERTION	"$3,770"
6751629	ARTHREX ACL KIT	"$1,436"
7380201	ARTIFICAL KIDNEY(FILTER)	$273
7021527	ASCA ELISA IGA SPECIFIC	$277
7021528	ASCA ELISA IGG SPECIFIC	$277
7022841	ASO STREP TITER	$233
10721143	ASP BLADDER INS CATH SUPRPUB	"$2,596"
6751634	ASPEN CERVICAL COLLAR	$215
7021795	ASPERGILLUS ANTIBODY	$124
7026031	ASPERGILLUS GALACTOMANAN ANTIGEN	$337
7021779	ASPERGILLUS PCR AMPLIFIED PROBE	$375
10727061	ASPIR PERQ INTERDISCAL DX	"$1,468"
10726107	ASPIRATION CYST BREAST EA ADDL	$395
10726106	ASPIRATION CYST BREAST INIT	$785
10725219	ASPIRATION CYST RENAL	"$2,327"
7173607	ASSESSMENT OF APHASIA PER HR	$840
7028736	AST/SGOT SERUM	$61
6753992	ASTIGMATISM CORRECTING LENS	"$2,536"
10721717	ATHERECTOMY AORTA	"$28,280"
10721718	ATHERECTOMY BRACHIO	"$28,280"
10721719	ATHERECTOMY ILIAC	"$28,280"
10721715	ATHERECTOMY RENAL	"$28,280"
10721716	ATHERECTOMY VISCERAL	"$28,280"
7284614	AUDIO EVALUATION	$411
7080744	AUTOLOGOUS PBSC COLLECTION	"$8,924"
