Item, Amount 
17-HYDROXYPROGESTERONE, 95.00 
3D RECON WITHOUT INDEPEN WS, 446.00 
5CC OSTEOCURE BEADS, 206.00 
"5-HIAA, PLASMA", 510.00 
"5-HIAA, URINE", 50.00 
"A1AT PROTEOTYPE S/Z, LC-MS/MS", 46.00 
AB ELUTION RBC, 39.90 
AB SCREEN LUMINEX SA CLASS II, 375.77 
AB SCREEN PRA LUMINEX CLASS I, 96.69 
AB SCREEN PRA LUMINEX CLASS II, 96.69 
abatacept (with maltose) 250 mg intravenous solution," 3,766.50 "
ABLATOR EFLEX PROBE," 1,372.25 "
ABLATOR EXTENDED LENGTH, 542.99 
ABLATOR OPES ASPIRATING 3MM, 481.25 
"ABORTION, INDUCED BY VAGINAL SUPPOSITORIES"," 1,349.00 "
ABUTMENT 10MM BA400," 4,884.55 "
ABUTMENT 12MM BA400," 4,884.55 "
ABUTMENT BAHA 8.5MM F/FLANGE," 4,154.15 "
ABUTMENT BONE BAHA 14MM," 4,884.55 "
ABUTMENT BONE BAHA 6MM," 4,884.55 "
ABUTMENT BONE BAHA 8MM," 4,884.55 "
"acamprosate 333 mg tablet,delayed release", 4.16 
ACAPELLA DEVICE DH OR DM, 145.00 
acarbose 25 mg tablet, 2.70 
ACCESS SYS BRAIN 12X8X3," 1,911.25 "
ACCESS SYS BRAIN 12X8X5," 1,911.25 "
ACCESS SYS BRAIN 12X8X7," 1,911.25 "
ACCESS SYS BRAIN 17X11X3," 1,911.25 "
ACCESS SYS BRAIN 17X11X5," 1,911.25 "
ACCESS SYS BRAIN 17X11X7," 1,911.25 "
ACCESS SYS BRAIN 21X15X3," 1,911.25 "
ACCESS SYS BRAIN 21X15X5," 1,911.25 "
ACCESS SYS BRAIN 21X15X7," 1,911.25 "
ACCORD 2 MM COCR CABLE W/CLAMP," 1,010.00 "
ACCORD 2MM COBALT CHROME, 620.00 
ACE TISSUEMEND 5X6CM," 4,111.25 "
"ACE, CSF", 75.00 
acebutolol 200 mg capsule, 3.25 
ACETABULAR TRITANIUM REV 56MM," 6,876.00 "
ACETAMINOPHEN, 84.00 
"acetaminophen 1,000 mg/100 mL (10 mg/mL) intravenous solution", 144.60 
acetaminophen 120 mg rectal suppository, 2.00 
acetaminophen 120 mg-codeine 12 mg/5 mL (5 mL) oral solution, 3.23 
acetaminophen 120 mg-codeine 12 mg/5 mL oral solution, 53.92 
acetaminophen 160 mg/5 mL (5 mL) oral solution, 11.85 
"acetaminophen 160 mg/5 mL (5 mL) oral solution,acetaminophen 160 mg/5 mL (5 mL) oral suspension,ACETAMINOPHEN 160 MG/5 ML ORAL SUSP", 9.00 
acetaminophen 160 mg/5 mL (5 mL) oral suspension, 6.15 
acetaminophen 300 mg-codeine 30 mg tablet, 2.00 
acetaminophen 325 mg rectal suppository, 2.14 
acetaminophen 325 mg tablet, 2.00 
acetaminophen 500 mg tablet, 2.00 
acetaminophen 650 mg rectal suppository, 2.00 
acetaminophen 650 mg/20.3 mL oral solution, 4.81 
acetaminophen 80 mg rectal suppository, 2.35 
acetaZOLAMIDE 250 mg tablet, 8.65 
acetaZOLAMIDE 500 mg solution for injection, 149.40 
acetic acid (bulk) 3 % liquid, 201.00 
ACETYLCHOL RECEPT MODULAT. AB, 18.00 
acetylcholine chloride 1 % (10 mg/mL) intraocular kit, 84.77 
acetylcysteine 100 mg/mL (10 %) solution, 2.39 
acetylcysteine 200 mg/mL (20 %) intravenous solution, 70.17 
acetylcysteine 200 mg/mL (20 %) solution, 18.38 
ACH RECEPTOR (MUSCLE) BINDING AB, 89.00 
ACHR GANGLIONIC NEURONAL AB, 18.00 
"ACID FAST STAIN, EACH", 30.00 
ACL DISP PK SOFT TISS FIXATION," 1,326.60 "
ACL DISPOSABLE KIT," 1,185.25 "
ACTH, 140.00 
ACTIFUSE ABX PUTTY 2.5ML," 1,650.00 "
ACTIFUSE ABX PUTTY 5ML," 2,818.75 "
ACTIFUSE SHAPE MD CYL 15X15MM," 2,062.50 "
ACTIFUSE SHAPE SM CYL 15X9MM," 1,100.00 "
activated charcoal 50 gram/240 mL oral suspension, 88.08 
activated charcoal-sorbitol 50 gram/240 mL oral suspension, 35.64 
ACUCISE SYSTEM 8 PROCEDURAL PK," 4,248.75 "
ACUTE MED/SURG PRIVATE ROOM, 485.00 
ACUTE/MED SURGE SEMI-PRIVATE ROOM, 485.00 
acyclovir 200 mg capsule, 6.08 
acyclovir 5 % topical ointment, 886.30 
acyclovir sodium 50 mg/mL intravenous solution, 67.50 
acyclovir sodium 500 mg intravenous solution, 133.74 
"ACYLCARNITINE, QUANTITATIVE", 55.00 
ADALIMUMAB CONCENTRATION, 242.00 
ADAPTER, 687.50 
ADAPTER 2B1-B1 2872," 2,165.63 "
ADAPTER AC CONTROLLER," 2,751.00 "
ADAPTER ATTAIN SELECT, 470.25 
ADAPTER BRADY," 1,010.00 "
ADAPTER CPS SAFESHEATH, 222.75 
ADAPTER DISP HAND SWITCH, 123.12 
ADAPTER ENPATH PACEMAKER, 620.00 
ADAPTER EXTENSION PACING LEAD, 620.00 
ADAPTER FEM BOLT PFC SIGMA, 620.00 
ADAPTER FEM OFST TRIATHLON 4MM," 2,751.00 "
ADAPTER FEM STEM PFC SGM 5 DEG," 4,470.00 "
ADAPTER FEM STEM TAPER 7DEG," 1,010.00 "
ADAPTER FEMORAL COLLAR," 2,751.00 "
ADAPTER LEAD 35 CM, 620.00 
ADAPTER LEAD 40 CM, 620.00 
ADAPTER LEAD ENPATH 6MM, 612.56 
ADAPTER NEEDLE BONE CEM CONF, 206.00 
ADAPTER OFFSET STEM 2MM, 620.00 
ADAPTER OFFSET STEM 4MM, 620.00 
ADAPTER OFFSET STEM 6MM, 620.00 
ADAPTER OFFSET TRIATHLON 2MM," 2,751.00 "
ADAPTER OSCOR LEAD IMPLANTABLE," 1,472.63 "
ADAPTER PACEMAKER LEAD, 618.75 
ADAPTER SLEEVE  TAPER -1 MM," 2,751.00 "
ADAPTER SLEEVE FEM HD XL +2MM, 206.00 
ADAPTER SLEEVE FEM HD XL +5MM, 206.00 
ADAPTER SLEEVE FEM HD XL +8MM, 620.00 
ADAPTER SLEEVE FEM HEAD +0MM," 1,010.00 "
ADAPTER STACKING OSS, 206.00 
ADAPTER STACKING OSS SEGMENTAL, 620.00 
ADAPTER STEM FEM EXT 5DEG," 1,010.00 "
ADAPTER USB CELLULAR, 618.75 
adenosine (diagnostic) 3 mg/mL intravenous solution, 644.10 
adenosine 3 mg/mL intravenous solution, 26.68 
"ADENOVIRUS AG, EIA", 117.00 
ADENOVIRUS IGG, 50.00 
ADENOVIRUS PCR, 153.00 
ADH ANTIDIURETIC, 256.00 
"ADSORPTION TECHNIQUE, EACH", 53.20 
"AEROBIC ORG ID DEFINITIVE, EA", 64.00 
AEROBIKA DEVICE, 118.00 
AEROSOL INTRA-PLEURAL TALC 4GM, 407.00 
AEROSOL TREATMENT, 90.00 
"AFP, MATERNAL SCREEN", 111.00 
AGENT BULK INJ CLLGN COAPTITE, 966.63 
AIRWAY ADAPTER-END TIDAL CO2, 15.00 
ALBUMIN (RL), 42.00 
"ALBUMIN, BODY FLUID (QUANT)", 42.00 
"albumin, human 25 % intravenous solution", 171.53 
"albumin, human 5 % intravenous solution", 221.22 
ALBUMIN-SERUM, 42.00 
albuterol sulfate 2 mg/5 mL syrup, 47.12 
albuterol sulfate 2.5 mg/3 mL (0.083 %) solution for nebulization, 2.00 
albuterol sulfate concentrate 2.5 mg/0.5 mL solution for nebulization, 2.70 
albuterol sulfate HFA 90 mcg/actuation aerosol inhaler, 115.90 
"ALCOHOL, BLOOD (MEDICAL)", 72.00 
ALDOLASE, 45.00 
ALDOSTERONE- SERUM, 184.00 
alendronate 5 mg tablet, 8.77 
alendronate 70 mg tablet, 46.04 
