SERVICE CATEGORY,CHARGE DESCRIPTION,2019 PRICING
Behavioral Health,1ST PSYCH COLLAB CARE MGMT,$286.00 
Behavioral Health,1ST/SBSQ PSYC COLLAB CARE,$138.00 
Behavioral Health,ACTIVITY THERAPY,$369.25 
Behavioral Health,BRIEF EMOTIONAL/BEHAV ASSESSMENT PR INSTR,$112.75 
Behavioral Health,DEVELOPMENTAL SCREENING W/ SCORE,$350.50 
Behavioral Health,DEVELOPMENTAL TESTING BY INSTRUMENT,$560.50 
Behavioral Health,ELECTRIC SHOCK THERAPY,"$1,195.25 "
Behavioral Health,EXAM NEUROBEHAVIORAL STATUS PER HOUR,$373.50 
Behavioral Health,HEALTH BEHAVIOR ASSMNT INIT EA 15 MIN,$112.75 
Behavioral Health,HEALTH BEHAVIOR ASSMNT INIT EA 15 MIN,$25.00 
Behavioral Health,HEALTH BEHAVIOR REASSESSMENT EA 15 MIN,$112.75 
Behavioral Health,HEALTH BEHAVIOR REASSESSMENT EA 15 MIN,$25.00 
Behavioral Health,INTERPRETATION OF RESULTS WITH FAMILY,$245.50 
Behavioral Health,INTERVENTION HLTH/BEHAVR FAM EA 15MN,$12.50 
Behavioral Health,INTERVENTION HLTH/BEHAVR FAM EA 15MN,$122.50 
Behavioral Health,INTERVENTION HLTH/BEHAVR FAM/PT EA 15MN,$25.00 
Behavioral Health,INTERVENTION HLTH/BEHAVR FAM/PT EA 15MN,$122.50 
Behavioral Health,INTERVENTION HLTH/BEHAVR GROUP EA 15MIN,$87.50 
Behavioral Health,INTERVENTION HLTH/BEHAVR IND EA 15MN,$124.25 
Behavioral Health,INTERVENTION HLTH/BEHAVR IND EA 15MN,$25.00 
Behavioral Health,MST DEVELOPMENTAL TESTING BY INSTRUMENT,$560.50 
Behavioral Health,NEURO PSYCH EXAM ADMIN BY COMPUTER,$204.00 
Behavioral Health,NEUROPSYCHOLOGICAL TESTNG MD PER HR,$346.00 
Behavioral Health,NEUROPSYCHOLOGICAL TESTNG MD PER HR,$238.75 
Behavioral Health,NEUROPSYCHOLOGICAL TESTNG TECH PER HR,$349.00 
Behavioral Health,NEUROPSYCHOLOGICAL TESTNG TECH PER HR,$238.75 
Behavioral Health,PBC PHARMACOLOGIC MGMNT W/ PSYCH SER,$167.00 
Behavioral Health,PBC PSYCH CRISIS 1ST HOUR,$338.75 
Behavioral Health,PBC PSYCH CRISIS EACH ADDL 30 MIN,$150.00 
Behavioral Health,PBC PSYCH TX 30 MIN W/ MED SERVICE,$100.25 
Behavioral Health,PBC PSYCH TX 45 MIN,$140.00 
Behavioral Health,PBC PSYCH TX 45 MIN W/ MED SERVICE,$131.50 
Behavioral Health,PBC PSYCH TX 60 MIN,$140.00 
Behavioral Health,PBC PSYCH TX 60 MIN W/ MED SERVICE,$131.50 
Behavioral Health,PHARMACOLOGIC MANAGEMENT W/ PSYCH SER,$167.00 
Behavioral Health,PREVENTIVE MED COUNSEL GROUP 30 MINS,$127.75 
Behavioral Health,PREVENTIVE MED COUNSEL GROUP 60 MINS,$140.25 
Behavioral Health,PSYCH CRISIS 1ST HOUR,$699.00 
Behavioral Health,PSYCH CRISIS EACH ADDL 30 MIN,$300.00 
Behavioral Health,PSYCH EVALUATION DIAGNOSTIC,$325.00 
Behavioral Health,PSYCH EVALUATION DIAGNOSTIC W/MED SERV,$140.00 
Behavioral Health,PSYCH EVALUATION DIAGNOSTIC W/MED SERV,$325.00 
Behavioral Health,PSYCH INTERACTIVE COMPLEXITY,$285.00 
Behavioral Health,PSYCH TESTING BY COMPUTER I&R,$204.00 
Behavioral Health,PSYCH TESTING BY TECHNICIAN PER HR I&R,$532.25 
Behavioral Health,PSYCH TREATMENT GROUP,$165.00 
Behavioral Health,PSYCH TREATMENT GROUP,$81.25 
Behavioral Health,PSYCH TREATMENT GROUP INTENSIVE OUTPAT,$330.00 
Behavioral Health,PSYCH TX 30 MIN,$163.25 
Behavioral Health,PSYCH TX 30 MIN W/ MED SERVICE,$176.50 
Behavioral Health,PSYCH TX 45 MIN,$251.25 
Behavioral Health,PSYCH TX 45 MIN W/ MED SERVICE,$276.50 
Behavioral Health,PSYCH TX 60 MIN,$289.50 
Behavioral Health,PSYCH TX 60 MIN W/ MED SERVICE,$313.75 
Behavioral Health,PSYCH TX FAMILY W/ PATIENT PRESENT,$271.00 
Behavioral Health,PSYCH TX FAMILY W/O PATIENT PRESENT,$265.50 
Behavioral Health,PSYCH TX MULTIPLE FAMILY GROUP,$164.00 
Behavioral Health,PSYCHIATRY DAY HOSPITAL,$699.25 
Behavioral Health,PSYCHOLOGICAL TESTING PER HOUR,$295.25 
Behavioral Health,PSYCHOTHERAPY 45-50 MIN MEDICARE PHP,$110.00 
Behavioral Health,SBSQ PSYC COLLAB CARE MGMT,$259.00 
Behavioral Health,STANDARDIZED COGNITIVE TEST PER HR,$280.00 
Behavioral Health,TMS TX SUBSQ MTR THRSH REDET W/DEL/MGNT,$259.00 
Behavioral Health,TRANSCRN MAGNETIC STIM TX INIT DEL/MGNT,$370.00 
Behavioral Health,TRANSCRN MAGNETIC STM TX SUBSQ DEL/MGNT,"$1,100.00 "
Cardiology,ABLATE AV NODE,"$8,086.25 "
Cardiology,ABLATION OF SECONDARY ARRHYTHMIA,"$12,759.75 "
Cardiology,ADDITIONAL ABLATION FOR AFIB TREATMENT,"$12,759.75 "
Cardiology,ADMIN PHARM AGENT W/HEMODYNAMIC ASSESS,"$1,503.25 "
Cardiology,ALCOHOL SEPTAL ABLATION,"$14,747.50 "
Cardiology,AMBULATORY BP MONITORING RECORD ONLY,$320.00 
Cardiology,AMBULATORY BP MONITORING SCAN W/REPORT,$314.75 
Cardiology,ANGIO DURING CARD CATH ILIAC ART,"$2,309.00 "
Cardiology,ATHERECTOMY EA ADL BRANCH CORONARY ART,"$18,924.00 "
Cardiology,ATHERECTOMY SGL CORONARY ARTERY/BRANCH,"$18,924.00 "
Cardiology,ATHRECTOMY W/DES EA AD BRNCH COR ARTERY,"$23,871.00 "
Cardiology,ATHRECTOMY W/DES SGL CORONARY ART/BRNCH,"$23,871.00 "
Cardiology,ATHRECTOMY W/STENT EA AD BRANCH COR ART,"$18,789.00 "
Cardiology,ATHRECTOMY W/STENT SGL COR ARTERY/BRNCH,"$18,789.00 "
Cardiology,CARDIOPULMONARY RESUSCITATION (CPR),"$1,203.50 "
Cardiology,CARDIOVERSION ELECTIVE EXTERNAL,"$2,001.00 "
Cardiology,CARDIOVERSION ELECTIVE INTERNAL,$893.75 
Cardiology,CATH PLACE CORONARY ANGIO GRAFT W/ S&I,"$12,028.00 "
Cardiology,CATH PLACE CORONARY ANGIO W/ S&I,"$11,113.00 "
Cardiology,CLOSE PERC CONG INTERATRIAL COMM W/IMPL,"$15,143.00 "
Cardiology,CLOSE PERC CONG VENTR SEPT DEF W/IMPL,"$28,495.50 "
Cardiology,DEVICE INTERROGATION REMOTE,$481.00 
Cardiology,DOPPLER ECHO COLOR FLOW VELOCITY MAP,$704.00 
Cardiology,DOPPLER ECHO COMPLETE,$833.25 
Cardiology,DOPPLER ECHO FOLLOW-UP/LIMITED,$838.75 
Cardiology,ECG 12 LEAD TRACING ONLY,$366.00 
Cardiology,ECG MONITOR SCAN ANAL W/ REPORT 48 HRS,$850.50 
Cardiology,ECG MONITORING RECORD UP TO 48 HRS,$743.00 
Cardiology,ECG MONITORNG RECRD OVR 48HRS/TO 21DAYS,$588.00 
Cardiology,ECHO INTRACARDIAC,"$5,616.50 "
Cardiology,ECHO TRANSTHORACIC W/ CONT ECG MD SUPER,"$2,762.50 "
Cardiology,ED ECG 12 LEAD TRACING ONLY,$366.00 
Cardiology,ED THROMBOLYSIS HEART IV INFUSION,"$1,012.25 "
Cardiology,ENDOMYOCARDIAL BIOPSY,"$3,842.50 "
Cardiology,EPS & ABLATION FOR AFIB TREATMENT,"$36,060.00 "
Cardiology,EPS & ABLATION FOR SVT TREATMENT,"$35,439.00 "
Cardiology,EPS & ABLATION W/3D MAP FOR VT TREATMNT,"$25,848.00 "
Cardiology,EPS FOLLOW-UP W/ INDUCTION,"$6,040.50 "
Cardiology,EPS W/ INDUCTION ARRHYTHMIA,"$12,803.25 "
Cardiology,EPS W/ INDUCTION W/ LT ATRIAL PACING,"$11,204.00 "
Cardiology,EPS W/ INDUCTION W/ LT VENTR PACING,"$8,025.50 "
Cardiology,EPS W/O ATTEMPTED INDUCTION ARRHYTHMIA,"$7,320.00 "
Cardiology,ESOPHAGEAL REC ATRIAL W/ PACING,"$2,040.25 "
Cardiology,EVAL ICD LEAD ONLY WHEN IMPLANTED,$906.25 
Cardiology,EVAL ICD LEAD&GENERATOR WHEN IMPLANTED,"$3,609.25 "
Cardiology,EVAL SQ ICD NIPS,"$2,500.00 "
Cardiology,EVAL SQ ICD W/O PROG IN-PERSON,$250.00 
Cardiology,EVAL SQ ICD W/PROG IN PERSON,$300.00 
Cardiology,EVAL TRANSVENOUS ICD SC/DC NIPS,"$3,673.75 "
Cardiology,EVENT RECORDER ANALYSIS AND REPORT,$817.00 
Cardiology,EVENT RECORDER HOOK UP/RECORD/DISCONN,$536.75 
Cardiology,EXT ECG SCAN W/REPORT OVR 48 HRS/21DAYS,$608.25 
