Enc - MS DRG,Enc - MS DRG Desc,Sum of Average Charge
795,NORMAL NEWBORN,"2,669"
885,PSYCHOSES,"15,467"
775,VAGINAL DELIVERY W/O COMPLICATING DIAGNOSES,"8,844"
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC,"41,700"
470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"45,645"
193,SIMPLE PNEUMONIA  PLEURISY W MCC,"29,306"
291,HEART FAILURE  SHOCK W MCC OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),"30,060"
794,NEONATE W OTHER SIGNIFICANT PROBLEMS,"2,967"
280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC","33,597"
189,PULMONARY EDEMA  RESPIRATORY FAILURE,"31,121"
897,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,"14,034"
766,CESAREAN SECTION W/O CC/MCC,"14,103"
247,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,"84,696"
392,"ESOPHAGITIS, GASTROENT  MISC DIGEST DISORDERS W/O MCC","20,090"
603,CELLULITIS W/O MCC,"15,946"
621,O.R. PROCEDURES FOR OBESITY W/O CC/MCC,"45,363"
177,RESPIRATORY INFECTIONS  INFLAMMATIONS W MCC,"40,667"
872,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC,"21,194"
65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,"25,224"
683,RENAL FAILURE W CC,"23,189"
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,"24,185"
309,CARDIAC ARRHYTHMIA  CONDUCTION DISORDERS W CC,"15,938"
682,RENAL FAILURE W MCC,"31,803"
194,SIMPLE PNEUMONIA  PLEURISY W CC,"18,431"
765,CESAREAN SECTION W CC/MCC,"15,822"
774,VAGINAL DELIVERY W COMPLICATING DIAGNOSES,"10,006"
281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC","29,982"
378,G.I. HEMORRHAGE W CC,"27,407"
853,INFECTIOUS  PARASITIC DISEASES W O.R. PROCEDURE W MCC,"98,835"
64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,"32,720"
698,OTHER KIDNEY  URINARY TRACT DIAGNOSES W MCC,"35,918"
481,HIP  FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,"54,074"
483,MAJOR JOINT/LIMB REATTACHMENT PROCEDURE OF UPPER EXTREMITIES,"59,590"
917,POISONING  TOXIC EFFECTS OF DRUGS W MCC,"18,959"
310,CARDIAC ARRHYTHMIA  CONDUCTION DISORDERS W/O CC/MCC,"14,854"
641,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC","17,238"
282,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC","29,486"
812,RED BLOOD CELL DISORDERS W/O MCC,"23,395"
