Charge Description,Receivable Owner,Service ID,Service Provider,Service Type,Eff Rate Amt
ANE/EPIDURAL-BASE AMT,UHHS POR,3501,Anesthesiology                                           ,Tech,151
ANE/EPIDURAL-INC AMT,UHHS POR,3503,Anesthesiology                                           ,Tech,151
ANE/GENERAL-BASE AMT,UHHS POR,3401,Anesthesiology                                           ,Tech,188
ANE/GENERAL-INC AMT,UHHS POR,3403,Anesthesiology                                           ,Tech,188
ANE/LOCAL IN OR,UHHS POR,3200,Anesthesiology                                           ,Tech,356
ANE/MAC-BASE AMT,UHHS POR,3301,Anesthesiology                                           ,Tech,125
ANE/MAC-INC AMT,UHHS POR,3303,Anesthesiology                                           ,Tech,125
ANE/REGIONAL-BASE AMT,UHHS POR,3601,Anesthesiology                                           ,Tech,151
ANE/REGIONAL-INC AMT,UHHS POR,3603,Anesthesiology                                           ,Tech,151
ANE/SPINAL BLOCK,UHHS POR,3000,Anesthesiology                                           ,Tech,"4,452.00"
ANE/SPINAL-BASE AMT,UHHS POR,3101,Anesthesiology                                           ,Tech,125
ANE/SPINAL-INC AMT,UHHS POR,3103,Anesthesiology                                           ,Tech,125
ANE/TRIGGER POINT INJ,UHHS POR,3001,Anesthesiology                                           ,Tech,873
AUD/ACOUSTIC IMMITTANCE,UHHS POR,3177,Audiolosy/Neurology,Tech,123
AUD/ACOUSTIC REFLEX TEST,UHHS POR,3175,Audiolosy/Neurology,Tech,96
AUD/AUTO NEWBORN OAE,UHHS POR,3202,Audiolosy/Neurology,Tech,136
AUD/BAER,UHHS POR,3200,Audiolosy/Neurology,Tech,"1,018.00"
AUD/BAER LIMITED,UHHS POR,3201,Audiolosy/Neurology,Tech,173
AUD/CALORIC IRRIGATION X4,UHHS POR,3110,Audiolosy/Neurology,Tech,342
AUD/COMP EVAL W/DISCRIM,UHHS POR,3160,Audiolosy/Neurology,Tech,374
AUD/DPOAE SCREENING,UHHS POR,3203,Audiolosy/Neurology,Tech,136
AUD/EARMOLD,UHHS POR,3249,Audiolosy/Neurology,Tech,156
AUD/H-A CHECK BI,UHHS POR,3225,Audiolosy/Neurology,Tech,81
AUD/H-A CHECK MON,UHHS POR,3220,Audiolosy/Neurology,Tech,45
AUD/H-A EXAM/SELECT MON,UHHS POR,3210,Audiolosy/Neurology,Tech,413
AUD/HG AID CONSULT (BIN),UHHS POR,3345,Audiolosy/Neurology,Tech,88
AUD/HG AID CONSULT (MON),UHHS POR,3340,Audiolosy/Neurology,Tech,77
AUD/HG SCREEN (AIR),UHHS POR,3130,Audiolosy/Neurology,Tech,135
AUD/OPK NYS,UHHS POR,3115,Audiolosy/Neurology,Tech,198
AUD/PLAY AUDIOMETRY,UHHS POR,3190,Audiolosy/Neurology,Tech,202
AUD/POSITIONAL NYS,UHHS POR,3105,Audiolosy/Neurology,Tech,250
AUD/PURE TONE AIR ONLY,UHHS POR,3140,Audiolosy/Neurology,Tech,135
AUD/PURE TONE AIR/BONE,UHHS POR,3145,Audiolosy/Neurology,Tech,192
AUD/SPONT NYS,UHHS POR,3100,Audiolosy/Neurology,Tech,280
AUD/SRT,UHHS POR,3150,Audiolosy/Neurology,Tech,71
AUD/SRT W/DISCRIM,UHHS POR,3155,Audiolosy/Neurology,Tech,202
AUD/STENGER TEST PURE TON,UHHS POR,3166,Audiolosy/Neurology,Tech,175
AUD/STENGER TEST SPEECH,UHHS POR,3167,Audiolosy/Neurology,Tech,198
AUD/TINNITUS ASSESSMENT,UHHS POR,3181,Audiolosy/Neurology,Tech,179
AUD/TRACKING,UHHS POR,3120,Audiolosy/Neurology,Tech,179
AUD/TYMPANOMETRY,UHHS POR,3170,Audiolosy/Neurology,Tech,122
AUD/TYMPANOMETRY & REFLEX,UHHS POR,3127,Audiolosy/Neurology,Tech,177
AUD/VERTICAL RECORDING,UHHS POR,3125,Audiolosy/Neurology,Tech,395
AUD/VESTIBULAR EVAL,UHHS POR,3050,Audiolosy/Neurology,Tech,310
AUD/VRA,UHHS POR,3185,Audiolosy/Neurology,Tech,135
NEU/11-12 NERVE COND STUD,UHHS POR,3316,Audiolosy/Neurology,Tech,757
NEU/1-2 NERVE COND STUD,UHHS POR,3306,Audiolosy/Neurology,Tech,441
NEU/13+ NERVE COND STUD,UHHS POR,3317,Audiolosy/Neurology,Tech,757
NEU/3-4 NERVE COND STUD,UHHS POR,3307,Audiolosy/Neurology,Tech,757
NEU/5-6 NERVE COND STUD,UHHS POR,3309,Audiolosy/Neurology,Tech,757
NEU/7-8 NERVE COND STUD,UHHS POR,3311,Audiolosy/Neurology,Tech,757
NEU/9-10 NERVE COND STUD,UHHS POR,3313,Audiolosy/Neurology,Tech,757
NEU/BLINK REFLEX,UHHS POR,3330,Audiolosy/Neurology,Tech,502
NEU/EEG AWAKE AND ASLEEP,UHHS POR,3275,Audiolosy/Neurology,Tech,832
NEU/EEG AWAKE DROWSY,UHHS POR,3274,Audiolosy/Neurology,Tech,832
NEU/EEG CEREBRAL DEATH,UHHS POR,3283,Audiolosy/Neurology,Tech,788
NEU/EEG EXTEND MONIT <1HR,UHHS POR,3269,Audiolosy/Neurology,Tech,486
NEU/EEG EXTEND MONIT >1HR,UHHS POR,3271,Audiolosy/Neurology,Tech,650
NEU/EEG SLEEP ONLY,UHHS POR,3280,Audiolosy/Neurology,Tech,"1,034.00"
NEU/EMG 1 EXT (EMG ONLY),UHHS POR,3285,Audiolosy/Neurology,Tech,570
NEU/EMG 2 EXT (EMG ONLY),UHHS POR,3290,Audiolosy/Neurology,Tech,441
NEU/EMG 3 EXT (EMG ONLY),UHHS POR,3295,Audiolosy/Neurology,Tech,"1,123.00"
NEU/EMG 4 EXT (EMG ONLY),UHHS POR,3300,Audiolosy/Neurology,Tech,"1,464.00"
NEU/EMG COMPL (5+MUSCLE),UHHS POR,3304,Audiolosy/Neurology,Tech,189
NEU/EMG LMTD (1-4 MUSCLE),UHHS POR,3302,Audiolosy/Neurology,Tech,189
NEU/REPETITIVE STIM,UHHS POR,3336,Audiolosy/Neurology,Tech,390
NEU/SOMATOSENS EP- UPPERS,UHHS POR,3320,Audiolosy/Neurology,Tech,543
NEU/VISUAL EP,UHHS POR,3325,Audiolosy/Neurology,Tech,362
BIR/BLD TRANSFUSE 1 UNIT,UHHS POR,2051,Birth Center,Tech,660
BIR/DIRECT ADMIT OBSERV,UHHS POR,4000,Birth Center,Tech,764
BIR/IMMUNIZ ADMIN ADDTL,UHHS POR,39,Birth Center,Tech,45
BIR/IV ADDL HR HYDRATION,UHHS POR,31,Birth Center,Tech,83
BIR/IV HYDRA 31-60 MIN,UHHS POR,30,Birth Center,Tech,471
BIR/NONCHEM IVP AD SEQ SA,UHHS POR,49,Birth Center,Tech,426
BIR/NON-CHEMO IV 1ST HOUR,UHHS POR,45,Birth Center,Tech,471
BIR/NON-CHEMO IV ADDL HR,UHHS POR,46,Birth Center,Tech,111
BIR/NON-CHEMO IV CONCUR,UHHS POR,44,Birth Center,Tech,471
BIR/NON-CHEMO IV INFUS SQ,UHHS POR,43,Birth Center,Tech,471
BIR/NON-CHEMO IV PSH ADD,UHHS POR,48,Birth Center,Tech,426
BIR/NON-CHEMO IV PUSH,UHHS POR,47,Birth Center,Tech,402
BIR/NON-OB PATIENT,UHHS POR,1500,Birth Center,Tech,"2,071.00"
BIR/OB ROOM CHARGE,UHHS POR,1000,Birth Center,Tech,"2,071.00"
BIR/OBSERVATION PER HOUR,UHHS POR,5001,Birth Center,Tech,88
BIR/SQ INJECTION ONE,UHHS POR,37,Birth Center,Tech,90
BIR/VACCINE ADMINISTRATIO,UHHS POR,42,Birth Center,Tech,85
BIR/VACCINE INJECTION,UHHS POR,38,Birth Center,Tech,45
BLB/ABSORPTION,UHHS POR,1500,Blood Bank,Tech,166
BLB/BLD L/R FRZ-DEGLY-WSH,UHHS POR,4000,Blood Bank,Tech,"1,428.00"
BLB/CRYOPRECIPITATE EA UN,UHHS POR,2000,Blood Bank,Tech,216
BLB/FRESH FROZEN PLASMA,UHHS POR,3000,Blood Bank,Tech,304
BLB/FROZEN PLASMA POOL SD,UHHS POR,3030,Blood Bank,Tech,759
BLB/HLA MATCHED PPHR,UHHS POR,3420,Blood Bank,Tech,"1,733.00"
BLB/HLA PHENOTYPE,UHHS POR,3410,Blood Bank,Tech,407
BLB/LEUK POOR BLOOD DIVID,UHHS POR,4031,Blood Bank,Tech,475
BLB/LEUK POOR BLOOD UNIT,UHHS POR,4030,Blood Bank,Tech,758
BLB/PLATELET CONC IR UNIT,UHHS POR,3615,Blood Bank,Tech,231
BLB/PLATELET CONC UNIT,UHHS POR,3600,Blood Bank,Tech,285
BLB/PLT PHER LEUK IRRAD,UHHS POR,3500,Blood Bank,Tech,"1,626.00"
BLB/PLT PHER LEUK REDUCED,UHHS POR,3620,Blood Bank,Tech,"1,406.00"
BLB/RBC DIVIDED UN,UHHS POR,4020,Blood Bank,Tech,407
BLB/RBC IRRADIATED,UHHS POR,1150,Blood Bank,Tech,886
BLB/RED BLOOD CELLS UNIT,UHHS POR,1106,Blood Bank,Tech,652
BLB/RED CELLS LR IR,UHHS POR,4035,Blood Bank,Tech,869
BLB/WASHED RCB UNIT,UHHS POR,4050,Blood Bank,Tech,"1,814.00"
BLB/WH BLD AUTO,UHHS POR,5000,Blood Bank,Tech,569
CARDIOMEMS DEVICE,UHHS POR,5605,Cardiac Cath,Tech,"62,400.00"
CCL PULM ANGIO,UHHS POR,3200,Cardiac Cath,Tech,"5,572.00"
CCL/AORTOGRAM INJECT,UHHS POR,3050,Cardiac Cath,Tech,"5,472.00"
CCL/ARRHYT INDUCTION,UHHS POR,7565,Cardiac Cath,Tech,"2,386.00"
CCL/ART CATH 1ST ORD THOR,UHHS POR,7190,Cardiac Cath,Tech,"2,600.00"
CCL/ART CATH 2ND ORD THOR,UHHS POR,7195,Cardiac Cath,Tech,"2,522.00"
CCL/ARTERIAL LINE INSERT,UHHS POR,7230,Cardiac Cath,Tech,780
CCL/ARTHCTMY W STENT ADDL,UHHS POR,5556,Cardiac Cath,Tech,"26,106.00"
CCL/ARTHERECTOMY,UHHS POR,5570,Cardiac Cath,Tech,"10,938.00"
CCL/ARTHERECTOMY ADDL,UHHS POR,5571,Cardiac Cath,Tech,"12,989.00"
CCL/ARTHERECTOMY W DES,UHHS POR,5535,Cardiac Cath,Tech,"49,333.00"
