Enc - MS DRG,Enc - MS DRG Desc,Sum of Average Charge
470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"35,995 "
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC,"37,353 "
291,HEART FAILURE  SHOCK W MCC OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),"30,117 "
193,SIMPLE PNEUMONIA  PLEURISY W MCC,"32,712 "
392,"ESOPHAGITIS, GASTROENT  MISC DIGEST DISORDERS W/O MCC","18,176 "
872,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC,"21,788 "
683,RENAL FAILURE W CC,"20,025 "
280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC","39,601 "
194,SIMPLE PNEUMONIA  PLEURISY W CC,"21,505 "
682,RENAL FAILURE W MCC,"29,910 "
378,G.I. HEMORRHAGE W CC,"22,504 "
603,CELLULITIS W/O MCC,"17,131 "
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,"29,526 "
064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,"37,747 "
065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,"27,661 "
247,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,"89,900 "
689,KIDNEY  URINARY TRACT INFECTIONS W MCC,"23,397 "
483,MAJOR JOINT/LIMB REATTACHMENT PROCEDURE OF UPPER EXTREMITIES,"69,927 "
292,HEART FAILURE  SHOCK W CC,"20,516 "
690,KIDNEY  URINARY TRACT INFECTIONS W/O MCC,"18,757 "
640,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC","26,397 "
330,MAJOR SMALL  LARGE BOWEL PROCEDURES W CC,"47,630 "
853,INFECTIOUS  PARASITIC DISEASES W O.R. PROCEDURE W MCC,"89,762 "
641,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC","16,214 "
202,BRONCHITIS  ASTHMA W CC/MCC,"25,203 "
189,PULMONARY EDEMA  RESPIRATORY FAILURE,"35,845 "
698,OTHER KIDNEY  URINARY TRACT DIAGNOSES W MCC,"24,356 "
377,G.I. HEMORRHAGE W MCC,"32,939 "
309,CARDIAC ARRHYTHMIA  CONDUCTION DISORDERS W CC,"20,359 "
177,RESPIRATORY INFECTIONS  INFLAMMATIONS W MCC,"39,667 "
812,RED BLOOD CELL DISORDERS W/O MCC,"20,000 "
176,PULMONARY EMBOLISM W/O MCC,"26,278 "
281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC","28,615 "
314,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,"34,690 "
638,DIABETES W CC,"17,951 "
460,SPINAL FUSION EXCEPT CERVICAL W/O MCC,"93,602 "
552,MEDICAL BACK PROBLEMS W/O MCC,"17,953 "
811,RED BLOOD CELL DISORDERS W MCC,"24,462 "
481,HIP  FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,"48,934 "
394,OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,"22,215 "
331,MAJOR SMALL  LARGE BOWEL PROCEDURES W/O CC/MCC,"32,325 "
308,CARDIAC ARRHYTHMIA  CONDUCTION DISORDERS W MCC,"25,127 "
287,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC","44,201 "
637,DIABETES W MCC,"24,031 "
191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,"22,211 "
282,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC","38,183 "
897,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,"16,917 "
