Charge Description,Receivable Owner,Service ID,Service Provider,Service Type,Eff Rate Amt
Anesthesia Cosmetic Tech Per Minute,UHHS AMC,55105,AMC Anesthesia Svcs,Tech,20
Anesthesia Tech Base Rate,UHHS AMC,13218,AMC Anesthesia Svcs,Tech,280
Anesthesia Tech Per Minute,UHHS AMC,13219,AMC Anesthesia Svcs,Tech,20
General anesthesia < 5yrs 1st 15 minutes,UHHS AMC,42542,AMC Anesthesia Svcs,Tech,910
General anesthesia > 5yrs 1st 15 minutes,UHHS AMC,42543,AMC Anesthesia Svcs,Tech,648
General anesthesia each addl 15 minutes,UHHS AMC,42544,AMC Anesthesia Svcs,Tech,69
Mod sedat different prov  from proc init 15 min < 5 yrs old,UHHS AMC,42501,AMC Anesthesia Svcs,Tech,648
Mod sedat different prov  from proc init 15 min >5 yrs old,UHHS AMC,42502,AMC Anesthesia Svcs,Tech,660
Mod sedat same prov  perf proc ea addl 15 min,UHHS AMC,42500,AMC Anesthesia Svcs,Tech,70
Mod sedat same prov perf proc init 15 min < 5 yrs old,UHHS AMC,42498,AMC Anesthesia Svcs,Tech,910
Mod sedat same prov perf proc init 15 min > 5 yrs old,UHHS AMC,42499,AMC Anesthesia Svcs,Tech,660
Moderate sedation gastrointestinal endoscopic init 15min,UHHS AMC,42521,AMC Anesthesia Svcs,Tech,660
Angio brachial retrograde S&I,UHHS AMC,9738,AMC Angiography,Tech,"4,990.00"
Angio extremity bilateral,UHHS AMC,9750,AMC Angiography,Tech,"5,199.00"
Angio extremity unilateral,UHHS AMC,9747,AMC Angiography,Tech,"5,199.00"
Angio pulmonary nonselective,UHHS AMC,9763,AMC Angiography,Tech,"3,376.00"
Angio pulmonary unilateral,UHHS AMC,9761,AMC Angiography,Tech,"6,350.00"
Angio select each addl vessel,UHHS AMC,9765,AMC Angiography,Tech,"3,441.00"
Angio visceral selective,UHHS AMC,9756,AMC Angiography,Tech,"5,104.00"
Angiography Int Mammary  S&I,UHHS AMC,9764,AMC Angiography,Tech,"4,449.00"
Angiography Pelvic S&I,UHHS AMC,9759,AMC Angiography,Tech,"4,755.00"
Angiography pulm bilat select radio S&I,UHHS AMC,9762,AMC Angiography,Tech,"6,784.00"
Angiogrphy Adrenl Bilat Slcs&I,UHHS AMC,9758,AMC Angiography,Tech,"4,326.00"
Angiogrphy Adrenl Unilt Slts&I,UHHS AMC,9757,AMC Angiography,Tech,"2,888.00"
Aortogram abdominal serialogram,UHHS AMC,9732,AMC Angiography,Tech,"3,864.00"
Aortogram throacic serialorgram,UHHS AMC,9731,AMC Angiography,Tech,"5,984.00"
Aortography abdominal bilateral lower extremity,UHHS AMC,9734,AMC Angiography,Tech,"7,625.00"
Arrow Sheath Introducer Set,UHHS AMC,27621,AMC Angiography,Tech,211
ArthroCare acrylic resin tracers,UHHS AMC,28467,AMC Angiography,Tech,669
ArthroCare cavity spinewand (11g/8g),UHHS AMC,28470,AMC Angiography,Tech,"6,540.00"
CESSJ Therapy cath removal,UHHS AMC,35830,AMC Angiography,Tech,"6,027.00"
Cook Double Lumen Catheter Set,UHHS AMC,27613,AMC Angiography,Tech,211
Cook Hilall Embolization Microcoils,UHHS AMC,27618,AMC Angiography,Tech,197
Inj contrast for rad eval of CVAD include fluoro,UHHS AMC,26776,AMC Angiography,Tech,"2,341.00"
Inj procedure for extremity venography,UHHS AMC,8350,AMC Angiography,Tech,"1,716.00"
Ins Cath Central Venous Non-Tunnel >=5,UHHS AMC,15686,AMC Angiography,Tech,"2,687.00"
Ins tun cen ven cath w/o port/pump =>5yrs,UHHS AMC,21217,AMC Angiography,Tech,"4,625.00"
Ins tunnel cath < 5 years w/o port/pump,UHHS AMC,17362,AMC Angiography,Tech,"4,524.00"
Insert nontunnel CV cath < 5yrs old,UHHS AMC,15685,AMC Angiography,Tech,"2,991.00"
Intro needle/intracath aortic,UHHS AMC,15462,AMC Angiography,Tech,"1,716.00"
Intro needle/intracath retro brachial,UHHS AMC,15461,AMC Angiography,Tech,"2,308.00"
Lymphagnio pel/abd unilateral,UHHS AMC,18115,AMC Angiography,Tech,"2,753.00"
Lymphangio ext biilat,UHHS AMC,18113,AMC Angiography,Tech,"2,711.00"
Lymphangiogram pelv/abdom bilat S&I,UHHS AMC,15464,AMC Angiography,Tech,"3,021.00"
Mechanical thrombectomy primary perc non coronary,UHHS AMC,19097,AMC Angiography,Tech,"9,388.00"
Mechanical thrombectomy repeat subsequent day,UHHS AMC,19101,AMC Angiography,Tech,"7,800.00"
Mechanical thrombectomy second vessel same family,UHHS AMC,19098,AMC Angiography,Tech,"7,020.00"
Mechanical thrombectomy secondary,UHHS AMC,19099,AMC Angiography,Tech,"8,181.00"
Mechanical thrombectomy venous,UHHS AMC,19100,AMC Angiography,Tech,"7,258.00"
Medcomp Dl Lumn Picc 6Frx60Cm,UHHS AMC,28883,AMC Angiography,Tech,426
Perctns Plcmnt Of Gastrstmy Tb,UHHS AMC,8413,AMC Angiography,Tech,"1,760.00"
Place cath carotd art,UHHS AMC,35819,AMC Angiography,Tech,"15,600.00"
Place cath carotid or innom art,UHHS AMC,35818,AMC Angiography,Tech,"14,512.00"
Place cath carotid/innom art,UHHS AMC,35817,AMC Angiography,Tech,"9,257.00"
Place cath intracranial art,UHHS AMC,35823,AMC Angiography,Tech,"11,393.00"
Place cath subclavian art,UHHS AMC,35820,AMC Angiography,Tech,"8,014.00"
Place cath thoracic aorta,UHHS AMC,35816,AMC Angiography,Tech,"6,710.00"
Place cath vertebral art,UHHS AMC,35821,AMC Angiography,Tech,"13,520.00"
Place cath xtrnl carotid,UHHS AMC,35822,AMC Angiography,Tech,"9,625.00"
Placement Tips,UHHS AMC,9458,AMC Angiography,Tech,"10,835.00"
Remove intravas foreign body,UHHS AMC,35824,AMC Angiography,Tech,"5,512.00"
Remove tunneled CVC w/o subq port/pump,UHHS AMC,21221,AMC Angiography,Tech,"1,882.00"
Repair CVAD with subq port or pump,UHHS AMC,19103,AMC Angiography,Tech,"5,861.00"
Repair Tun Or Non-Tun Cvc,UHHS AMC,9455,AMC Angiography,Tech,"2,184.00"
Replace Non-Tun CVC Same Site,UHHS AMC,9456,AMC Angiography,Tech,"2,678.00"
Replacement Tun CVC Same Site,UHHS AMC,9457,AMC Angiography,Tech,"4,212.00"
Revision Tips,UHHS AMC,9459,AMC Angiography,Tech,"11,388.00"
Splenoportography,UHHS AMC,9768,AMC Angiography,Tech,"4,344.00"
Thrombolytic art therapy,UHHS AMC,35825,AMC Angiography,Tech,"9,187.00"
Thrombolytic art/ven therapy,UHHS AMC,35827,AMC Angiography,Tech,"5,304.00"
Thrombolytic venous therapy,UHHS AMC,35826,AMC Angiography,Tech,"3,536.00"
Transcath Thx Embolztn Anymeth,UHHS AMC,9793,AMC Angiography,Tech,"11,890.00"
Transcth Occlsn/Emblztn Noncns,UHHS AMC,7827,AMC Angiography,Tech,"9,818.00"
Transluminal Angio Percu Brach,UHHS AMC,7832,AMC Angiography,Tech,"6,072.00"
Tunneled Cath < 5Yrs Sq Port,UHHS AMC,21218,AMC Angiography,Tech,"3,900.00"
Tunneled Cath > 5Yrs Sq Port,UHHS AMC,21219,AMC Angiography,Tech,"5,501.00"
