,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,PROCEDURE CODE,PROCEDURE DESCRIPTION, CHILDREN'S HOSPITAL , BUTTERWORTH , BLODGETT , GRAND RAPIDS OFF-CAMPUS , REGIONAL ** , REFERENCE LABS ,,
,20000001,HC ACUPUNCTURE W/O STIMUL 15 MIN,, $33.41 ,,,,,,
,20000002,HC ACUPUNCTURE W/O STIMUL ADDL 15,, $24.19 ,,,,,,
,20000003,HC ACUPUNCTURE W/STIMUL 15 MIN,, $32.26 ,,,,,,
,20000004,HC ACUPUNCTURE W/ STIMUL ADDL 15,, $25.34 ,,,,,,
,20001001,HC OTH DEBRIDEMENT 20 SQ CM OR LESS,, $159.28 ,,, $156.70 ,,,
,20003970,HC REFILLING/MAINT PORTABLE PUMP,,,,, $397.12 ,,,
,20003971,HC REFILLING/MAINT PORTABLE PUMP RESVR SYST,,,,, $210.62 ,,,
,20004010,HC RMVL DEVITAL TIS ADDL 20CM,, $205.92 ,,, $187.53 ,,,
,20004012,HC NEG PRESS WOUND TX LESS THAN OR EQUAL TO 50 SQ CM WITH DME,, $325.44 ,,, $320.60 ,,,
,20004014,HC NEG PRESS WOUND TX LESS THAN OR EQUAL TO 50 SQ CM WITH DISP,, $261.45 ,,,,,,
,20004033,HC THERAPUTIC PHLEBOTOMY, $360.33 , $360.33 ,,, $160.11 ,,,
,20005560,HC PAD REHABILITATION PER SESSION,,,, $25.00 ,,,,
,20005563,HC APPLICATION OF BODY INJECTOR, $188.88 , $188.88 ,,, $119.58 ,,,
,20105481,HC BURN ROOM,," $7,523.00 ",,,,,,
,20105515,HC ICU ROOM," $4,988.00 "," $4,988.00 "," $4,566.00 ",," $3,214.00 ",,,
,20105518,HC GR INTERMEDIATE ROOM," $2,277.00 "," $2,277.00 "," $1,970.00 ",,,,,
,20105534,HC MED/SURG ROOM," $2,277.00 "," $2,277.00 "," $1,970.00 ",," $1,301.00 ",,,
,20105552,HC NEWBORN LEVEL I," $1,481.00 "," $1,481.00 ",,, $891.00 ,,,
,20105553,HC NEWBORN LEVEL II," $5,540.00 "," $5,540.00 ",,," $1,177.00 ",,,
,20105554,HC NEWBORN LEVEL III," $8,164.00 ",,,,,,,
,20105555,HC NEWBORN LEVEL IV," $9,104.00 ",,,,,,,
,20105557,HC OBSTETRIC ROOM,," $1,797.00 ",,," $1,084.59 ",,,
,20105565,HC PEDS ICU ROOM," $9,104.00 ",,,,,,,
,20105566,HC PEDS INTERMEDIATE ROOM," $4,261.00 "," $4,261.00 ",,,,,,
,20105567,HC PEDS ROOM," $4,261.00 "," $4,261.00 ",,, $891.00 ,,,
,20105586,HC REHABILITATION ROOM,,," $1,897.00 ",,,,,
,20105587,HC LTC SEMI PRIVATE ROOM,,,,, $321.00 ,,,
,20105588,HC LTC PRIVATE ROOM,,,,, $378.00 ,,,
,20105589,HC BMT TRANSPLANT ROOM,," $4,753.00 ",,,,,,
,20105592,HC LTC SKILLED PRIVATE ROOM,,,,, $520.00 ,,,
,20105593,HC LTC SKILLED SEMI-PRIVATE ROOM,,,,, $464.00 ,,,
,20105594,HC SWING BED/ROOM,,,,," $1,649.00 ",,,
,20105597,HC LTC BASIC SEMI-PRIVATE BED HOLD,,,,, $321.00 ,,,
