Charge,Unit Price
123 I CAPS 200UCI,$168.00
1ST DEGREE LOCAL TX,$144.00
24 HR DIGITAL ANALYSIS,$450.00
24 HR EEG,"$1,385.66"
3 PHASE BONE SCAN,"$1,127.00"
5 FU 500 MG INJ,$3.00
5-HIAA,$175.00
99M TC LABELLED WBC SCAN,$648.00
99M TC SESTAMIBI 30 MCI,$371.00
A&D OINTMENT 60GM,$2.68
A.C.T.,$64.50
ABACAVIR SULFATE/LAMIVUDINETAB,$43.06
ABATACEPT 250MG VIAL,"$1,046.25"
ABD SCAN/GI BLEED,$530.31
ABD. AORTOGRAM,"$2,479.00"
ABDOMEN SINGLE VIEW,$324.00
"ABDOMEN,FLAT/UPRT",$362.00
ABDOMINAL PREP,$86.00
ABILIFY 15MG,$29.73
ABREVA CREAM,$15.46
ABSORBATACK 30 004795,"$1,917.00"
ACAMPROSATE C 333,$0.86
ACAPELLA DH LOW FLOW 21-1015,$259.35
ACAPELLA DM MTHPC GN 21-1530,$259.35
ACARBOSE 50MG TAB,$0.51
ACCOLATE 20MG TAB,$2.41
ACCUPRIL 20MG,$4.84
ACCU-VIEW OMNI FLUSH 004799,$767.00
ACETAMINOPHEN,$96.00
ACETAMINOPHEN,$0.52
ACETAMINOPHEN 1000 MG VIAL,$40.15
ACETAMINOPHEN 325MG/10ML ELIX,$1.82
ACETAMINOPHEN LIQ,$2.03
ACETAMINOPHEN SUP,$0.57
ACETAMINOPHEN W/ CODEINE 5ML,$1.24
ACETAMINOPHEN WI,$0.17
ACETAMINOPHEN(CHILD) 160MG/5ML,$0.50
ACETAZOLAMIDE SEQ,$1.25
ACETAZOLAMIDE TAB,$2.31
ACETONE,$40.00
ACETYLCYSTEINE 10% VIAL 4ML,$7.97
ACETYLCYSTEINE 6000 MG INJ,$188.00
ACH RECEPTOR(MUSCLE) MODULA AB,$208.00
ACIDOPHILUS/BULGARICUS TAB,$0.19
ACINETOBACTER BAUMANNII,$73.15
ACIPHEX 20MG TAB,$17.49
ACITRETIN 25MG CAPSULE,$30.77
ACLIDINIUM 400MCG INHALER,$170.75
ACROMIOCLAV JOINT,$174.00
ACTH,$251.00
ACTIGALL 300MG,$9.51
ACTIV CHARCOAL/H20 25GR/120ML,$21.99
ACTIVASE 100 MG VIAL,"$8,800.36"
ACTIVASE 2 MG INJ,$153.06
ACTONEL 30MG,$49.56
ACTONEL 35MG,$81.26
ACTOS 15MG TAB,$12.95
ACTOS 30MG TAB,$19.79
ACULAR OPHTH SOLN,$28.00
ACUTE HEPATITIS PANEL,$391.00
ACYCLOVIR 5% OINT 15GM,$319.04
ACYCLOVIR 500MG 10ML INJ,$18.80
ACYCLOVIR OINTMENT 5% 5GM,$116.98
ADALAT CAP,$0.85
ADALAT CC 30 MG TAB,$0.87
ADALAT CC 60 MG TAB,$1.63
ADAPALENE,$582.05
ADAPTER ERCP SIDE ARM 004814,$62.50
ADAPTER LOCKING TITANIUM 04817,"$1,125.00"
ADAPTER T-PORT,$7.28
ADAPTER Y GATEWAY PLUS 15-322,$198.31
ADAPTERS PORT FOR URETEROSCOPE,$183.00
ADD TIMED GLUCOSE,$48.00
ADDERALL 10 MG TAB,$1.15
ADDERALL 20MG,$0.87
ADDERALL XR 10MG,$4.91
ADDERALL XR 15MG,$7.12
ADDERALL XR 20MG,$4.91
ADD'L RECOVERY RM,$57.50
ADENOCARD 6 MG INJ,$36.03
ADENOSINE 12 MG/4 ML INJ X5VIA,$109.50
ADENOSINE 6 MG/4 ML INJ,$21.90
"ADENOVIRUS TYPES 3,4,7,21",$73.15
ADH (VASOPRESSIN),$414.00
ADHESIVE MASTIOL SURGICAL 2/3,$8.80
ADVAIR 100/50 INH,$85.17
ADVAIR 250/50 INH,$85.17
ADVAIR 500/50 INH,$138.82
AEROCHAMBER,$23.50
AFRIN SPRAY,$1.42
AGGRENOX,$8.70
AGRYLIN 1MG,$1.79
AICD MEDTR EVERA XT DR DDBB1D1,"$19,980.00"
AICD MEDTRONIC EVERA MRI XT VR,"$20,775.00"
AICD MEDTRONIC VIVA XT CRT-D,"$27,750.00"
AICD ST JUDE FORTIFY DR,"$78,720.00"
AICD ST JUDE UNIFY ASSURA,"$26,625.00"
AICD-MEDTRONIC EVERA S VR,"$20,296.50"
AIRWAY 22FR SZ5.5 123023,$24.50
AIRWAY LARGE ADULT 100MM,$0.84
AIRWAY MED ADULT 90MM,$0.86
AIRWAY NASALPHARYNGEAL 28FR,$16.40
AIRWAY NASALPHARYNGEAL 32FR,$19.70
AIRWAY NASOPHARYNGEAL 30FR7.5,$19.70
AIRWAY SMALL ADULT 80MM,$0.86
AIRWAY SMALL CHILD  60MM,$0.86
ALBUMIN,$26.10
ALBUMIN 25% 12.8GM/50ML INJ,$49.31
ALBUMIN 25% 25GM/100ML,$98.63
"ALBUMIN,BODY FLUI",$24.70
ALBUTEROL SULFATE 90,$21.42
ALCAINE OPHTH,$35.09
ALCOHOL-DEHYDRATED 5ML AMPULE,$113.90
ALDACTAZIDE 25/25,$1.22
ALDOLASE,$114.00
"ALDOSTERON,SER",$277.00
"ALDOSTERONE,URINE",$327.72
ALENDRONATE SO 35,$1.30
ALENDRONATE SODIUM 10MG TAB,$0.33
ALEVE 220MG,$0.06
ALEXIS WOUND PROT/RET LG C8403,$456.00
ALEXIS WOUND PROT/RET XLG,$456.00
ALFENTANIL 1MG/2ML AMP,$3.62
ALFUZOSIN HCL,$0.35
ALISKIREN HEM 150,$6.00
"ALK FISH, MANUAL, MULTIPLX","$1,044.00"
ALK PHOS ISOENZYM,$144.69
ALKALINE PHOS,$97.50
ALKALINE PHOSPHAT,$97.50
ALKA-SELTZER,$0.17
ALLEGRA 180MG,$1.27
ALLEGRA 60MG CAP,$0.67
ALLEGRA-D TAB,$0.71
ALLOPURINOL,$0.63
ALPHA-1-ANTITRYPS,$95.00
ALPHA-1-PROTEINASE INHIBITOR LIQUID 20ML INJ,$460.00
ALPHA-FETOPROTEIN TUMOR MARKER,$102.55
ALPHAGAN OPHTH,$128.01
ALPRAZOLAM 1MG,$10.07
ALPROSTADIL 500 MCG 1 ML,$118.57
ALTACE,$0.17
ALTACE 5 MG CAP,$0.20
ALTEPLASE 50 MG IV,"$4,400.18"
ALUMINUM,$140.00
ALVIMOPAN 12 MG CAP,$157.37
AMANTADINE 5ML,$2.14
AMANTADINE CAP,$2.75
AMARYL 2MG TAB,$0.54
AMBIEN 10 MG TAB,$0.09
AMBIEN 5 MG TAB,$0.11
AMBIEN CR 6.25 MG,$16.83
AMBISOME 50 MG INJ,$247.14
AMERGE 2.5MG,$10.95
AMIKACIN 500 MG INJ,$12.26
AMILORINE 5 MG TAB,$0.90
AMINO ACIDS 15% 2000ML IV,$42.24
AMINOCAPROIC ACID 5 GM INJ,$6.56
"AMINOLEVULINIC ACID,(ALA),URIN",$378.42
AMINOPHYLLINE 500MB/20 ML ING,$7.00
AMINOSYN 10% 500 ML INJ,$16.98
AMINOSYN 10% IV,$21.98
AMINOSYN 8.5% 500 ML INJ,$8.91
AMIODARONE,$137.69
AMIODARONE 150MG/100ML PREMIX,$34.69
AMIODARONE 360MG/200 ML PREMIX,$46.14
AMIODARONE HCL 900 MG IV,$13.60
AMITIZA 24 MCG,$6.19
AMITRIPTYLINE 10,$0.14
AMITRIPTYLINE 25,$0.29
AMITRIPTYLINE 50,$0.57
AMLODIPINE/ATORV,$19.33
AMLODIPINE/VALSARTAN 5/160 TAB,$8.36
AMMONIA,$97.50
AMMONIA ASPIRALS,$0.43
AMOXICILLIN,$0.05
AMOXICILLIN 250MG,$0.18
AMOXICILLIN 875MG,$0.35
AMOXIL 200MG/5ML,$0.30
AMOXIL 400MG/5ML,$0.32
AMPHET ASP/AMPHET/D-AMPHET 5MG,$4.91
"AMPHETAMINES,QUAL",$43.00
AMPICILL 500 MG INJ,$3.52
AMPICILLIN 125 MG INJ,$4.18
AMPICILLIN 1GM INJ,$6.91
AMPICILLIN 1GM/ NS 50ML INJ,$6.91
AMPICILLIN 2 GM INJ,$13.40
AMPICILLIN 250 MG,$0.12
AMPICILLIN 250 MG INJ,$2.00
AMPICILLIN 500 MG CAPSULE,$0.47
AMPICILLIN ADV 2GM/NS 1,$13.40
AMPICILLIN/SULBACTAM 1.5GM INJ,$3.50
AMPUTATION REPAIR-PHALANX,"$1,823.00"
AMYL NITRITE 500MG 10ML INJ,$0.52
"AMYLASE,BODY FLUID",$64.00
"AMYLASE,SERUM",$64.00
ANA,$78.00
ANAEROBIC CULTURE,$72.00
ANAFRANIL 25MG,$6.75
ANAL DILATATION,$642.00
ANALPRAM HC CREAM,$123.80
ANBESOL MAX STR,$4.58
ANBESOL ORAL ANES,$4.00
ANCHOR 5.5 BIO COMPOSITE004858,"$1,144.00"
ANCHOR SWIVELOCK BIOSUTURE 5.5,$652.00
ANDROSTENEDIONE,$205.17
ANES-FORANE PER MINUTE,$0.46
ANESTHESIA PB SET 88IN 5742,$1.80
ANES-ULTANE PER MINUTE,$0.46
ANGIO CATHETER GUIDING,$278.00
ANGIOCATH TEMPO STRAIGHT 5FX65,$555.00
ANGIOPLASTY AV GRAFT,"$3,896.00"
ANGIOSEAL 6FR (VIP/EVOLUTION),"$1,290.00"
ANGIOTENSIN I (ACE0,$126.00
ANKLE/TIBIA/FIBULA FX,$240.00
ANKLE-COMPLETE - LT,$289.00
ANKLE-COMPLETE - RT,$289.00
ANTIBODY SCREEN,$32.50
ANTI-DNASE B,$94.43
ANTIGEN SCREENING,$209.00
ANTILIRIUM 2 MG INJ,$39.14
ANTI-THROMBIN III,$126.00
ANTITHYMOCYTE GLOBULIN 50MG/ML,$875.81
"ANTIVENIN, CROTA 2ML INJ","$3,198.00"
ANUSOL HC CREAM,$74.07
ANUSOL HC SUPPOS,$10.92
ANUSOL OINT,$3.68
AORTOGRAM ABDOMINAL,"$4,878.00"
AORTOGRAM/RUN-OFF,"$2,479.00"
APIDRA INSULIN SQ,$269.91
APIXABAN 2.5MG TABLET,$6.98
APIXABAN 5MG TABLET,$6.98
APOLIPOPROTEIN A1,$317.03
APOLIPOPROTEIN B,$232.33
APPLICATION TOTAL CONTACT CAST,$228.38
APREPITANT 130MG/18ML VIAL,$321.55
APRESOLINE,$0.30
AQUAPHOR OINTMENT 14 OZ,$9.16
ARANESP 500 MCG SQ,"$3,870.00"
AREDIA 30 MG VIAL,$27.00
ARFORMOTEROL TARTRATE 15MCG IN,$16.18
ARGATROBAN 250MG INJ (NON ESRD),"$1,313.50"
ARICEPT 10MG,$0.15
ARICEPT 5 MG TAB,$0.44
ARIMIDEX 1 MG TAB,$0.50
ARIPIPRAZOLE 2 MG TAB,$29.73
ARIPIPRAZOLE 5,$25.69
ARIPIPRAZOLE LAUROXIL 675MG SYRINGE,"$1,869.56"
ARIPIPRAZOLE LAUROXIL ER 441MG,"$1,221.45"
