SERVICE CATEGORY,DESCRIPTION,CHARGE,DOSE,STATE OF OHIO REQUIREMENT
Allergy Testing,HC ALLERGY TEST PERQ AND IC DRUG OR BIOLOGICAL,$182.00 ,,
Audiology Services,HC AUDIO PURE TONE AIR SCREEN,$95.00 ,,
Audiology Services,"HC AUDIOMETRY PURE TONE, AIR AND BONE",$95.00 ,,
Audiology Services,"HC AUDIOMETRY PURE TONE, AIR ONLY",$95.00 ,,
Audiology Services,HC AUDITORY EVOKED OAE,$95.00 ,,
Audiology Services,HC AUDITORY EVOKED POTENTIAL COMP,$95.00 ,,
Audiology Services,HC AUDITORY EVOKED POTENTIAL LIMITED,$56.00 ,,
Audiology Services,HC HEARING SCREEN EVOKED OAE,$95.00 ,,
Biofeedback,HC EMG RETRAINING,"$1,766.00 ",,
Blood Products,HC BLOOD LEUKO REDUCED CMV NEG 1 UNIT,$829.00 ,,
Blood Products,HC CRYOPRECIPITATE 1 UNIT,$268.00 ,,
Blood Products,HC FRESH FROZEN PLASMA 1 UNIT,$233.00 ,,
Blood Products,HC PLATELETS LEUKO REDUCED 1 UNIT,$359.00 ,,
Blood Products,HC PLATELETS LEUKO REDUCED DIRECTED 1 UNIT,$359.00 ,,
Blood Products,HC PLATELETS PHERESIS L R IRRADIATED 1 UNIT,"$2,232.00 ",,
Blood Products,HC PLATELETS PHERESIS LEUKOCYTE REDUCED 1 UNIT,"$2,205.00 ",,
Blood Products,HC RED CELLS FROZEN DEGLYCEROL LR WASHED 1 UNIT,"$1,503.00 ",,
Blood Products,HC RED CELLS LEUKO REDUCED 1 UNIT,$816.00 ,,
Blood Products,HC RED CELLS LEUKO REDUCED IRRADIATED 1 UNIT,$954.00 ,,
Blood Products,HC RED CELLS PACKED 1 UNIT,$717.00 ,,
Blood Products,HC RED CELLS WASHED 1 UNIT,"$2,410.00 ",,
Blood Products,HC WHOLE BLOOD 1 UNIT,$858.00 ,,
Breast Procedures,HC ASPIRATION CYST BREAST ADDL,$196.00 ,,
Breast Procedures,HC ASPIRATION CYST BREAST INITIAL,$201.00 ,,
Breast Procedures,HC BREAST BX PERCUTANEOUS WO GUIDANCE,$413.00 ,,
Breast Procedures,HC BX BREAST W DEVICE MR GUIDANCE 1ST LES,"$1,850.00 ",,
Breast Procedures,HC BX BREAST W DEVICE MR GUIDANCE ADDL LES,$564.00 ,,
Breast Procedures,HC BX BREAST W DEVICE STEREOTACTIC 1ST LES5,"$6,344.00 ",,
