DESCRIPTION                     ,CHARGE,CPT CODE
ED FNA W/O IMAGING GUIDANCE,278,10021
FINE NEEDLE ASPIRATION W GUIDE,1004,10022
ER I&D ABSCESS/SIMPLE/SINGLE,399,10060
ER I&D ABSCESS-COMP OR MULTI,430,10061
ER I&D PILONIDAL CYST SIMPLE,448,10080
MWHC I&R FOREIGN BODY SQ SIMP,662,10120
ED I&D HEMATOMA,2963,10140
ER PUNCTURE ASPIRATION,402,10160
ER DEBRIDEMENT UP TO 10%,283,11000
ER DEBRIDEMENT ADDL 10%,215,11001
DEBRIDE SKIN BONE AT FX SITE,1855,11012
ER DEBRIDEMENT SKIN-SQ TISSUE,831,11042
DEBRIDE SKIN SUBQ & MUSCLE,807,11043
ED DEBRIDEMENT BONE 1ST 20SQCM,1524,11044
DEBRIDE SKIN SUBQ ADDL 20 SQCM,595,11045
DEBRIDE SKIN SQ & MUSC ADD ON,595,11046
DEBRIDE BONE EA ADDL 20SQCM,1568,11047
ED CUTTING SKIN LESION,205,11055
TRIM SKIN LESION: 2-4 LESIONS,218,11056
TRIM SKIN LESION: MORE THAN 4,334,11057
ER BIOPSY SKIN SQ SINGLE,347,11100
BIOPSY SKIN SQ ADDL LESION,272,11101
ED REMOVE SKIN TAGS,230,11200
ED EXC B9 SKIN LESION 2.1-3CM,1969,11403
ER EXCISE B9 LESION <.5CM,1661,11420
ED EXCISE B9 LESION 1.1-2 CM,1856,11422
ED EXCISE BENIGN LESION,4031,11423
ED EXCISION OF LESION,3108,11424
EXCISE BENIGN LESION 0.5CM<,1070,11440
LEVEL II EXCISION,1897,11603
EXC MALIG LESION SNHFG >4CM,3846,11626
ED TRIM NONDYSTROPHIC NAIL(S),197,11719
ER DEBRIDEMENT OF NAIL(S),218,11720
DEBRIDE NAILS 6 OR MORE,194,11721
ER AVULSION OF NAIL PLATE SNGL,259,11730
ER AVULSION NAIL PLATE EA ADDL,225,11732
ER EVACUATE SUBUNGUAL HEMATOMA,192,11740
ED REMOVE NAIL BED,1134,11750
ED EXCISE NAIL AND NAIL MATRIX,3782,11752
ED REPAIR NAIL BED,779,11760
ER EXCISION OF NAIL FOLD-TOE,412,11765
ER SIMPLE SUTURE REPAIR,573,12001
ER SIMPLE SUTURE REPAIR,573,12002
ER SIMPLE SUTURE REPAIR,573,12004
ER SIMPLE SUTURE REPAIR,573,12005
ER SIMPLE REPAIR,303,12006
ED SIMPLE REPAIR > 30CM,259,12007
ER SIMPLE SUTURE REPAIR,563,12011
ER SIMPLE SUTURE REPAIR,563,12013
ER SIMPLE SUTURE REPAIR,558,12014
ER SIMPLE SUTURE REPAIR,558,12015
ER SIMPLE SUTURE REPAIR,399,12016
ED WOUND DEHISCENCE SIMPL,1611,12020
TX WOUND DEHISCENCE W PACKING,699,12021
ED LAYERED SUTURE REPAIR,573,12031
ER LAYERED SUTURE REPAIR,535,12032
ER LAYERED SUTURE REPAIR,482,12034
ER LAYERED SUTURE REPAIR,514,12035
ED WOUND CLOSURE 20.1-30 CM,557,12036
ER LAYERED SUTURE REPAIR,573,12041
ER LAYERED SUTURE REPAIR,497,12042
ER LAYERED SUTURE REPAIR,511,12044
ER LAYERED SUTURE REPAIR,557,12045
ED INTERMEDIATE WOUND REPAIR,760,12046
ER LAYERED SUTURE REPAIR,512,12051
ER LAYERED SUTURE REPAIR,497,12052
ER LAYERED SUTURE REPAIR,496,12053
ER LAYERED SUTURE REPAIR,481,12054
ER LAYERED SUTURE REPAIR,496,12055
ER COMPLEX SKIN REPAIR,699,13120
ED COMPLEX RPR 2.6 TO 7.5 CM,1018,13121
ED COMPLEX REPAIR ADDL 5CM,255,13122
ER COMPLEX REPAIR,560,13131
ER COMPLEX REPAIR,1008,13132
ER COMPLEX REPAIR ADDL,707,13133
ER COMPLEX REPAIR,1158,13152
DRMGRFT PREP TNK ARM LEG 100,273,15002
DRMGRFT PREP FC HD FT GEN 100,1045,15004
ED THICKNESS GRAFT =<20 SQ CM,3052,15240
APPLY SKIN SUBSTITUTE 15271,654,15271
APPLY SKIN SUBSTITUTE 15272,256,15272
APPLY SKIN SUBSTITUTE 15273,1015,15273
APPLY SKIN SUBSTITUTE 15274,674,15274
APPLY SKIN SUBSTITUTE 15275,654,15275
APPLY SKIN SUBSTITUTE 15276,256,15276
APPLY SKIN SUBSTITUTE 15277,1015,15277
APPLY SKIN SUBSTITUTE 15278,674,15278
BILAMINATE SKIN 1ST 25 SQ CM,687,15340
BILAMINATE SKIN ADDL 25 SQ CM,674,15341
DRMGRFT FCE GNT HND FT 100 CM,1033,15365
ACELL XENOGRAFT 100 SQ CM,1101,15430
MWHC EXCISE PRESSURE ULCER,4974,15931
MWHC EXCISE PRESSURE ULCER,2926,15952
ER 1ST DEGREE BURN TREATMENT,239,16000
