"abatacept (with maltose) 250 mg intravenous soluti","J0129",$2940.19
"abobotulinumtoxinA 300 unit intramuscular solution","J0586",$1612.56
"abobotulinumtoxinA 500 unit intramuscular solution","J0586",$2676.13
"acetaminophen 1,000 mg/100 mL (10 mg/mL) intraveno","J0131",$215.78
"acetaminophen 120 mg rectal suppository","J3490",$1.73
"acetaminophen 120 mg-codeine 12 mg/5 mL oral solut",,$22.13
"acetaminophen 160 mg/5 mL (5 mL) oral solution","J3490",$3.43
"acetaminophen 160 mg/5 mL oral elixir","J3490",$1.17
"acetaminophen 300 mg-codeine 30 mg tablet","J3490",$22.40
"acetaminophen 325 mg rectal suppository",,$2.05
"acetaminophen 325 mg tablet","J3490",$1.07
"acetaminophen 500 mg tablet","J3490",$1.08
"acetaminophen 650 mg rectal suppository","J3490",$1.85
"acetaZOLAMIDE 250 mg tablet","J3490",$26.47
"acetaZOLAMIDE 500 mg solution for injection","J1120",$150.88
"acetic acid (bulk) 5 % liquid","J3490",$65.67
"acetic acid 0.25 % irrigation solution","J3490",$81.00
"acetic acid 2 % ear solution",,$100.30
"acetic acid-aluminum acetate 2 % ear drops","J3490",$189.38
"acetylcholine chloride 1 % (10 mg/mL) intraocular ","J3490",$86.88
"acetylcysteine (bulk) powder","J3490",$285.34
"acetylcysteine 200 mg/mL (20 %) intravenous soluti","J0132",$114.70
"acetylcysteine 200 mg/mL (20 %) solution","J3490",$44.88
"acetylcysteine 600 mg capsule",,$1.09
"activated charcoal 25 gram/120 mL oral suspension",,$33.94
"activated charcoal-sorbitol 25 gram/120 mL oral su",,$20.98
"acyclovir 200 mg capsule","J3490",$16.88
"acyclovir 200 mg/5 mL oral suspension","J3490",$1205.12
"acyclovir 5 % topical cream","J3490",$2413.47
"acyclovir 5 % topical ointment","J3490",$976.30
"acyclovir sodium 50 mg/mL intravenous solution","J0133",$93.94
"acyclovir sodium 500 mg intravenous solution","J0133",$136.74
"adenosine (diagnostic) 3 mg/mL intravenous solutio","J0153",$652.97
"adenosine 3 mg/mL intravenous solution","J0153",$33.79
"albumin, human 25 % intravenous solution","P9047",$662.00
"albuterol sulfate 1.25 mg/3 mL solution for nebuli","J3490",$19.99
"albuterol sulfate 2 mg/5 mL syrup","J3490",$162.16
"albuterol sulfate 2.5 mg/3 mL (0.083 %) solution f","J3490",$16.60
"albuterol sulfate 4 mg tablet","J3490",$24.29
"albuterol sulfate HFA 90 mcg/actuation aerosol inh","J3490",$255.99
"allopurinol 100 mg tablet","J3490",$17.24
"allopurinol 300 mg tablet","J3490",$18.21
"alpha-1-proteinase inhibitor (human) 1,000 mg intr","J0256",$64.49
"ALPRAZolam 0.25 mg tablet",,$22.38
"ALPRAZolam 0.5 mg tablet","J3490",$22.19
"alprostadil 500 mcg/mL injection solution","J0270",$401.37
"alteplase 100 mg intravenous solution","J2997",$28617.17
