SERVICE CATEGORY,DESCRIPTION,CHARGE,DOSE,STATE OF OHIO REQUIREMENT
Audiology Services,NEWBORN HEARING SCREENING,$93.00,,
Audiology Services,NEWBORN HEARING SCREENING-REPEAT,$80.00,,
Blood Products,CRYOPRECIPITATE 1 UNIT,$211.00,,
Blood Products,FRESH FROZEN PLASMA 1 UNIT,$211.00,,
Blood Products,FRESH FROZEN PLASMA CRYOPOOR,$202.00,,
Blood Products,FRESH FROZEN PLASMA PHERESIS,$202.00,,
Blood Products,LEUKOCYTE PHERESIS,"$3,609.00",,
Blood Products,PLATELET LEUKO REDUCED,$298.00,,
Blood Products,PLATELETPHERESIS LR HLA,"$1,755.00",,
Blood Products,PLATELETPHERESIS LR IRRADIATED,"$2,888.00",,
Blood Products,PLATELETS LR IRRADIATED,$435.00,,
Blood Products,PLATELETS PHERESIS LEUKOCYTE R,"$1,634.00",,
Blood Products,RED CELLS FROZEN DEGLYC 1 UNIT,"$2,032.00",,
Blood Products,RED CELLS LEUKO REDUCED 1 UNIT,$801.00,,
Blood Products,RED CELLS LR IRRADIATED,"$1,055.00",,
Blood Products,RED CELLS PACKED 1 UNIT,$801.00,,
Blood Products,RED CELLS WASHED 1 UNIT,"$1,920.00",,
Blood Products,WHOLE BLOOD 1 UNIT,$912.00,,
Breast Procedures,BIOPSY BREAST 1ST LESION STRTCT,"$2,008.00",,
Breast Procedures,BIOPSY BREAST 1ST LESION US IMAG,"$2,008.00",,
Breast Procedures,BIOPSY BREAST ADD'L LESION STRTCTC,"$1,005.00",,
Breast Procedures,BIOPSY BREAST ADD'L LESION US IMAG,"$1,005.00",,
Breast Procedures,PERQ DEVICE BREAST 1ST IMAG,"$1,192.00",,
Breast Procedures,PERQ DEVICE BREAST 1ST US IMAGE,"$1,192.00",,
Breast Procedures,PERQ DEVICE BREAST ADD'L US IMAGE,"$1,192.00",,
Breast Procedures,PERQ DEVICE BREAST EACH IMAG,$597.00,,
Cardiac Procedures and Services,CARDIAC REHAB WITHOUT TELEMETRY,$254.00,,X
Cardiac Procedures and Services,CARDIAC STRESS TEST INTERP/REP,$240.00,,
Cardiac Procedures and Services,CARDIAC STRESS TEST-Tracing only,$863.00,,
Cardiac Procedures and Services,CARDIOVASCULAR STRESS TEST; TRACING,$863.00,,
Cardiac Procedures and Services,CARDIOVERSION,$510.00,,
Cardiac Procedures and Services,CARDIOVERSION,$536.00,,
Cardiac Procedures and Services,CODE BLUE,$942.00,,
Cardiac Procedures and Services,CORONARIES GRAFTS ONLY,"$11,560.00",,
Cardiac Procedures and Services,CORONARIES ONLY,"$11,863.00",,
Cardiac Procedures and Services,DOPPLER COLOR FLOW VEL MAPPING,$377.00,,
Cardiac Procedures and Services,ECHO DOPPLER-FOLLOW UP,$516.00,,
Cardiac Procedures and Services,ECHO TEE COMPLETE,"$2,136.00",,
Cardiac Procedures and Services,ECHO TEE COMPLETE W/CONTRAST,"$2,136.00",,
Cardiac Procedures and Services,ECHO TEE CONGENITAL COMPLETE W/PF,"$2,136.00",,
Cardiac Procedures and Services,ECHOCARD W/STRESS W/EKG MONIT,"$1,548.00",,
Cardiac Procedures and Services,ECHOCARD W/STRESS W/EKG W/CONTRAST,"$1,548.00",,
Cardiac Procedures and Services,ECHOCARDIOGRAM DOPPLER,$563.00,,
Cardiac Procedures and Services,ECHOCARDIOGRAM-FOLLOW UP,$761.00,,
Cardiac Procedures and Services,ECHOCARDIOGRAM-FOLLOW UP W/CONTRAST,$761.00,,
Cardiac Procedures and Services,EKG-INTERPRETATION AND REPORT ONLY,$44.00,,
Cardiac Procedures and Services,EKG-TRACING ONLY,$148.00,,
Cardiac Procedures and Services,EVENT MONITOR 30 DAY,$587.00,,
Cardiac Procedures and Services,EVENT RECORDING-INTERP/REPORT,$229.00,,
Cardiac Procedures and Services,EVENT-RECORDING ONLY,$587.00,,
Cardiac Procedures and Services,HOLTER MONITOR-ANALYSIS,$314.00,,
Cardiac Procedures and Services,HOLTER MONITOR-INTERP/REPORT,$120.00,,
Cardiac Procedures and Services,HOLTER MONITOR-RECORDING ONLY,$253.00,,
Cardiac Procedures and Services,ICM/ILR REMOTE TECH SERVICE=<30 DAYS,$86.00,,
Cardiac Procedures and Services,IMPLANT LOOP RECORD DEVICE EVAL PROGR,$86.00,,
Cardiac Procedures and Services,IMPLANTED LOOP RECORD DEVICE INTERROGATE,$40.00,,
Cardiac Procedures and Services,INJ PULMONARY ANGIO DURING CAR,$115.00,,
Cardiac Procedures and Services,INJECT SUPRAVALVULAR AORTGRAPHY,$162.00,,
Cardiac Procedures and Services,LT HEART CATH,"$11,863.00",,
Cardiac Procedures and Services,LT HEART CATH W/ BYPASS,"$11,863.00",,
Cardiac Procedures and Services,"PAD REHAB, PER SESSION",$125.00,,
Cardiac Procedures and Services,PHYS SERVICES/CARDIAC REHAB/WITH CONTINU,$262.00,,X
Cardiac Procedures and Services,R&L HT CATH W/ VENTRICULOGRAPHY,"$11,863.00",,
Cardiac Procedures and Services,REMOTE 30 DAY ECG WITH TECH SUPPORT,$313.00,,
Cardiac Procedures and Services,RT AND LT HEART CATH,"$11,863.00",,
Cardiac Procedures and Services,RT AND LT HEART CATH W/ GRAFT,"$11,863.00",,
Cardiac Procedures and Services,RT HEART CATH,"$11,863.00",,
Cardiac Procedures and Services,RT HEART CATH W/BYPASS,"$11,863.00",,
Cardiac Procedures and Services,RT HT CATH W/ ANGIO,"$11,863.00",,
