"OHIOHEALTH DOCTORS HOSPITAL, DUBLIN METHODIST HOSPITAL, GRANT MEDICAL CENTER, GROVE CITY METHODIST HOSPITAL, AND RIVERSIDE METHODIST HOSPITAL CHARGE LIST",,,,,,,,,,
SERVICE CATEGORY,DESCRIPTION,CHARGE,DOSE,STATE OF OHIO REQUIREMENT,,,,,,
Allergy Testing,HC ALLERGY TEST PERQ AND IC DRUG OR BIOLOGICAL,$230.00,,,,,,,,
Audiology Services,HC AUDIO PURE TONE AIR SCREEN,$115.00,,,,,,,,
Audiology Services,"HC AUDIOMETRY PURE TONE, AIR AND BONE",$115.00,,,,,,,,
Audiology Services,"HC AUDIOMETRY PURE TONE, AIR ONLY",$115.00,,,,,,,,
Audiology Services,HC AUDITORY EVOKED OAE,$115.00,,,,,,,,
Audiology Services,HC AUDITORY EVOKED POTENTIAL COMP,$115.00,,,,,,,,
Audiology Services,HC AUDITORY EVOKED POTENTIAL LIMITED,$68.00,,,,,,,,
Audiology Services,HC HEARING SCREEN EVOKED OAE,$115.00,,,,,,,,
Biofeedback,HC EMG RETRAINING,"$2,137.00",,,,,,,,
Blood Products,HC BLOOD LEUKO REDUCED CMV NEG 1 UNIT,"$1,005.00",,,,,,,,
Blood Products,HC CRYOPRECIPITATE 1 UNIT,$318.00,,,,,,,,
Blood Products,HC FRESH FROZEN PLASMA 1 UNIT,$278.00,,,,,,,,
Blood Products,HC PLATELETS LEUKO REDUCED 1 UNIT,$426.00,,,,,,,,
Blood Products,HC PLATELETS LEUKO REDUCED DIRECTED 1 UNIT,$426.00,,,,,,,,
Blood Products,HC PLATELETS PHERESIS L R IRRADIATED 1 UNIT,"$2,701.00",,,,,,,,
Blood Products,HC PLATELETS PHERESIS LEUKOCYTE REDUCED 1 UNIT,"$2,668.00",,,,,,,,
Blood Products,HC RED CELLS FROZEN DEGLYCEROL LR WASHED 1 UNIT,"$1,819.00",,,,,,,,
Blood Products,HC RED CELLS LEUKO REDUCED 1 UNIT,$987.00,,,,,,,,
Blood Products,HC RED CELLS LEUKO REDUCED IRRADIATED 1 UNIT,"$1,156.00",,,,,,,,
Blood Products,HC RED CELLS PACKED 1 UNIT,$866.00,,,,,,,,
Blood Products,HC RED CELLS WASHED 1 UNIT,"$2,916.00",,,,,,,,
Blood Products,HC WHOLE BLOOD 1 UNIT,"$1,037.00",,,,,,,,
Breast Procedures,HC ASPIRATION CYST BREAST ADDL,$237.00,,,,,,,,
Breast Procedures,HC ASPIRATION CYST BREAST INITIAL,$237.00,,,,,,,,
Breast Procedures,HC BREAST BX PERCUTANEOUS WO GUIDANCE,$503.00,,,,,,,,
Breast Procedures,HC BX BREAST W DEVICE MR GUIDANCE 1ST LES,"$2,238.00",,,,,,,,
Breast Procedures,HC BX BREAST W DEVICE MR GUIDANCE ADDL LES,$681.00,,,,,,,,
Breast Procedures,HC BX BREAST W DEVICE STEREOTACTIC 1ST LES5,"$7,538.00",,,,,,,,
Breast Procedures,HC BX BREAST W DEVICE STEREOTACTIC ADDL LES,$681.00,,,,,,,,
Breast Procedures,HC BX BREAST W DEVICE US GUIDANCE 1ST LES,"$3,004.00",,,,,,,,
Breast Procedures,HC BX BREAST W DEVICE US GUIDANCE ADDL LES,$681.00,,,,,,,,
Breast Procedures,HC EXCISION CHEST WALL LESION,"$2,576.00",,,,,,,,
Breast Procedures,HC INJ DUCTOGRAM OR GALACTOGRAM,"$1,280.00",,,,,,,,
Breast Procedures,HC PLC BREAST LCL DEVICE STEREOTACTIC 1ST LES,$325.00,,,,,,,,
Breast Procedures,HC PLC BREAST LCL DEVICE STEREOTACTIC ADDL LES,$325.00,,,,,,,,
Breast Procedures,HC PLC BREAST LCL DEVICE US GUIDANCE 1ST LES,$325.00,,,,,,,,
Breast Procedures,HC PLC BREAST LCL DEVICE US GUIDANCE ADDL LES,$325.00,,,,,,,,
Breast Procedures,HC PLC BREAST LCL DEVICE W MAMMO GUID 1ST LES,$325.00,,,,,,,,
Breast Procedures,HC PLC BREAST LCL DEVICE W MAMMO GUID ADDL LES,$325.00,,,,,,,,
Cardiac Procedures and Services,HC ABLATION ADDL A FIB,"$5,430.00",,,,,,,,
Cardiac Procedures and Services,HC ABLATION AV,"$22,097.00",,,,,,,,
Cardiac Procedures and Services,HC ABLATION DISTINCT FROM PRIMARY,"$5,430.00",,,,,,,,
Cardiac Procedures and Services,HC ANALYSIS ICD LEAD GENERATOR AT IMPLANT,"$4,044.00",,,,,,,,
Cardiac Procedures and Services,HC ANALYSIS ICD LEADS AT IMPLANT,"$5,350.00",,,,,,,,
Cardiac Procedures and Services,HC ARRHYTHMIA INDUCTION ELECTRICAL,"$5,371.00",,,,,,,,
Cardiac Procedures and Services,HC ATHERECTOMY EA ADD BRANCH MAJ COR ART,"$13,257.00",,,,,,,,
Cardiac Procedures and Services,HC ATHERECTOMY SGL MAJ COR ART OR BRANCH,"$15,179.00",,,,,,,,
Cardiac Procedures and Services,HC ATHERECTOMY W STENT ADDL BRANCH,"$11,862.00",,,,,,,,
Cardiac Procedures and Services,HC ATHERECTOMY W STENT MAJ COR ART OR BRANCH,"$15,179.00",,,,,,,,
Cardiac Procedures and Services,HC ATHLETIC SCREENING ECHO,$95.00,,,,,,,,
Cardiac Procedures and Services,HC BIOPSY ENDOMYOCARDIAL,"$10,306.00",,,,,,,,
Cardiac Procedures and Services,HC BUNDLE OF HIS RECORDING,"$5,813.00",,,,,,,,
Cardiac Procedures and Services,HC CARD REHAB W MON,$424.00,,,,,,,,
Cardiac Procedures and Services,HC CARD REHAB WO MON,$297.00,,,,,,,,
Cardiac Procedures and Services,HC CARDIOVERSION ELECTIVE EXTERNAL,"$6,146.00",,,,,,,,
Cardiac Procedures and Services,HC CORONARY ANGIO W BYPASS GRAFTS,"$11,926.00",,,,,,,,
Cardiac Procedures and Services,HC CORONARY ANGIOGRAPHY,"$9,803.00",,,,,,,,
Cardiac Procedures and Services,HC CORONARY ANGIOGRAPHY W LHC,"$12,084.00",,,,,,,,
Cardiac Procedures and Services,HC CORONARY ANGIOGRAPHY W LHC AND RHC,"$13,302.00",,,,,,,,
Cardiac Procedures and Services,HC CORONARY ANGIOGRAPHY W RHC,"$13,182.00",,,,,,,,
Cardiac Procedures and Services,HC CORONARY ANGIOGRPHY W BYP GRFTS AND LHC,"$12,786.00",,,,,,,,
Cardiac Procedures and Services,HC CORONARY ANGIOGRPHY W BYP GRFTS AND RHC,"$13,425.00",,,,,,,,
Cardiac Procedures and Services,HC CORONARY ANGIOGRPHY W BYP GRFTS LHC AND RHC,"$14,935.00",,,,,,,,
Cardiac Procedures and Services,HC CORONARY FFR FROM CCTA DATA PREP & TRANSMISSION ONLY,$413.00,,,,,,,,
Cardiac Procedures and Services,HC CORONARY FFR FROM CCTA GENERATION OF ESTIMATED FFR MODEL ONLY,"$5,755.00",,,,,,,,
Cardiac Procedures and Services,HC CPR,"$2,065.00",,,,,,,,
Cardiac Procedures and Services,HC DE STENT EA ADDL MAJ COR ARTERY OR BRANCH,"$6,072.00",,,,,,,,
Cardiac Procedures and Services,HC DE STENT SGL MAJ COR ARTERY OR BRANCH,"$13,644.00",,,,,,,,
Cardiac Procedures and Services,HC DE STENT W ATHER MAJ COR ARTERY OR BRANCH,"$16,775.00",,,,,,,,
Cardiac Procedures and Services,HC DE STENT W ATHERECTOMYADDL BRANCH,"$13,257.00",,,,,,,,
Cardiac Procedures and Services,HC ECHO 2D W WO M MODE W CONT COMP,"$2,289.00",,,,,,,,
Cardiac Procedures and Services,HC ECHO 2D W WO M MODE W CONT LTD,"$2,289.00",,,,,,,,
Cardiac Procedures and Services,HC ECHO 2D W WO M-MODE LIMITED,"$1,431.00",,,,,,,,
Cardiac Procedures and Services,HC ECHO COLOR FLOW VELOCITY MAPPING,$186.00,,,,,,,,
Cardiac Procedures and Services,HC ECHO COMPLETE W DOPPLER,"$1,955.00",,,,,,,,
Cardiac Procedures and Services,HC ECHO COMPLETE W DOPPLER W  CONTRAST,"$2,993.00",,,,,,,,
Cardiac Procedures and Services,HC ECHO CONGEN CARDIAC ANOMALY COMP,"$2,718.00",,,,,,,,
Cardiac Procedures and Services,HC ECHO CONGEN CARDIAC ANOMALY COMP W CONT,"$2,854.00",,,,,,,,
Cardiac Procedures and Services,HC ECHO CONGEN CARDIAC ANOMALY LTD,"$1,955.00",,,,,,,,
Cardiac Procedures and Services,HC ECHO DOPPLER,$268.00,,,,,,,,
Cardiac Procedures and Services,HC ECHO DOPPLER LIMITED,$251.00,,,,,,,,
Cardiac Procedures and Services,HC ECHO REST AND STRESS W CONTRAST,"$2,993.00",,,,,,,,
Cardiac Procedures and Services,HC ECHO STRESS AND REST WO CONT EKG MONITOR,"$1,955.00",,,,,,,,
Cardiac Procedures and Services,HC ECHO TEE COMPLETE,"$2,812.00",,,,,,,,
Cardiac Procedures and Services,HC ECHO TEE CONGEN CARD ANOMALY COMPLETE,"$2,232.00",,,,,,,,
Cardiac Procedures and Services,HC ECHO TEE PROBE PLCMT ONLY,"$2,022.00",,,,,,,,
Cardiac Procedures and Services,HC ECHO TEE W CONTRAST COMPLETE,"$3,094.00",,,,,,,,
Cardiac Procedures and Services,HC EKG,$128.00,,,,,,,,
Cardiac Procedures and Services,HC EKG RHYTHM TRACING ONLY,$380.00,,,,,,,,
Cardiac Procedures and Services,HC EKG SIGNAL AVERAGED,$773.00,,,,,,,,
Cardiac Procedures and Services,HC EP COMPREHENSIVE LEFT ATRIUM,"$12,582.00",,,,,,,,
