OHIOHEALTH SHELBY HOSPITAL CHARGE LIST,,,,
SERVICE CATEGORY,DESCRIPTION,CHARGE,DOSE,STATE OF OHIO REQUIREMENT
Audiology Services,ACOUSTIC IMMITTANCE TESTING,$155.00,,
Audiology Services,ACOUSTIC REFLEX TESTING THRESHOLD,$89.00,,
Audiology Services,AUDIOMETRY EVOKED POTENTIALS - COMPREHENSIVE,"$1,044.00",,
Audiology Services,AUDIOMETRY EVOKED POTENTIALS - LIMITED,$467.00,,
Audiology Services,AUDITORY REHABILITATION POSTLINGUAL HEARING LOSS,$186.00,,
Audiology Services,BASE AUDIOGRAM - GN,$110.00,,
Audiology Services,BASIC VESTIBULAR EVALUATION,$585.00,,
Audiology Services,"BRAINSTEM AUDITORY EVOKED POTENTIALS (BAER, BAEP)",$473.00,,
Audiology Services,BRAINSTEM AUDITORY EVOKED RESPONSE-COMPREHENSIVE-GN,$343.00,,
Audiology Services,BRAINSTEM AUDITORY EVOKED RESPONSE-LIMITED-GN,$227.00,,
Audiology Services,CALORIC VESTIBULAR TEST W/RECORDING - BILATERAL - BITHERMAL,$533.00,,
Audiology Services,CALORIC VESTIBULAR TEST W/RECORDING - BILATERAL - MONOTHERMAL,$533.00,,
Audiology Services,COMPREHENSIVE AUDIOGRAM - GN,$220.00,,
Audiology Services,COMPREHENSIVE AUDIOMETRY THRESHOLD & SPEECH RECOGNITION,$494.00,,
Audiology Services,CONDITIONING PLAY AUDIOMETRY,$422.00,,
Audiology Services,EAR PROTECTOR ATTENUATION MEASUREMENTS,$155.00,,
Audiology Services,ELECTROACOUSTIC EVALUATION FOR HEARING AID - BINAURAL,$149.00,,
Audiology Services,ELECTROACOUSTIC EVALUATION FOR HEARING AID - MONAURAL,$113.00,,
Audiology Services,ELECTROCOCHLEOGRAPHY,$892.00,,
Audiology Services,EVALUATION AUDITORY REHABILITATION STATUS - 1ST HOUR,$539.00,,
Audiology Services,EVALUATION AUDITORY REHABILITATION STATUS - EACH ADD'L 15 MINUTES,$207.00,,
Audiology Services,EVOKED OTOACOUSTIC  EMISSIONS SCREENING,$196.00,,
Audiology Services,EVOKED OTOACOUSTIC EMISSION-GN,$262.00,,
Audiology Services,EVOKED OTOACOUSTIC EMISSIONS - COMPREHENSIVE OR DX EVALUATION,$352.00,,
Audiology Services,EVOKED OTOACOUSTIC EMISSIONS - LIMITED,$201.00,,
Audiology Services,HEARING AID CHECK - BINAURAL,$149.00,,
Audiology Services,HEARING AID CHECK - MONAURAL,$113.00,,
Audiology Services,HEARING AID EXAMINATION & SELECTION - BINAURAL,$149.00,,
Audiology Services,HEARING AID EXAMINATION & SELECTION - MONAURAL,$113.00,,
Audiology Services,HEARING TEST - FILTERED SPEECH,$155.00,,
Audiology Services,HEARING TEST - SHORT INCREMENT SENSITIVITY INDEX (SISI),$155.00,,
Audiology Services,HEARING TEST - STENGER - PURE TONE,$155.00,,
Audiology Services,HEARING TEST - TONE DECAY,$155.00,,
Audiology Services,OPTOKINETIC NYSTAGMUS TEST WITH RECORDING,$302.00,,
Audiology Services,OSCILLATING TRACKING TEST WITH RECORDING,$302.00,,
Audiology Services,PRO AUDIOMETRY EVOKED POTENTIALS - COMPREHENSIVE,$42.00,,
Audiology Services,PRO BASIC VESTIBULAR EVALUATION,$129.00,,
Audiology Services,PRO EVOKED OTOACOUSTIC EMISSIONS - COMPREHENSIVE,$30.00,,
Audiology Services,PRO EVOKED OTOACOUSTIC EMISSIONS - LIMITED,$11.00,,
Audiology Services,PRO OPTOKINETIC NYSTAGMUS TEST WITH RECORDING,$22.00,,
Audiology Services,PRO OSCILLATING TRACKING TEST WITH RECORDING,$20.00,,
Audiology Services,PURE TONE AUDIOMETRY (THRESHOLD) - AIR & BONE,$279.00,,
Audiology Services,PURE TONE AUDIOMETRY (THRESHOLD) - AIR ONLY,$180.00,,
Audiology Services,SCREENING TEST - PURE TONE - AIR ONLY,$31.00,,
Audiology Services,SELECT PICTURE AUDIOMETRY,$155.00,,
Audiology Services,SPEECH THRESHOLD - AUDIOMETRY,$103.00,,
Audiology Services,SPEECH THRESHOLD - AUDIOMETRY - COMPLETE,$103.00,,
Audiology Services,STENGER TEST - SPEECH,$539.00,,
Audiology Services,TYMPANOGRAM - GN,$108.00,,
Audiology Services,TYMPANOMETRY (IMPEDANCE TESTING),$103.00,,
Audiology Services,TYMPANOMETRY AND REFLEX THRESHOLD MEASUREMENT,$180.00,,
Audiology Services,VISUAL REINFORCEMENT AUDIOMETRY (VRA),$494.00,,
Blood Products,AUTOLOGOUS UNIT,"$1,041.00",,
Blood Products,BLOOD,$712.00,,
Blood Products,"BLOOD, LEUKOREDUCED IRRADIATED",$862.00,,
Blood Products,"BLOOD,LEUKOREDCD,CMV NEG,IRRADIA","$1,219.00",,
Blood Products,CRYOPOOR PLASMA,$171.00,,
