Facility,Description,Unit Price
Cooper University Hospital,HEMODIALYSIS BEDSIDE," $4,372.00 "
Cooper University Hospital,14.3.3 ETA PROTEIN, $342.00 
Cooper University Hospital,17 OH PROGESTERONE RESULT*, $183.00 
Cooper University Hospital,17-OH-CORTICOSTEROIDS, $213.00 
Cooper University Hospital,21-HYDROXYLASE AB, $344.00 
Cooper University Hospital,2D ECHO M MODE LIMITED," $1,214.00 "
Cooper University Hospital,2DM ECHO WITH CONTRAST/DOPPLER," $2,470.00 "
Cooper University Hospital,36014 1ST 2ND PULMONARY," $6,245.00 "
Cooper University Hospital,3D MAPPING CATHETER C1733," $15,503.00 "
Cooper University Hospital,3D RADSIMULATION-AIDED FIELD S," $9,687.00 "
Cooper University Hospital,3D RADSIMULATION-AIDED FIELD S RP," $9,687.00 "
Cooper University Hospital,3D RECONSTRUCT W INTERPR/REPOR, $711.00 
Cooper University Hospital,3D RECONSTRUCT WORKSTATION," $1,015.00 "
Cooper University Hospital,6-METHYL MERCAPTOPURINE METABO, $675.00 
Cooper University Hospital,6-THIOGUANINE METABOLITE, $675.00 
Cooper University Hospital,74320 PERC TRANSHEPATIC CHOLAN," $2,708.00 "
Cooper University Hospital,93770 DETERM VENOUS PRESSURE, $622.00 
Cooper University Hospital,ABCIXIMAB 2MG/ML 5ML," $3,847.00 "
Cooper University Hospital,ABD AOGRAM DESCEND NON-SELEC R," $8,470.00 "
Cooper University Hospital,ABD COMP INCL DECUB/ERECT VIEW, $570.00 
Cooper University Hospital,ABD SINGLE VIEW, $516.00 
Cooper University Hospital,ABD WITH OBL AND CONE VIEWS, $237.00 
Cooper University Hospital,ABDOM PARACENTESIS DX/THER W/IMAGING GUIDANCE," $3,670.00 "
Cooper University Hospital,AB-IDENTIFICATION, $593.00 
Cooper University Hospital,ABL KINASE DOMAIN MUTATION," $1,512.00 "
Cooper University Hospital,ABL KINASE GENE ANALYSIS," $1,512.00 "
Cooper University Hospital,ABL LSR OPN WND 1ST 20 SQCM," $1,328.00 "
Cooper University Hospital,ABL LSR OPN WND ADDL 20 SQCM, $996.00 
Cooper University Hospital,ABLAT PERC RF 1ORMORE LIVER," $14,633.00 "
Cooper University Hospital,ABLATE BONE TUMOR PERCU W/GUID," $16,642.00 "
Cooper University Hospital,ABLATE PULM TUMOR PERQ CRYBL," $19,184.00 "
Cooper University Hospital,ABLATION PERC BONE TUMOR," $13,560.00 "
Cooper University Hospital,ABLATION RENAL CYST, $550.00 
Cooper University Hospital,ABR COMPREHENSIVE," $1,418.00 "
Cooper University Hospital,AC JOINT BIL WO OR W WT DIST, $777.00 
Cooper University Hospital,ACAPELLA THERAPY INITIAL," $1,373.00 "
Cooper University Hospital,ACAPELLA THERAPY SUBSEQUENT," $1,138.00 "
Cooper University Hospital,ACCEAVA RAPID STREP A TEST KIT, $60.00 
Cooper University Hospital,ACCUNET GUIDANT EMBOLIC 5.5," $7,184.00 "
Cooper University Hospital,ACETAMINOPHEN, $134.00 
Cooper University Hospital,ACETAMINOPHEN 325MG TAB, $7.00 
Cooper University Hospital,ACETAMINOPHEN/COD 30MG TAB, $6.00 
Cooper University Hospital,ACETYCHOLINE RECEPTOR BLOCKING, $96.00 
Cooper University Hospital,ACETYCHOLINE RECPT AB, $96.00 
Cooper University Hospital,ACETYLCHOL RECEPTOR MODULAT AB, $316.00 
Cooper University Hospital,ACETYLCYSTEINE 20% 10ML, $45.00 
Cooper University Hospital,ACHEIVE CABLES, $945.00 
Cooper University Hospital,ACID PERFUSION(BERNSTEIN) TEST," $1,403.00 "
Cooper University Hospital,ACTH, $336.00 
Cooper University Hospital,ACTIVATED CLOT TIME, $28.00 
Cooper University Hospital,ACTIVATED PROTEIN C RESISTANCE, $682.00 
Cooper University Hospital,ACUNAV CATHETER," $14,380.00 "
Cooper University Hospital,ACYCLOVIR, $504.00 
Cooper University Hospital,ACYLCARNITINE/QUANTITATIVE EAC, $601.00 
Cooper University Hospital,ADACEL/BOOSTRIX(TDAP)0.5ML INJ, $165.00 
Cooper University Hospital,ADALIMUMAB ANTIBODY, $333.00 
Cooper University Hospital,ADALIMUMAB LEVEL, $768.00 
Cooper University Hospital,ADAMTS13 CNV DETECTION - PG, $155.00 
Cooper University Hospital,ADAMTS13 SEQUENCING - PG, $155.00 
Cooper University Hospital,ADB PARACENTESIS W/IMAGE GUIDE," $2,066.00 "
Cooper University Hospital,ADB PARACENTESIS W/O IMAGE GUI," $2,086.00 "
Cooper University Hospital,ADENOSINE 1MG INJ*, $2.00 
Cooper University Hospital,"ADENOSINE DEAMINASE, BLOOD CS", $126.00 
Cooper University Hospital,"ADENOSINE DEAMINASE, FLUID CS", $399.00 
Cooper University Hospital,ADENOVIRUS ABS, $222.00 
Cooper University Hospital,"ADENOVIRUS AG, DFA", $184.00 
Cooper University Hospital,ADENOVIRUS BY PCR, $125.00 
Cooper University Hospital,ADJACENT TISSUE TRANSFER/REARGMT TRUNK 10 SQCM/<," $7,039.00 "
Cooper University Hospital,ADJNT TIS TRANSFR/REARRANGE TRUNK 10.1-30.0 SQCM," $7,039.00 "
Cooper University Hospital,ADJT TIS REARGMT EYE/NOSE/EAR/LIP 10.1-30.0 SQCM," $7,039.00 "
Cooper University Hospital,ADJT TIS TRNS/REARGMT F/C/C/M/N/A/G/H/F 10SQCM/<," $7,039.00 "
Cooper University Hospital,ADJT TIS TRNSFR/REARGMT SCALP/ARM/LEG 10 SQ CM/<," $7,039.00 "
Cooper University Hospital,ADJT TIS TRNSFR/REARRGMT E/N/E/L DFCT 10 SQ CM/<," $7,039.00 "
Cooper University Hospital,ADJT/REARGMT F/C/C/M/N/AX/G/H/F 10.1-30.0 SQ CM," $7,039.00 "
Cooper University Hospital,ADJT/REARRGMT SCALP/ARM/LEG 10.1-30.0 SQ CM," $7,039.00 "
Cooper University Hospital,ADM CATH PTA BAL COAT 5X40MM," $6,258.00 "
Cooper University Hospital,ADM CATH PTA BAL COAT 6X40MM," $6,258.00 "
Cooper University Hospital,ADMIN HEP B VACCINE, $146.00 
Cooper University Hospital,ADMIN INFLUENZA VIRUS VACCINE, $146.00 
Cooper University Hospital,ADMIN ONE VACCINE SINGLE/COMBO, $146.00 
Cooper University Hospital,ADMIN PNEUMOCOCCAL VACCINE, $146.00 
Cooper University Hospital,ADP*, $601.00 
Cooper University Hospital,ADRENAL AB, $74.00 
Cooper University Hospital,ADULT COLOR FLOW," $2,534.00 "
