Procedure ID,Description,Amount
82,MESH ATRIUM 6X6 100060  ,815.00
515,IV CATH ALL SIZES       ,16.00
524,TUBE ENDO 4MM CUFF      ,52.00
525,TUBE SUCTION YANKAUR    ,14.00
530,EKG PAD                 ,27.00
535,FIBERGLASS 3"           ,44.00
543,PRIMAPORE 10X3          ,24.00
544,AIRSTRIP 7X3            ,24.00
554,FOLEY TRAY 18 FR        ,53.00
555,STAPLE GUN 35W          ,125.00
558,TRIFLOW                 ,24.00
662,TRANSPAC                ,248.00
664,CVP INSERTION KIT       ,66.00
669,UNIFLEX IV DSG          ,24.00
671,JACKSON REESE AMBU BAG  ,40.00
673,HUMIDIFIE HCA           ,16.00
683,ENDO TUBE UNCUFF ALL    ,30.00
684,ENDO RAE CUFF           ,69.00
685,LASER FLEX TUBE         ,69.00
686,STYLETS-ENDOTUBE ALL    ,28.00
687,PORTEX BLUE LINE ADAPT  ,58.00
688,SUCTION CATH ALL SIZES  ,3.00
692,SALEM SUMP              ,17.00
693,SPINAL TRAY 22/25       ,83.00
694,EPIDURAL TRAY           ,129.00
695,PORTEX TRACH TUBE       ,207.00
704,HYPAFIX TAPE 6"         ,36.00
706,XEROXFOAM/VASELINE GAUZE,5.00
712,DRSG KERLX FLUFF M 2    ,3.00
719,ARM SLING               ,36.00
720,CUT AWAY ARM SLING      ,58.00
721,VELPEAU SHLD IMMOB SM   ,30.00
727,POST OP SHOE WS         ,50.00
728,TED HOSE THIGH HI ALL   ,52.00
729,TED HOSE KNEE HI ALL    ,58.00
730,ABD. BINDER             ,125.00
733,CAST LONG ARM PLASTER   ,319.00
734,PLASTER ARM SPLINT      ,143.00
735,PLASTER LEG SPLINT      ,289.00
736,OCL ARM SPLINT          ,207.00
737,OCL LEG SPLINT          ,328.00
740,AQUAPLAST NASAL SPLINT  ,75.00
741,DENVER SPLINT           ,131.00
743,DOYLE SPLINT            ,116.00
744,BRIDGE MASTER NASAL SPLI,122.00
785,IMP. STOCKINETTE        ,40.00
802,ARGYLE SUCT TIP         ,5.00
803,POOLE SUCT TIP          ,24.00
806,SILASTIC TUBING         ,16.00
811,SUCT. ASPIR TUBING      ,89.00
812,DISP ASPIR. TIPS        ,36.00
822,BAG A JET               ,24.00
824,PEN SKIN W/RULER 150    ,9.00
825,MARLEX MESH             ,540.00
827,HICKMAN CATH            ,658.00
828,HICKMAN CATH DUAL       ,1331.00
834,WECK SPEARS             ,18.00
851,I & O CATH TRAY         ,30.00
862,PADGETT DERM BLADE      ,50.00
869,PENROSE DRAINS          ,2.00
871,JP FLAT FULL PERF.      ,64.00
872,JP ROUND                ,69.00
873,JP RESERVOIR            ,60.00
875,HEMOVAC SM/MD/LG        ,96.00
879,IODOFORM GZ             ,27.00
880,NU-GAUZE PLAIN ALL      ,36.00
882,3M ARTHROS PUMP TUBE    ,415.00
883,DAVOL ARTHR PUMP TUBE   ,197.00
884,PULSEVAC SET            ,83.00
885,PULSEVAC FAN SPRAY      ,58.00
887,CONCEPT CANNULA KIT     ,116.00
890,RICHARDS SUTURE PASSER  ,108.00
891,SMOOTHIE                ,913.00
893,WRIGHT MED TENDON SPACER,5766.00
895,DYONICS SHAV TIPS       ,410.00
901,STERILE WATER 1000CC    ,138.00
909,NERVE STIMULATOR        ,125.00
915,PRIMAPORE 7X3           ,5.00
919,SRYRKER IRRIGATION FLOW ,62.00
920,BMT FEM STEM #162310    ,4512.00
923,ORTHOSORB PIN           ,1021.00
935,BIO CEM CNTZER #162656  ,120.00
1037,WATER IRRIG 1000CC      ,96.00
1144,21D9ST 1.0MM DIA BUR    ,107.00
1271,ETHIC. 5MM TROCAR LG/SHT,204.00
1275,CYSTO BLADDER SET       ,64.00
1278,SLIT KNIFE 5.2 995661   ,41.00
1309,CONCEPT REAMER          ,122.00
1312,PE TUBES                ,162.00
1319,DEPUY BLADE 5607-50     ,188.00
1391,VITAL-VUE               ,83.00
1407,RICHARDS STAPLES        ,535.00
1408,ROSETTE KNIFE           ,141.00
1421,AIRSTRIP 10X3           ,21.00
1422,FALLOPE RING BAND       ,143.00
1425,ACCUFEX SCREW           ,883.00
1434,SYNTHES DRILL BIT       ,350.00
1451,SYNTHES DRILL BIT 5604-6,44.00
1463,SCREW CLAW 2.7X20       ,1045.00
1464,RICHARDS TITIAN W/MICRO ,146.00
1465,RICHARDS BUTTERFLY      ,119.00
1466,RICHARDS SHEA SZ. 030   ,88.00
1467,RICHARDS T-TUBE         ,97.00
1476,HICKMAN PORT A CATH     ,1733.00
1487,ETHIC BLUNT 810-11 TROCA,410.00
1489,ETHIC. 5.5 REDUCERS     ,30.00
1493,ETHIC. DISP. DISSECTOR  ,580.00
1494,ETHIC. DISP. SCISSORS   ,580.00
1495,ETHIC. CAUTERY PROBE    ,768.00
1513,CONCEPT SOFT TISSUE KIT ,301.00
1532,SYN 7.0M CNN SCREW 208. ,1226.00
1624,KIT LEAD SCS LINEAR     ,8350.00
1652,SHEPHERD VENT TUBE      ,50.00
1659,CRESCENT BLADES         ,179.00
1660,OWENS GAUZE             ,14.00
1774,NEBULIZER EACH          ,38.00
1790,LIGACLIPS SM/MD/LG      ,36.00
1792,BONE STAPLE CARTRIDGE 3M,623.00
1794,FORTE  WASHER           ,41.00
1810,SYNTHES DRILL TAP 1.5MM ,162.00
1811,SYNTHES DRILL TAP 2.0MM ,162.00
1812,SYNTHES DRILL TAP 2.7MM ,167.00
1813,SYNTHES DRILL TAP 3.5 MM,167.00
1814,SYNTHES DRILL TAP 4.0   ,167.00
1815,SYNTHES DRILL TAP 4.5MM ,167.00
1818,DRILL BIT 4.5 310.44    ,99.00
1819,DRILL TAP 4.5 311.46    ,157.00
1820,THREADED GUIDE PIN CANNU,953.00
1852,BONE WAX                ,32.00
1876,DYONICS CURVE INCISOR BL,410.00
1942,STRYKER SHAVER BLADE    ,275.00
1953,SAG. SAW BLADES         ,40.00
1956,SPIKED WASHER           ,706.00
1976,DAVOL ENDO FLO SET      ,346.00
1978,DAVOL SUCTION IRRIGATOR ,281.00
2169,NERVE BLOCK TRAY        ,129.00
2173,BAG URINARY LEG MED     ,30.00
2175,ANKLE COLD THERAPY      ,138.00
2182,CEMENT                  ,103.00
2183,CEMENT MIXING BOWLS     ,221.00
2189,RESECTION LOOPS         ,289.00
2191,TEFLON FELT             ,275.00
2192,FIBERGLASS ARM SPLINT   ,218.00
2193,FIBERGLASS LEG SPLINT   ,441.00
2194,CAST SHORT ARM PLASTER  ,289.00
2195,CAST-FIBERGLASS ARM SH  ,441.00
2196,CAST-SHORT LEG PLASTER  ,363.00
2197,CAST-FIBERGLAS SHORT LEG,512.00
2198,CAST LONG LEG PLASTER   ,441.00
2225,SURGICEL                ,138.00
2227,WIRE 18 GA              ,41.00
2229,MAMMARY IMPLANT 300C ***,1217.00
2232,LINVATEC SHAVER BLADE   ,410.00
2239,DRILL TAP 4.0           ,157.00
2254,APPLE TROCAR 5MM        ,138.00
2262,DYONICS BLADE #4306     ,410.00
2413,POPE OTO-WICK           ,28.00
2414,STEINMEN PIN THREADED   ,79.00
2416,BIOCELL MAMMARY IMPLANTS,2497.00
2418,INTER.DRILL PIN SET     ,167.00
2430,DRILL BIT TWIST         ,40.00
2434,GUIDE WIRE 292.65       ,52.00
2436,HEMOCLIPS SMALL         ,52.00
2437,WIRE PASS DRILL 849-102 ,60.00
2450,ZIMMER BONE CEMENT ***  ,510.00
2454,CANCELL BONE CHIP 5 *** ,2125.00
2462,SUPRANE                 ,558.15
2467,STRYKER DRAIN 1/8 ROUND ,98.00
2473,LINVATEC SUTURE PASSER S,138.00
2474,LINVATEC SUTURE PASSER M,267.00
2475,CONCEPT RTC SUTURE PASSE,108.00
2483,EMINENCE DRILL 1.5MM    ,351.00
2484,CONDYLAR DRILL 2.1MM    ,351.00
2485,CONDYLAR DISP. SIZERS   ,186.00
2518,EBI WRIST FIXATOR       ,7689.00
2520,T-PORT                  ,13.00
2527,STERI STRIPS            ,9.00
2528,XEROFOAM ROLL           ,30.00
2530,OP SITE NEO SMALL       ,28.00
2531,OP SITE LG              ,50.00
2532,BIOCLUSIVE DSG.         ,28.00
2533,FIBERGLASS ARM CAST LG  ,481.00
2534,FIBERGLASS LNG LEG      ,551.00
2535,FIBERGLASS SLIPPER CAST ,207.00
2538,HEAD HALTER             ,65.00
2540,COLLAR PHILADELPHIA ALL ,123.00
2541,SLOTTED FOAM HEADREST   ,49.00
2542,OSI KIT                 ,222.00
2543,UNCUFF ORAL RAE TUBE    ,40.00
2544,CUFF NASAL RAE TUBE     ,69.00
2546,ABG KIT                 ,30.00
2547,DISP. PULSE OX PROBES   ,28.00
2554,STAPLER ROTATE HEAD     ,219.00
2555,VESSEL LP MINI/MAXI     ,30.00
2557,SKIN STAPLE EXTRAC.     ,58.00
2560,JP FLAT 3/4 PERF.       ,69.00
2561,CONSTAVAC 1/8 DR.KIT    ,192.00
2562,STRYKER DR.1/4 ROUND    ,98.00
2568,ETHIC. DISP. GRASPER    ,580.00
2569,AUTO SUTURE ENDO SHEARS ,580.00
2570,CABOT 8MM TROCAR        ,232.00
2571,DAVOL PEANUT DISSECT.   ,69.00
2572,COOK INJ. TUBE          ,36.00
2578,TYMPANO CAUTERY KNIFE   ,89.00
2579,MASTISOL                ,5.00
2580,REUTER BIVALVE SPLINT   ,98.00
2581,XOMED DISP. IRRIG SPIKE ,9.00
2582,MEROCELE SLIM LINE      ,30.00
2583,MEROCELE SINUS ENDO PK. ,40.00
2585,MEROCELE NASAL PK.      ,27.00
2586,WECK KNIFE BLADE        ,3.00
2587,WURZBURG SCREW 7MM      ,111.00
2588,DERMA CARRIER           ,99.00
2589,SUCT. LIPECTOMY LINER   ,30.00
2591,TATTOO DYE              ,103.00
2592,TATTOO MIXING BOWL      ,4.00
2593,PULSAVAC HAND CONTROL   ,118.00
2595,BONE CEMENT CARTRIDGE   ,212.00
2596,BREAK-AWAY PIN          ,147.00
2599,ABRADER BLADES          ,410.00
2600,RECIP. BLADES           ,41.00
2601,RECIP. BLADES II        ,138.00
2602,BURRS                   ,79.00
2603,HALL FISS. BURR         ,50.00
2604,HALL SWAN. BURR         ,288.00
2609,SUCTION KIT 14 FR       ,30.00
2610,MITEK QUICK ANCHOR      ,663.00
2611,HARPOON SUTURE ANCHOR   ,1339.00
2635,INTERMEDICS IMPLANT KNE,14750.00
2653,BACK SUPPORT SM/LG      ,77.00
2663,CORSET WARM/FORM LRG    ,41.00
2668,ARCH BAR                ,9.00
2671,KIT PROGRAMMER SCS      ,4269.00
2678,HOHN CATHETER           ,650.00
2693,TRICORTICAL ILLIUM BONE ,1859.00
2698,WARM & FORM BRACE       ,69.00
2705,SCOTCM CAST SPLINT 5X30 ,63.00
2706,BEAVER BLADE #57        ,30.00
2707,SF6 GAS                 ,243.00
2708,C3F8 GAS                ,243.00
2709,CDIS IRRIGATION SET     ,167.00
2710,FIBERGLASS SPLINT POST. ,225.00
3102,LAMIN KENNE DRAWSTRING P,146.00
4047,DYN FULL RAD 4.5 (3443) ,429.00
4879,SAW BLADE 86.5X25.OMM   ,141.00
4880,SAW BLADE 25.5X9.5MM.024,55.00
4909,RICHARDS GUIDE PIN      ,215.00
4920,MCGHAN TISSUE EXPAN *** ,3493.00
4938,GUIDE WIRE 292.62       ,81.00
4941,ETHIC. CLIP APPLIER     ,825.00
4942,AUTOCLIPS TIM 20        ,444.00
4954,BONE DRILL BIT 2.0      ,125.00
4955,BONE DRILL BIT 2.7      ,125.00
5041,MCGHAN CHIN IMPLANT *** ,421.00
5057,CAST SHOE               ,38.00
5058,ANKLE WALKER ALL SIZES  ,171.00
5066,01-7140 TWIST DRILL BIT ,292.00
5075,SYNTHES 3.2MM DRILL BIT ,861.00
5081,LIGACLIPS RELOAD UNIT   ,207.00
5088,SILASTIC SHEETING .020  ,50.00
5118,KNEE IMMOBILIZER        ,167.00
5133,BONE GROWTH STIMULATOR  ,10619.00
5134,EBI EXTERNAL FIXATOR    ,4698.00
5192,EBI BONE GRWTH STIM *** ,16707.00
5215,KAMVAC SUCTION TIPS     ,150.00
5247,TI CONDYLAR PROSTHESIS  ,5830.00
5291,EBI DRILL BIT 2.7       ,260.00
5292,EBI SCREWS 70/20***     ,444.00
5333,WURZBURG PLATE 3 HOLE   ,200.00
5334,WURZBURG SCREW 6MM      ,111.00
5335,CAROMED 2 BAND EAR BANDG,52.00
5339,CELL SAVER PK. 162 (200),1233.00
5399,DRILL BIT 2.7           ,276.00
5414,LEIBINGER SCREW***      ,275.00
5444,PLATE 7 HOLE SEMI TUBULA,144.00
5448,INSTRATEK BLADE SYSTEM  ,238.00
5460,ZIMMER CUT AWAY ARM SLIN,50.00
5461,STAPES REGULAR SHAFT    ,608.00
5485,ACMI 24FR CUT LOOP      ,207.00
6460,MINI SCREW MANDIBLE DRIL,206.00
6465,INTERMED DRILL SET      ,154.00
6468,CHIN PLATE OSTEOMED***  ,431.00
6474,ALCON CRESCENT KNIFE    ,41.00
6475,ALCON 5.1 SLIT KNIFE    ,41.00
6476,BEAVER BLADE 5520       ,50.00
6477,MENTOR METFIELD CUR ERAS,27.00
6479,CYSTI REV CUT 25G       ,9.00
6483,COLD THERAPY KNEE/SHOULD,138.00
6496,HERBERT BONE SCREW      ,1341.00
6497,FORTE BONE PLT 2480-01  ,1727.00
6498,ZIMMER MINI BONE SCREW  ,836.00
6501,TESTICULAR PROSTHESIS   ,2164.00
6504,IOL IMPLANT IOLAB***    ,174.00
6520,CORNEAL TISSUE  ***     ,11671.00
6524,ARTHREX SUTURE PIN***   ,207.00
6525,ARTHREX GUIDE PIN       ,215.00
6526,ARTHREX CORE REAMER PIN ,225.00
6527,ARTHREX CORE REAMER     ,2047.00
6534,INTERMEDICS FEMORAL COMP,5881.00
6537,M.R.I. SUBCUTANEOUS PORT,2035.00
6543,SYNTHES GUIDE WIRE      ,249.00
6554,FOLEY TRAY 16 FR        ,73.00
6557,ALCON DUPLICUT SLIT KNIF,50.00
6565,ACUFEX TENDON RETRIEVER ,77.00
6571,SPORT CORD              ,229.00
6575,AIR CAST ALL SIZES      ,122.00
6577,MCGHAN FILL KIT         ,41.00
6596,SUPRAPUBIC CATHETER     ,109.00
6597,FOLEY 24 FR             ,14.00
6606,EBI ORTHOFIX REP KIT*** ,969.00
6607,SCREW ORTHOHELIX 3.5    ,1114.00
6620,EMG ENDO TUBE           ,540.00
6625,RICHARDS O.C. PORP PROST,461.00
6629,ALCON GREENBAUM CANNULA ,21.00
6630,IRIS RETRACTORS FLEXIBL,307.00
6636,SILICONE EYE IMPLANT    ,174.00
6639,ZIMMER BONE CEMENT INJEC,98.00
6640,BIOMET KNEE PROSTH ***  ,11518.00
6651,STF PLT 1/2 TPL2225-1.3A,5299.00
6664,LINVATEC SM JT SUT KIT  ,476.00
6676,COMPOSITE 1/2 RING      ,1329.00
6678,EYE CONFORMER           ,117.00
