DRG_Long_Desc,Average_Charge_Per_Case,Average_Medicare_Payment_Per_Case
003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE; MOUTH & NECK W MAJ O.R.,1151673.17,89462.58
004 - TRACH W MV >96 HRS OR PDX EXC FACE; MOUTH & NECK W/O MAJ O.R.,495878.25,51032.02
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,676269.65,60737.44
006 - LIVER TRANSPLANT W/O MCC,470395.02,26737.11
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,423209.84,29270.73
010 - PANCREAS TRANSPLANT,221409.85,25413.06
027 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,68376.42,No Medicare Payment Available
035 - CAROTID ARTERY STENT PROCEDURE W CC,103316.94,12978.22
036 - CAROTID ARTERY STENT PROCEDURE W/O CC/MCC,59846.16,10836.33
037 - EXTRACRANIAL PROCEDURES W MCC,102783.99,18678.48
038 - EXTRACRANIAL PROCEDURES W CC,53403.33,9689.11
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,40820.32,7190.67
040 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,127911.65,No Medicare Payment Available
041 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,87868.46,12064.01
042 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC,94792.34,16483.78
052 - SPINAL DISORDERS & INJURIES W CC/MCC,61110.79,No Medicare Payment Available
055 - NERVOUS SYSTEM NEOPLASMS W/O MCC,12264.87,No Medicare Payment Available
056 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,79952.89,19444.67
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,55532.12,13724.17
059 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,104620.75,No Medicare Payment Available
060 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,38924.73,No Medicare Payment Available
062 - ISCHEMIC STROKE; PRECEREBRAL OCCL OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W C,105102.62,No Medicare Payment Available
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,75864.42,10138.82
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,53849.41,6651.52
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,41627.6,5132.66
068 - NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,26506.61,5947.72
069 - TRANSIENT ISCHEMIA W/O THROMBOLYTIC,42811.69,4765.57
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,61414.44,9401.21
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,38662.67,16446.7
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,64158.14,12071.17
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,42770.04,6130.94
075 - VIRAL MENINGITIS W CC/MCC,60939.09,10161.7
076 - VIRAL MENINGITIS W/O CC/MCC,28126.55,No Medicare Payment Available
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,129540.88,9723.58
086 - TRAUMATIC STUPOR & COMA; COMA <1 HR W CC,43110.55,7581.65
091 - OTHER DISORDERS OF NERVOUS SYSTEM W MCC,93570.83,18597.99
092 - OTHER DISORDERS OF NERVOUS SYSTEM W CC,60919.43,10394.48
093 - OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,27430.62,4634.1
094 - BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W MCC,119118.96,20082.1
095 - BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W CC,100261.62,No Medicare Payment Available
096 - BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W/O CC/MCC,86323.87,No Medicare Payment Available
097 - NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W MCC,259112.54,19970.83
098 - NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W CC,51177.25,No Medicare Payment Available
099 - NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W/O CC/MCC,25376.16,No Medicare Payment Available
100 - SEIZURES W MCC,62406.47,9790.27
101 - SEIZURES W/O MCC,40738.61,6229.22
102 - HEADACHES W MCC,44606.48,No Medicare Payment Available
103 - HEADACHES W/O MCC,45541.68,4701.55
115 - EXTRAOCULAR PROCEDURES EXCEPT ORBIT,48172.53,No Medicare Payment Available
116 - INTRAOCULAR PROCEDURES W CC/MCC,172250.99,14507.88
123 - NEUROLOGICAL EYE DISORDERS,63289.39,5127.93
125 - OTHER DISORDERS OF THE EYE W/O MCC,81291.22,No Medicare Payment Available
130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,36087.88,No Medicare Payment Available
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,120266.31,No Medicare Payment Available
132 - CRANIAL/FACIAL PROCEDURES W/O CC/MCC,64083.37,No Medicare Payment Available
133 - OTHER EAR; NOSE; MOUTH & THROAT O.R. PROCEDURES W CC/MCC,70518.31,No Medicare Payment Available
137 - MOUTH PROCEDURES W CC/MCC,79506.78,8559.84
138 - MOUTH PROCEDURES W/O CC/MCC,27402.02,No Medicare Payment Available
139 - SALIVARY GLAND PROCEDURES,51582.42,No Medicare Payment Available
149 - DYSEQUILIBRIUM,35508.54,4370.93
152 - OTITIS MEDIA & URI W MCC,41634.17,6622.22
153 - OTITIS MEDIA & URI W/O MCC,21605.65,4951.8
154 - OTHER EAR; NOSE; MOUTH & THROAT DIAGNOSES W MCC,40187.92,9095.9
155 - OTHER EAR; NOSE; MOUTH & THROAT DIAGNOSES W CC,29685.35,5885.76
