DRG_Long_Desc,Average_Charge_Per_Case,Average_Medicare_Payment_Per_Case
056 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,61639.26,11860.81
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,19878.34,6461.07
059 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,46505.68,No Medicare Payment Available
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,44421.62,11840.44
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,37035.39,7270.5
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,18813.75,5493.53
069 - TRANSIENT ISCHEMIA W/O THROMBOLYTIC,29019.86,5598.1
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,31448.91,6291.97
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,33703.08,No Medicare Payment Available
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,18636.57,No Medicare Payment Available
082 - TRAUMATIC STUPOR & COMA; COMA >1 HR W MCC,22635.34,14227.29
086 - TRAUMATIC STUPOR & COMA; COMA <1 HR W CC,19858.94,No Medicare Payment Available
089 - CONCUSSION W CC,30075.52,7197.67
092 - OTHER DISORDERS OF NERVOUS SYSTEM W CC,39062.08,6659.24
093 - OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,25985.34,No Medicare Payment Available
099 - NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W/O CC/MCC,33993.04,No Medicare Payment Available
100 - SEIZURES W MCC,15671.24,No Medicare Payment Available
153 - OTITIS MEDIA & URI W/O MCC,27090.69,No Medicare Payment Available
156 - OTHER EAR; NOSE; MOUTH & THROAT DIAGNOSES W/O CC/MCC,25622.83,No Medicare Payment Available
166 - OTHER RESP SYSTEM O.R. PROCEDURES W MCC,51095.09,No Medicare Payment Available
