Charge Description,Receivable Owner,Service ID,Service Provider,Service Type,Eff Rate Amt
Bladder scan urine measure/bladder capacity  US  non image,UHHS SMC,4141,Ambulatory Care,Tech,133
Blood Collect Central Ln/Periph Cath/Venous,UHHS SMC,4141,Ambulatory Care,Tech,114
BLOOD COLLECTION FROM PORT,UHHS SMC,4141,Ambulatory Care,Tech,114
BONE NEEDLE BX/ASPIR,UHHS SMC,4141,Ambulatory Care,Tech,938
Chemodenervation Neck Muscles (ACM),UHHS SMC,4141,Ambulatory Care,Tech,596
Chemodenervation  one extremity: 1-4 muscles,UHHS SMC,4141,Ambulatory Care,Tech,596
COLON INJ SCHLEROTHERAPY,UHHS SMC,4141,Ambulatory Care,Tech,"1,624.00"
COLONOSCOPY,UHHS SMC,4141,Ambulatory Care,Tech,"1,403.00"
COLONOSCOPY BIOPSY,UHHS SMC,4141,Ambulatory Care,Tech,"1,632.00"
COLONOSCOPY POLYPECTOMY,UHHS SMC,4141,Ambulatory Care,Tech,"1,681.00"
COLONOSCOPY W BALLOON DILATION,UHHS SMC,4141,Ambulatory Care,Tech,"1,065.00"
EGD,UHHS SMC,4141,Ambulatory Care,Tech,"1,403.00"
EGD BIOPSY,UHHS SMC,4141,Ambulatory Care,Tech,"1,812.00"
EGD WITH BALLOON DILATION GASTRIC,UHHS SMC,4141,Ambulatory Care,Tech,"1,313.00"
EGD WITH BALLOON DILATION PYLORIC,UHHS SMC,4141,Ambulatory Care,Tech,"1,162.00"
EGD WITH DILATION,UHHS SMC,4141,Ambulatory Care,Tech,"1,384.00"
EGD WITH FOREIGN BODY REMOVAL,UHHS SMC,4141,Ambulatory Care,Tech,"1,086.00"
EGD WITH PEG REMOVAL,UHHS SMC,4141,Ambulatory Care,Tech,"1,043.00"
EGD WITH POLYPECTOMY,UHHS SMC,4141,Ambulatory Care,Tech,950
EGD WITH THERMOCAUTERY,UHHS SMC,4141,Ambulatory Care,Tech,"1,608.00"
Electromyography,UHHS SMC,4141,Ambulatory Care,Tech,268
ESOPHAGEAL INJ SCHLEROTHERAPY,UHHS SMC,4141,Ambulatory Care,Tech,"1,624.00"
FLEX BRONCHOSCOPY,UHHS SMC,4141,Ambulatory Care,Tech,"1,381.00"
Flu Vaccine Administration,UHHS SMC,4141,Ambulatory Care,Tech,73
Irrigation/flush Implanted VAD,UHHS SMC,4141,Ambulatory Care,Tech,195
NEGATIVE PRESSURE WOUND TX <=50 SQ CM,UHHS SMC,4141,Ambulatory Care,Tech,185
NEGATIVE PRESSURE WOUND TX >50 SQ CM,UHHS SMC,4141,Ambulatory Care,Tech,185
PERCUTANEOUS ESOPHAGEAL GASTROSCOPY,UHHS SMC,4141,Ambulatory Care,Tech,779
Phlebotomy,UHHS SMC,4141,Ambulatory Care,Tech,308
RECOVERY,UHHS SMC,4141,Ambulatory Care,Tech,445
SIGMOIDOSCOPY,UHHS SMC,4141,Ambulatory Care,Tech,950
SIGMOIDOSCOPY BIOPSY,UHHS SMC,4141,Ambulatory Care,Tech,802
Telehealth Originating Site Facility Fee,UHHS SMC,4141,Ambulatory Care,Tech,143
TRANSTNL  CARE MNGT- HIGH COMPLEX  FACE TO FACE W/IN 7 DYS DC,UHHS SMC,4141,Ambulatory Care,Tech,238
TRANSTNL CARE MNGT-MOD COMPLEX  FACE TO FACE W/IN 14 DYS DC,UHHS SMC,4141,Ambulatory Care,Tech,238
Direct Admit for Observation Care,UHHS SMC,3101,AMSU,Tech,187
Observation Per Hour,UHHS SMC,3101,AMSU,Tech,34
Observation Telemetry Per Hour,UHHS SMC,3101,AMSU,Tech,39
Outpatient Surgical Care Per Hour,UHHS SMC,3101,AMSU,Tech,34
Outpatient Surgical Care Telemerty Per Hour,UHHS SMC,3101,AMSU,Tech,39
Peripheral Insrt Cntrl Venous Cath w/o Subq port/pump < 5yrs,UHHS SMC,3101,AMSU,Tech,"2,806.00"
Peripheral Insrt Cntrl Venous Cath w/o Subq port/pump >5yrs,UHHS SMC,3101,AMSU,Tech,"2,806.00"
Pneumococcal Vaccine Administration,UHHS SMC,3101,AMSU,Tech,73
ROOM/BED: Border Baby,UHHS SMC,3101,AMSU,Tech,619
ROOM/BED: MedSurg Overflow-Private,UHHS SMC,3101,AMSU,Tech,780
ROOM/BED: MedSurg Overflow-Telemetry Private,UHHS SMC,3101,AMSU,Tech,848
ROOM/BED: Nursery,UHHS SMC,3101,AMSU,Tech,619
ROOM/BED: Private,UHHS SMC,3101,AMSU,Tech,780
ROOM/BED: Telemetry - Private,UHHS SMC,3101,AMSU,Tech,848
TRANSFER PROCEDURE - OTHER HOSPITAL,UHHS SMC,3101,AMSU,Tech,2
Axillary Block each addtl 15 min,UHHS SMC,4351,Anethesia,Tech,100
Axillary Block first 30 min,UHHS SMC,4351,Anethesia,Tech,463
Bier Block each addtl 15 min,UHHS SMC,4351,Anethesia,Tech,87
Bier Block first 30 min,UHHS SMC,4351,Anethesia,Tech,403
digital Block each addtl 15 min,UHHS SMC,4351,Anethesia,Tech,87
Digital Block first 30 min,UHHS SMC,4351,Anethesia,Tech,403
Epidural each addtl 15 min,UHHS SMC,4351,Anethesia,Tech,100
Epidural first30 min,UHHS SMC,4351,Anethesia,Tech,463
General each addtl 15 min,UHHS SMC,4351,Anethesia,Tech,100
General first 30 min,UHHS SMC,4351,Anethesia,Tech,463
MAC  each addtl 15 min,UHHS SMC,4351,Anethesia,Tech,87
MAC first 30 min,UHHS SMC,4351,Anethesia,Tech,403
