Charge Description,Receivable Owner,Service ID,Service Provider,Service Type,Eff Rate Amt
Anesthesia Cosmetic Tech Per Minute,UHHS BMH,55105,BMH Anesthesia Svcs,Tech,17
Anesthesia Tech Base Rate,UHHS BMH,13218,BMH Anesthesia Svcs,Tech,188
Anesthesia Tech Per Minute,UHHS BMH,13219,BMH Anesthesia Svcs,Tech,17
General anesthesia < 5yrs 1st 15 minutes,UHHS BMH,42542,BMH Anesthesia Svcs,Tech,910
General anesthesia > 5yrs 1st 15 minutes,UHHS BMH,42543,BMH Anesthesia Svcs,Tech,648
General anesthesia each addl 15 minutes,UHHS BMH,42544,BMH Anesthesia Svcs,Tech,34
3D rendering w indi workst,UHHS BMH,13316,BMH Angiography,Tech,884
Abbott Perclose 1267303,UHHS BMH,29040,BMH Angiography,Tech,610
Abbott Viatrac Balloon Catheter 100819540,UHHS BMH,55368,BMH Angiography,Tech,555
Applied Med Gastric Tube Peg GJ141545,UHHS BMH,55360,BMH Angiography,Tech,"1,200.00"
Argon Xcleaner Device 700009XT,UHHS BMH,55353,BMH Angiography,Tech,"1,785.00"
Arrow Catheter CDC22123X1A,UHHS BMH,55106,BMH Angiography,Tech,439
Asahi Guidewire Chiaki WAIBCKI200BA,UHHS BMH,55369,BMH Angiography,Tech,"1,350.00"
Aspirate pleura w imaging,UHHS BMH,35829,BMH Angiography,Tech,"1,395.00"
Bard Catheter Slimport 8fr 1608062,UHHS BMH,55108,BMH Angiography,Tech,"1,485.00"
Bard Catheter Tunnel DL 700615,UHHS BMH,55107,BMH Angiography,Tech,720
Bard Lutonix Catheter LX3575940V,UHHS BMH,55335,BMH Angiography,Tech,"5,100.00"
Bard Snare Retrival w/Nitinol SRK30,UHHS BMH,55336,BMH Angiography,Tech,840
Bost Sci Fathom Wire 180cm,UHHS BMH,53423,BMH Angiography,Tech,"1,020.00"
Bost Sci Peripheral Cutting Balloon SM M001PCBO4015140F0,UHHS BMH,55370,BMH Angiography,Tech,"2,598.00"
Bpst Sci Guidewire Amplatz 180cm M001465251,UHHS BMH,55371,BMH Angiography,Tech,129
CESSJ Therapy cath removal,UHHS BMH,35830,BMH Angiography,Tech,"6,027.00"
Change ureterostomy tube/externally accessible ureteral sten,UHHS BMH,31308,BMH Angiography,Tech,"2,496.00"
CMI Vascade Closure 5F 700500DX05U,UHHS BMH,55361,BMH Angiography,Tech,882
CMI Vascade Closure 6/7F 700580I05U,UHHS BMH,55362,BMH Angiography,Tech,582
Cook Cytomax II Cytology Brush G24741,UHHS BMH,55354,BMH Angiography,Tech,270
Cook Guidewire Roadrunner G09608,UHHS BMH,55110,BMH Angiography,Tech,101
Cook Introducer CheckFlow II G13081,UHHS BMH,55111,BMH Angiography,Tech,325
CTI Nu Stent Nephroureteral1008126,UHHS BMH,55109,BMH Angiography,Tech,"5,385.00"
Dir Acc Med Firstchoice Direct Access Catheter UHP7544,UHHS BMH,55337,BMH Angiography,Tech,447
Endophys pressure sheath 6/8,UHHS BMH,55382,BMH Angiography,Tech,"1,500.00"
Endovas decend aorta wo lt subclavian S&I,UHHS BMH,21195,BMH Angiography,Tech,"2,575.00"
Endovas repair thoracic aorta w/lt subclavian S&I,UHHS BMH,21194,BMH Angiography,Tech,"2,575.00"
Endovasc repair w/prosth Iliac/Aorta S&I,UHHS BMH,15473,BMH Angiography,Tech,"2,066.00"
Endovascular repair aorta S&I,UHHS BMH,15472,BMH Angiography,Tech,"3,235.00"
Endovascular repair Iliac S&I,UHHS BMH,17356,BMH Angiography,Tech,"1,683.00"
Exoseal Closure Device,UHHS BMH,55364,BMH Angiography,Tech,450
Gore tips set TSET1016,UHHS BMH,55358,BMH Angiography,Tech,"1,461.00"
Halyard Introducer 98432,UHHS BMH,55363,BMH Angiography,Tech,617
Inj contrast for rad eval of CVAD w/fluoro,UHHS BMH,15074,BMH Angiography,Tech,"1,022.00"
Inj proc visual ileal conduit/ureteropyelography,UHHS BMH,31309,BMH Angiography,Tech,"1,135.00"
JeJunal  transgastric feeding tube 0270183.545,UHHS BMH,55355,BMH Angiography,Tech,"1,015.00"
LOCM 100-199 mg/ml per iodine/ml,UHHS BMH,17211,BMH Angiography,Tech,3
LOCM 200-299 mg/ml iodine/ml,UHHS BMH,17212,BMH Angiography,Tech,3
LOCM 300-399 mg/ml iodine/ml,UHHS BMH,17213,BMH Angiography,Tech,3
Medtronic Amplatz Snare GN2501,UHHS BMH,55383,BMH Angiography,Tech,930
Medtronic Apollo Microcatheter 1055096000,UHHS BMH,55393,BMH Angiography,Tech,"6,135.00"
Medtronic Guidewire Transcend 1030608,UHHS BMH,55372,BMH Angiography,Tech,"1,470.00"
Medtronic Navien Catheter RFX05811508,UHHS BMH,55394,BMH Angiography,Tech,"4,905.00"
Medtronic Reliant Balloon REL46,UHHS BMH,55338,BMH Angiography,Tech,"1,335.00"
Merit Catheter Performa Radial 5/6fr,UHHS BMH,55094,BMH Angiography,Tech,135
Microvention Scepter C Balloon Catheter BC0420C,UHHS BMH,55395,BMH Angiography,Tech,"4,200.00"
Microvention Scepter XC Balloon Catheter BC0411XC,UHHS BMH,55396,BMH Angiography,Tech,"5,100.00"
Mod sedat different prov  from proc ea addl 15 min,UHHS BMH,42503,BMH Angiography,Tech,34
Mod sedat different prov  from proc init 15 min < 5 yrs old,UHHS BMH,42501,BMH Angiography,Tech,648
Mod sedat different prov  from proc init 15 min >5 yrs old,UHHS BMH,42502,BMH Angiography,Tech,648
Mod sedat same prov  perf proc ea addl 15 min,UHHS BMH,42500,BMH Angiography,Tech,34
Mod sedat same prov perf proc init 15 min < 5 yrs old,UHHS BMH,42498,BMH Angiography,Tech,648
Mod sedat same prov perf proc init 15 min > 5 yrs old,UHHS BMH,42499,BMH Angiography,Tech,648
Penumbra 6F Neuron 125cm catheter,UHHS BMH,54941,BMH Angiography,Tech,375
Penumbra Ace68 High Flow Catheter,UHHS BMH,54946,BMH Angiography,Tech,"8,385.00"
Penumbra Aspiration Tubing,UHHS BMH,39825,BMH Angiography,Tech,"1,095.00"
Penumbra Indigo 5/6/8 fr catheter CAT5,UHHS BMH,55096,BMH Angiography,Tech,"3,735.00"
Penumbra Indigo Aspiration system IST2,UHHS BMH,55357,BMH Angiography,Tech,"1,095.00"
Penumbra Indigo Separator,UHHS BMH,55356,BMH Angiography,Tech,"5,865.00"
Penumbra Max Distal Delivery Catheter 4/5F,UHHS BMH,55397,BMH Angiography,Tech,"4,650.00"
Penumbra Microcatheter Lantern .025x135cm,UHHS BMH,55097,BMH Angiography,Tech,"2,370.00"
Penumbra Neuron 5 fr 120cm catheter,UHHS BMH,54945,BMH Angiography,Tech,375
Penumbra neuron max 6 fr 088 sheath,UHHS BMH,54944,BMH Angiography,Tech,"1,470.00"
Penumbra Pod Coil RBYPOD8,UHHS BMH,55342,BMH Angiography,Tech,"5,697.00"
Penumbra Pump Canister PAPS2,UHHS BMH,54943,BMH Angiography,Tech,"1,095.00"
Penumbra Revascularization 3D PSR3D,UHHS BMH,55384,BMH Angiography,Tech,"16,170.00"
Penumbra Ruby Coil large 26 cm and up RBY2C1857,UHHS BMH,55341,BMH Angiography,Tech,"3,897.00"
Penumbra Ruby Coil Med 15-25cm RBY2C0825,UHHS BMH,55340,BMH Angiography,Tech,"2,997.00"
Penumbra Ruby Coil Sm 1-10cm RBY4C0204,UHHS BMH,55339,BMH Angiography,Tech,"2,397.00"
Penumbra Velocity Delivery Microcatheter,UHHS BMH,54942,BMH Angiography,Tech,"3,171.00"
Perc vertebroplasty (biopsy incl) 1 vert w/imag,UHHS BMH,39335,BMH Angiography,Tech,"2,888.00"
Perc vertebroplasty 1 vert cervicothoracic w/imag,UHHS BMH,39333,BMH Angiography,Tech,"4,064.00"
Perc vertebroplasty 1 vert lumbosacral w/imag,UHHS BMH,39334,BMH Angiography,Tech,"3,970.00"
Perctns Plcmnt Of Gastrstmy Tb,UHHS BMH,8413,BMH Angiography,Tech,"1,678.00"
Place cath carotd art,UHHS BMH,35819,BMH Angiography,Tech,"15,600.00"
Place cath carotid or innom art,UHHS BMH,35818,BMH Angiography,Tech,"14,512.00"
Place cath carotid/innom art,UHHS BMH,35817,BMH Angiography,Tech,"9,257.00"
Place cath intracranial art,UHHS BMH,35823,BMH Angiography,Tech,"11,393.00"
Place cath subclavian art,UHHS BMH,35820,BMH Angiography,Tech,"8,014.00"
Place cath thoracic aorta,UHHS BMH,35816,BMH Angiography,Tech,"6,710.00"
Place cath vertebral art,UHHS BMH,35821,BMH Angiography,Tech,"13,520.00"
Place cath xtrnl carotid,UHHS BMH,35822,BMH Angiography,Tech,"9,625.00"
Place distal ext prosthesis aorta S&I,UHHS BMH,21197,BMH Angiography,Tech,"2,575.00"
Place proximal ext prosth thoracic aorta S&I,UHHS BMH,21196,BMH Angiography,Tech,"2,575.00"
Possis Thrombectomy Set Omni 109681001,UHHS BMH,34877,BMH Angiography,Tech,"5,415.00"
Possis Thrombectomy Set Proxi 109676001,UHHS BMH,34878,BMH Angiography,Tech,"5,115.00"
Remove intravas foreign body,UHHS BMH,35824,BMH Angiography,Tech,"5,512.00"
Spectranetics Quick Cross Catheter .035x90 518036,UHHS BMH,55343,BMH Angiography,Tech,501
Spinal puncture lumbar diagnostic,UHHS BMH,9479,BMH Angiography,Tech,"1,533.00"
St Jude Closure Device Angio Seal 610131,UHHS BMH,35388,BMH Angiography,Tech,549
Stryker AXS Catheter 5,UHHS BMH,55385,BMH Angiography,Tech,"1,125.00"
Stryker AXS Catheter 6 IC060132,UHHS BMH,55398,BMH Angiography,Tech,"6,075.00"
Stryker AXS Infinity,UHHS BMH,55386,BMH Angiography,Tech,"1,322.00"
Stryker AXS Infinity LS Sheath GEN1080090,UHHS BMH,55098,BMH Angiography,Tech,"1,322.00"
