Enc - MS DRG,Enc - MS DRG Desc,Sum of Average Charge
470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"40,595"
795,NORMAL NEWBORN,"3,009"
775,VAGINAL DELIVERY W/O COMPLICATING DIAGNOSES,"10,389"
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC,"36,446"
291,HEART FAILURE  SHOCK W MCC OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),"24,654"
392,"ESOPHAGITIS, GASTROENT  MISC DIGEST DISORDERS W/O MCC","15,813"
193,SIMPLE PNEUMONIA  PLEURISY W MCC,"27,577"
794,NEONATE W OTHER SIGNIFICANT PROBLEMS,"3,567"
872,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC,"21,318"
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,"23,776"
378,G.I. HEMORRHAGE W CC,"23,607"
603,CELLULITIS W/O MCC,"14,098"
690,KIDNEY  URINARY TRACT INFECTIONS W/O MCC,"17,129"
194,SIMPLE PNEUMONIA  PLEURISY W CC,"19,431"
309,CARDIAC ARRHYTHMIA  CONDUCTION DISORDERS W CC,"16,621"
189,PULMONARY EDEMA  RESPIRATORY FAILURE,"25,844"
641,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC","14,736"
766,CESAREAN SECTION W/O CC/MCC,"18,984"
683,RENAL FAILURE W CC,"17,073"
247,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,"60,148"
312,SYNCOPE  COLLAPSE,"19,381"
280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC","32,984"
65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,"25,958"
310,CARDIAC ARRHYTHMIA  CONDUCTION DISORDERS W/O CC/MCC,"12,715"
897,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,"16,342"
281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC","27,937"
689,KIDNEY  URINARY TRACT INFECTIONS W MCC,"18,858"
682,RENAL FAILURE W MCC,"25,384"
765,CESAREAN SECTION W CC/MCC,"21,655"
853,INFECTIOUS  PARASITIC DISEASES W O.R. PROCEDURE W MCC,"84,069"
774,VAGINAL DELIVERY W COMPLICATING DIAGNOSES,"11,801"
377,G.I. HEMORRHAGE W MCC,"32,450"
812,RED BLOOD CELL DISORDERS W/O MCC,"18,451"
287,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC","32,425"
308,CARDIAC ARRHYTHMIA  CONDUCTION DISORDERS W MCC,"24,145"
638,DIABETES W CC,"16,035"
191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,"22,091"
292,HEART FAILURE  SHOCK W CC,"19,065"
64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,"31,580"
202,BRONCHITIS  ASTHMA W CC/MCC,"19,527"
481,HIP  FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,"46,261"
246,PERCUTANEOUS CARDIOVASCULAR PROCEDURES W DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS,"85,890"
389,G.I. OBSTRUCTION W CC,"17,797"
698,OTHER KIDNEY  URINARY TRACT DIAGNOSES W MCC,"28,450"
918,POISONING  TOXIC EFFECTS OF DRUGS W/O MCC,"14,552"
552,MEDICAL BACK PROBLEMS W/O MCC,"18,648"
101,SEIZURES W/O MCC,"16,743"
176,PULMONARY EMBOLISM W/O MCC,"16,292"
313,CHEST PAIN,"14,997"
640,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC","18,905"
305,HYPERTENSION W/O MCC,"16,977"
460,SPINAL FUSION EXCEPT CERVICAL W/O MCC,"74,063"
439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,"19,610"
896,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W MCC,"37,588"
314,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,"37,589"
69,TRANSIENT ISCHEMIA W/O THROMBOLYTIC,"22,994"
394,OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,"21,798"
300,PERIPHERAL VASCULAR DISORDERS W CC,"17,003"
694,URINARY STONES W/O ESW LITHOTRIPSY W/O MCC,"17,123"
66,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,"24,202"
192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,"16,779"
330,MAJOR SMALL  LARGE BOWEL PROCEDURES W CC,"50,754"
563,"FX, SPRN, STRN  DISL EXCEPT FEMUR, HIP, PELVIS  THIGH W/O MCC","18,177"
811,RED BLOOD CELL DISORDERS W MCC,"32,365"
917,POISONING  TOXIC EFFECTS OF DRUGS W MCC,"28,363"
699,OTHER KIDNEY  URINARY TRACT DIAGNOSES W CC,"18,561"
637,DIABETES W MCC,"22,626"
177,RESPIRATORY INFECTIONS  INFLAMMATIONS W MCC,"31,106"
789,"NEONATES, DIED OR TRANSFERRED TO ANOTHER ACUTE CARE FACILITY","2,476"
208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,"46,330"
372,MAJOR GASTROINTESTINAL DISORDERS  PERITONEAL INFECTIONS W CC,"18,866"
166,OTHER RESP SYSTEM O.R. PROCEDURES W MCC,"72,994"
793,FULL TERM NEONATE W MAJOR PROBLEMS,"4,818"
315,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,"20,418"
432,CIRRHOSIS  ALCOHOLIC HEPATITIS W MCC,"43,418"
103,HEADACHES W/O MCC,"19,480"
100,SEIZURES W MCC,"29,288"
418,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,"48,023"
951,OTHER FACTORS INFLUENCING HEALTH STATUS,"2,971"
390,G.I. OBSTRUCTION W/O CC/MCC,"13,967"
252,OTHER VASCULAR PROCEDURES W MCC,"68,045"
440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,"15,128"
149,DYSEQUILIBRIUM,"22,515"
854,INFECTIOUS  PARASITIC DISEASES W O.R. PROCEDURE W CC,"54,297"
467,REVISION OF HIP OR KNEE REPLACEMENT W CC,"68,401"
92,OTHER DISORDERS OF NERVOUS SYSTEM W CC,"19,347"
175,PULMONARY EMBOLISM W MCC,"33,615"
39,EXTRACRANIAL PROCEDURES W/O CC/MCC,"27,402"
391,"ESOPHAGITIS, GASTROENT  MISC DIGEST DISORDERS W MCC","24,248"
62,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W CC","63,493"
195,SIMPLE PNEUMONIA  PLEURISY W/O CC/MCC,"14,993"
282,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC","20,935"
781,OTHER ANTEPARTUM DIAGNOSES W MEDICAL COMPLICATIONS,"11,642"
