Charge Description,Receivable Owner,Service ID,Service Provider,Service Type,Eff Rate Amt
Abdom Paracentesis(diag/ther) w imag,UHHS RMC,33816,RBMC 2 Central,Tech,"1,451.00"
Abdom Paracentesis(diag/ther) wo imag,UHHS RMC,33815,RBMC 2 Central,Tech,"1,420.00"
Admin influenza virus vaccine Nurse Unit,UHHS RMC,9362,RBMC 2 Central,Tech,45
Admin pneumococcal vaccine Nurse Unit,UHHS RMC,9363,RBMC 2 Central,Tech,45
Administration of Hep B nursing units,UHHS RMC,33570,RBMC 2 Central,Tech,40
Bladder indwelling catheter insert foley,UHHS RMC,9472,RBMC 2 Central,Tech,306
Bladder irrigation simple/lavage/instillation,UHHS RMC,22195,RBMC 2 Central,Tech,409
Bladder straight catheterization for residual urine,UHHS RMC,21233,RBMC 2 Central,Tech,230
Bone marrow aspiration only,UHHS RMC,8400,RBMC 2 Central,Tech,"1,073.00"
Bone marrow biopsy needle or trocar,UHHS RMC,8401,RBMC 2 Central,Tech,907
Cardioversion External OR/Nurse Unit,UHHS RMC,15668,RBMC 2 Central,Tech,"2,413.00"
Diagnostic bone marrow biopsy(ies) and aspirations,UHHS RMC,53667,RBMC 2 Central,Tech,"3,292.00"
Direct Refer to Observation,UHHS RMC,39794,RBMC 2 Central,Tech,546
Extend Recovery on Nurs Unit 1st hr,UHHS RMC,18074,RBMC 2 Central,Tech,925
Inject IM or subcut any drug,UHHS RMC,11346,RBMC 2 Central,Tech,161
Insert nontunnel/PICC CV Cath 5 & >,UHHS RMC,16355,RBMC 2 Central,Tech,"2,687.00"
IV hydration each additional hour,UHHS RMC,17693,RBMC 2 Central,Tech,218
IV Hydration Initial 31 min to 90 minutes,UHHS RMC,15751,RBMC 2 Central,Tech,982
IV infusion for therapy prophylaxis or diagnosis (specify su,UHHS RMC,11343,RBMC 2 Central,Tech,572
IV push ea sequential of new drug,UHHS RMC,17683,RBMC 2 Central,Tech,263
IV push ea sequential of same drug,UHHS RMC,17685,RBMC 2 Central,Tech,265
IV push single or initial drug,UHHS RMC,17682,RBMC 2 Central,Tech,276
IV therapy addl sequential drug up to 1 hr,UHHS RMC,17688,RBMC 2 Central,Tech,518
IV therapy ea add hr up to 8,UHHS RMC,11345,RBMC 2 Central,Tech,255
IV tx concurrent infusion,UHHS RMC,17691,RBMC 2 Central,Tech,647
Med/Surg Observation 1st hour,UHHS RMC,12852,RBMC 2 Central,Tech,889
Miscellaneous bedside procedure,UHHS RMC,18082,RBMC 2 Central,Tech,"1,119.00"
Semi Private Hospice Room Rate 121,UHHS RMC,53161,RBMC 2 Central,Tech,"1,778.00"
Semi Private Room Rate 121,UHHS RMC,12845,RBMC 2 Central,Tech,"1,778.00"
Spinal puncture lumbar diag,UHHS RMC,8477,RBMC 2 Central,Tech,"1,265.00"
Telemetry or Stepdown Rate 206,UHHS RMC,15760,RBMC 2 Central,Tech,"2,662.00"
Thoracentesis for aspiration,UHHS RMC,7628,RBMC 2 Central,Tech,"2,075.00"
Thoracentesis with insert tube (pneumothor,UHHS RMC,30360,RBMC 2 Central,Tech,"1,411.00"
Transfusion bld products on nursing unit,UHHS RMC,8373,RBMC 2 Central,Tech,884
Tube thoracostomy (eg for abscess  hemothorax  empyema),UHHS RMC,8317,RBMC 2 Central,Tech,"1,410.00"
Abdom Paracentesis(diag/ther) w imag,UHHS RMC,33816,RBMC Clin Dec Obs,Tech,"1,451.00"
Abdom Paracentesis(diag/ther) wo imag,UHHS RMC,33815,RBMC Clin Dec Obs,Tech,"1,420.00"
Admin influenza virus vaccine Nurse Unit,UHHS RMC,9362,RBMC Clin Dec Obs,Tech,45
Admin pneumococcal vaccine Nurse Unit,UHHS RMC,9363,RBMC Clin Dec Obs,Tech,45
Administration of Hep B nursing units,UHHS RMC,33570,RBMC Clin Dec Obs,Tech,40
Bladder indwelling catheter insert foley,UHHS RMC,9472,RBMC Clin Dec Obs,Tech,306
Bladder irrigation simple/lavage/instillation,UHHS RMC,22195,RBMC Clin Dec Obs,Tech,409
Bladder straight catheterization for residual urine,UHHS RMC,21233,RBMC Clin Dec Obs,Tech,230
Bone marrow aspiration only,UHHS RMC,8400,RBMC Clin Dec Obs,Tech,"1,073.00"
Bone marrow biopsy needle or trocar,UHHS RMC,8401,RBMC Clin Dec Obs,Tech,907
Cardioversion External OR/Nurse Unit,UHHS RMC,15668,RBMC Clin Dec Obs,Tech,"2,413.00"
Diagnostic bone marrow biopsy(ies) and aspirations,UHHS RMC,53667,RBMC Clin Dec Obs,Tech,"3,292.00"
Inject IM or subcut any drug,UHHS RMC,11346,RBMC Clin Dec Obs,Tech,161
