Charge Description,Receivable Owner,Service ID,Service Provider,Service Type,Eff Rate Amt
Anesthesia Cosmetic Tech Per Minute,UHHS MHG,55105,MHG Anesthesia Svcs,Tech,17
Anesthesia Tech Base Rate,UHHS MHG,13218,MHG Anesthesia Svcs,Tech,188
Anesthesia Tech Per Minute,UHHS MHG,13219,MHG Anesthesia Svcs,Tech,17
General anesthesia < 5yrs 1st 15 minutes,UHHS MHG,42542,MHG Anesthesia Svcs,Tech,910
General anesthesia > 5yrs 1st 15 minutes,UHHS MHG,42543,MHG Anesthesia Svcs,Tech,648
General anesthesia each addl 15 minutes,UHHS MHG,42544,MHG Anesthesia Svcs,Tech,34
3D rendering w indi workst,UHHS MHG,13316,MHG Angiography,Tech,884
Abbott Perclose 1267303,UHHS MHG,29040,MHG Angiography,Tech,610
Abbott Viatrac Balloon Catheter 100819540,UHHS MHG,55368,MHG Angiography,Tech,555
Applied Med Gastric Tube Peg GJ141545,UHHS MHG,55360,MHG Angiography,Tech,"1,200.00"
Argon Xcleaner Device 700009XT,UHHS MHG,55353,MHG Angiography,Tech,"1,785.00"
Arrow Catheter CDC22123X1A,UHHS MHG,55106,MHG Angiography,Tech,439
Asahi Guidewire Chiaki WAIBCKI200BA,UHHS MHG,55369,MHG Angiography,Tech,"1,350.00"
Aspirate pleura w imaging,UHHS MHG,35829,MHG Angiography,Tech,"1,395.00"
Bard Catheter Slimport 8fr 1608062,UHHS MHG,55108,MHG Angiography,Tech,"1,485.00"
Bard Catheter Tunnel DL 700615,UHHS MHG,55107,MHG Angiography,Tech,720
Bard Lutonix Catheter LX3575940V,UHHS MHG,55335,MHG Angiography,Tech,"5,100.00"
Bard Snare Retrival w/Nitinol SRK30,UHHS MHG,55336,MHG Angiography,Tech,840
Bost Sci Fathom Wire 180cm,UHHS MHG,53423,MHG Angiography,Tech,"1,020.00"
Bost Sci Peripheral Cutting Balloon SM M001PCBO4015140F0,UHHS MHG,55370,MHG Angiography,Tech,"2,598.00"
