Charge Description,Receivable Owner,Service ID,Service Provider,Service Type,Eff Rate Amt
Abdom Paracentesis(diag/ther) w imag,UHHS GRH,33816,GRH 1 South 1S,Tech,"1,451.00"
Abdom Paracentesis(diag/ther) wo imag,UHHS GRH,33815,GRH 1 South 1S,Tech,"1,420.00"
Admin influenza virus vaccine Nurse Unit,UHHS GRH,9362,GRH 1 South 1S,Tech,45
Admin pneumococcal vaccine Nurse Unit,UHHS GRH,9363,GRH 1 South 1S,Tech,45
Administration of Hep B nursing units,UHHS GRH,33570,GRH 1 South 1S,Tech,40
Bladder indwelling catheter insert foley,UHHS GRH,9472,GRH 1 South 1S,Tech,306
Bladder irrigation simple/lavage/instillation,UHHS GRH,22195,GRH 1 South 1S,Tech,409
Bladder straight catheterization for residual urine,UHHS GRH,21233,GRH 1 South 1S,Tech,230
Bone marrow aspiration only,UHHS GRH,8400,GRH 1 South 1S,Tech,"1,073.00"
Bone marrow biopsy needle or trocar,UHHS GRH,8401,GRH 1 South 1S,Tech,907
Cardioversion External OR/Nurse Unit,UHHS GRH,15668,GRH 1 South 1S,Tech,"2,413.00"
Diagnostic bone marrow biopsy(ies) and aspirations,UHHS GRH,53667,GRH 1 South 1S,Tech,"3,292.00"
Dialysis initial day Nursing Unit,UHHS GRH,28492,GRH 1 South 1S,Tech,"1,269.00"
Dialysis Subsequent on Nursing Unit,UHHS GRH,28493,GRH 1 South 1S,Tech,"1,213.00"
Direct Refer to Observation,UHHS GRH,39794,GRH 1 South 1S,Tech,546
Extend Recovery on Nurs Unit 1st hr,UHHS GRH,18074,GRH 1 South 1S,Tech,925
Inject IM or subcut any drug,UHHS GRH,11346,GRH 1 South 1S,Tech,161
IV hydration each additional hour,UHHS GRH,17693,GRH 1 South 1S,Tech,218
IV Hydration Initial 31 min to 90 minutes,UHHS GRH,15751,GRH 1 South 1S,Tech,982
IV infusion for therapy prophylaxis or diagnosis (specify su,UHHS GRH,11343,GRH 1 South 1S,Tech,572
IV push ea sequential of new drug,UHHS GRH,17683,GRH 1 South 1S,Tech,263
IV push ea sequential of same drug,UHHS GRH,17685,GRH 1 South 1S,Tech,265
IV push single or initial drug,UHHS GRH,17682,GRH 1 South 1S,Tech,276
IV therapy addl sequential drug up to 1 hr,UHHS GRH,17688,GRH 1 South 1S,Tech,518
IV therapy ea add hr up to 8,UHHS GRH,11345,GRH 1 South 1S,Tech,255
IV tx concurrent infusion,UHHS GRH,17691,GRH 1 South 1S,Tech,647
Med/Surg Observation 1st hour,UHHS GRH,12852,GRH 1 South 1S,Tech,889
Miscellaneous bedside procedure,UHHS GRH,18082,GRH 1 South 1S,Tech,"1,119.00"
Semi Private Hospice Room Rate 121,UHHS GRH,53161,GRH 1 South 1S,Tech,"1,778.00"
Semi Private Room Rate 121,UHHS GRH,12845,GRH 1 South 1S,Tech,"1,778.00"
Spinal puncture lumbar diag,UHHS GRH,8477,GRH 1 South 1S,Tech,"1,265.00"
Telemetry or Stepdown Rate 206,UHHS GRH,15760,GRH 1 South 1S,Tech,"2,662.00"
Thoracentesis for aspiration,UHHS GRH,7628,GRH 1 South 1S,Tech,"2,075.00"
Thoracentesis with insert tube (pneumothor,UHHS GRH,30360,GRH 1 South 1S,Tech,"1,411.00"
Transfusion bld products on nursing unit,UHHS GRH,8373,GRH 1 South 1S,Tech,884
Tube thoracostomy (eg for abscess  hemothorax  empyema),UHHS GRH,8317,GRH 1 South 1S,Tech,"1,410.00"
Abdom Paracentesis(diag/ther) w imag,UHHS GRH,33816,GRH 1 West 1W,Tech,"1,451.00"
Abdom Paracentesis(diag/ther) wo imag,UHHS GRH,33815,GRH 1 West 1W,Tech,"1,420.00"
Admin influenza virus vaccine Nurse Unit,UHHS GRH,9362,GRH 1 West 1W,Tech,45
Admin pneumococcal vaccine Nurse Unit,UHHS GRH,9363,GRH 1 West 1W,Tech,45
