Charge Description,Receivable Owner,Service ID,Service Provider,Service Type,Eff Rate Amt
AO IMAGING ONLY,UHHS EMC,12223,,Tech,86
COR GRAFT ANGIO W/O LHC,UHHS EMC,12237,,Tech,"1,760.00"
CORONARY IMAGING ONLY,UHHS EMC,12226,,Tech,324
FEM POP PTA LT,UHHS EMC,12219,,Tech,"4,687.00"
FEM POP PTA RT,UHHS EMC,12204,,Tech,"4,687.00"
ILIAC ANGIOPLASTY LT,UHHS EMC,12216,,Tech,"4,687.00"
ILIAC ANGIOPLASTY RT,UHHS EMC,12201,,Tech,"4,687.00"
INTERNAL MAMMARY GRAFT,UHHS EMC,12221,,Tech,208
LV ONLY,UHHS EMC,12227,,Tech,212
LVL1 DEBRIDE-PART THICKN,UHHS EMC,13118,,Tech,329
LVL2 DEBRIDE-FULL THICKN,UHHS EMC,13119,,Tech,329
PERCUTANEOUS LH RETRO,UHHS EMC,12228,,Tech,"1,704.00"
PTA TIBIOPERONEAL/BRANCH,UHHS EMC,12168,,Tech,"5,151.00"
R&L TRANSEPHAL INTACT CAT,UHHS EMC,13006,,Tech,"2,905.00"
RB AMH,UHHS EMC,57,,Tech,942
RB AMH,UHHS EMC,32000002,,Tech,942
RB AMH MONIT,UHHS EMC,32000051,,Tech,"1,588.00"
RB AMH MONIT,UHHS EMC,58,,Tech,"1,588.00"
RLHC ONLY,UHHS EMC,12224,,Tech,"4,020.00"
RT HEART CATH ONLY,UHHS EMC,12239,,Tech,"2,888.00"
SVG IMAGING,UHHS EMC,12153,,Tech,181
10 SMYTHE OBSERVATION CHARGE/HOUR,UHHS EMC,15338,10 SMYTHE,Tech,61
ARTERIAL LINE INSERTION,UHHS EMC,102,10 SMYTHE,Tech,640
BINDER ABDOMINAL SUPPLIES,UHHS EMC,125,10 SMYTHE,Tech,25.5
BLOOD TRANSFUSION SUPPLIS,UHHS EMC,115,10 SMYTHE,Tech,30
BONE MARROW ASPIRATION,UHHS EMC,93,10 SMYTHE,Tech,"1,052.00"
BONE MARROW ASPIRATION SS,UHHS EMC,111,10 SMYTHE,Tech,69
CAPD,UHHS EMC,98,10 SMYTHE,Tech,476
CAPD SUPPLIES,UHHS EMC,117,10 SMYTHE,Tech,68
CHEST TUBE PLACEMENT,UHHS EMC,99,10 SMYTHE,Tech,726
CHEST TUBE PLACEMENT SUPS,UHHS EMC,118,10 SMYTHE,Tech,317
COMPR STOCKING-KNEE SUPPS,UHHS EMC,121,10 SMYTHE,Tech,9
COMPR STOCKING-THIGH SUPS,UHHS EMC,122,10 SMYTHE,Tech,25.5
