Charge Description,Receivable Owner,Service ID,Service Provider,Service Type,Eff Rate Amt
ABDOMEN ONE VIEW              ,UHHS JMC,51718,Detroit Road Radiology        ,Tech,308
AC JOINTS BILAT               ,UHHS JMC,51718,Detroit Road Radiology        ,Tech,272
ANKLE AP & LAT OR 2 VIEWS BIL ,UHHS JMC,51718,Detroit Road Radiology        ,Tech,921
ANKLE AP & LAT OR 2 VIEWS UNI ,UHHS JMC,51718,Detroit Road Radiology        ,Tech,461
ANKLE COMP MINIMUM 3 VWS BIL  ,UHHS JMC,51718,Detroit Road Radiology        ,Tech,"1,044.00"
ANKLE COMP MINIMUM 3 VWS UNI  ,UHHS JMC,51718,Detroit Road Radiology        ,Tech,522
BONE AGE                      ,UHHS JMC,51718,Detroit Road Radiology        ,Tech,340
BONE LENGTH                   ,UHHS JMC,51718,Detroit Road Radiology        ,Tech,422
BONE SURVEY                   ,UHHS JMC,51718,Detroit Road Radiology        ,Tech,565
BONE SURVEY - INFANT          ,UHHS JMC,51718,Detroit Road Radiology        ,Tech,416
CERVICAL SPINE 3 VIEWS OR LESS,UHHS JMC,51718,Detroit Road Radiology        ,Tech,575
CERVICAL SPINE 3 VIEWS OR LESS,UHHS JMC,51718,Detroit Road Radiology        ,Tech,575
CERVICAL SPINE 4-5 VIEWS      ,UHHS JMC,51718,Detroit Road Radiology        ,Tech,822
CERVICAL SPINE 6 OR > VIEWS   ,UHHS JMC,51718,Detroit Road Radiology        ,Tech,"1,077.00"
CERVICAL SPINE LAT ONLY       ,UHHS JMC,51718,Detroit Road Radiology        ,Tech,428
CEVICAL SPINE 1 VIEW          ,UHHS JMC,51718,Detroit Road Radiology        ,Tech,428
CHEST SINGLE VIEW             ,UHHS JMC,51718,Detroit Road Radiology        ,Tech,316
CLAVICLE - BILATERAL          ,UHHS JMC,51718,Detroit Road Radiology        ,Tech,716
CLAVICLE UNI                  ,UHHS JMC,51718,Detroit Road Radiology        ,Tech,358
COMP ABD SERIES W 1VW CHEST   ,UHHS JMC,51718,Detroit Road Radiology        ,Tech,"1,057.00"
ELBOW AP & LAT OR 2 VIEWS BIL ,UHHS JMC,51718,Detroit Road Radiology        ,Tech,790
ELBOW AP & LAT OR 2 VIEWS UNI ,UHHS JMC,51718,Detroit Road Radiology        ,Tech,395
ELBOW COMP MINIMUM 3VWS UNI   ,UHHS JMC,51718,Detroit Road Radiology        ,Tech,508
ELBOW COMP.MINIMUM 3VWS BIL   ,UHHS JMC,51718,Detroit Road Radiology        ,Tech,"1,015.00"
EYE FOR FB - BILAT            ,UHHS JMC,51718,Detroit Road Radiology        ,Tech,734
EYE FOR FB UNI                ,UHHS JMC,51718,Detroit Road Radiology        ,Tech,367
FACIAL BONE <3 VIEWS          ,UHHS JMC,51718,Detroit Road Radiology        ,Tech,488
FACIAL BONES COMPLETE         ,UHHS JMC,51718,Detroit Road Radiology        ,Tech,640
FB INFANT/CHILD SINGLE FILM   ,UHHS JMC,51718,Detroit Road Radiology        ,Tech,331
FINGER(S)                     ,UHHS JMC,51718,Detroit Road Radiology        ,Tech,361
FINGERS BILATERAL             ,UHHS JMC,51718,Detroit Road Radiology        ,Tech,722
FOOT AP & LAT OR 2 VIEWS BILAT,UHHS JMC,51718,Detroit Road Radiology        ,Tech,811
FOOT AP & LAT OR 2 VIEWS UNI  ,UHHS JMC,51718,Detroit Road Radiology        ,Tech,406
