Charge Description,Receivable Owner,Service ID,Service Provider,Service Type,Eff Rate Amt
Admin Flu Vaccine in Clinic,UHHS UHC,11332,RBC 6th Floor Clinic,Tech,45
Aerosol  treatment,UHHS UHC,11435,RBC 6th Floor Clinic,Tech,191
Blood Occult other sources,UHHS UHC,10144,RBC 6th Floor Clinic,Tech,56
Capillary blood finger/hair/ear,UHHS UHC,22142,RBC 6th Floor Clinic,Tech,17
EKG 12 lead tracing,UHHS UHC,9142,RBC 6th Floor Clinic,Tech,289
Gardasil 1.05ml,UHHS UHC,22084,RBC 6th Floor Clinic,Tech,710
Hemoglobin A1C+,UHHS UHC,10289,RBC 6th Floor Clinic,Tech,127
Influenza virus vaccine live for intranasal use Flumist,UHHS UHC,35477,RBC 6th Floor Clinic,Tech,41
Nasal or oral vaccine administration 1st,UHHS UHC,24512,RBC 6th Floor Clinic,Tech,51
Pulse ox single determination,UHHS UHC,9263,RBC 6th Floor Clinic,Tech,222
Pulse oximetry O2 saturation multiple determinations,UHHS UHC,9264,RBC 6th Floor Clinic,Tech,338
RBC op estab patient visit level 1,UHHS UHC,24558,RBC 6th Floor Clinic,Tech,104
RBC op estab patient visit level 2,UHHS UHC,24559,RBC 6th Floor Clinic,Tech,112
RBC op estab patient visit level 3,UHHS UHC,24560,RBC 6th Floor Clinic,Tech,122
RBC op estab patient visit level 4,UHHS UHC,24561,RBC 6th Floor Clinic,Tech,138
RBC op estab patient visit level 5,UHHS UHC,24562,RBC 6th Floor Clinic,Tech,154
RBC op new patient visit level 1,UHHS UHC,24553,RBC 6th Floor Clinic,Tech,104
RBC op new patient visit level 2,UHHS UHC,24554,RBC 6th Floor Clinic,Tech,112
RBC op new patient visit level 3,UHHS UHC,24555,RBC 6th Floor Clinic,Tech,122
RBC op new patient visit level 4,UHHS UHC,24556,RBC 6th Floor Clinic,Tech,138
RBC op new patient visit level 5,UHHS UHC,24557,RBC 6th Floor Clinic,Tech,154
UA non auto wo micro,UHHS UHC,8623,RBC 6th Floor Clinic,Tech,47
Urine pregnancy test visual color (HCGU),UHHS UHC,8626,RBC 6th Floor Clinic,Tech,69
Urine pregnancy test visual color (HCGU),UHHS UHC,8626,RBC 6th Floor Clinic,Tech,69
Vaccine administration each additional,UHHS UHC,24511,RBC 6th Floor Clinic,Tech,40
Vaccine administration initial,UHHS UHC,24510,RBC 6th Floor Clinic,Tech,45
Venipuncture < 3yrs need physn skill,UHHS UHC,8369,RBC 6th Floor Clinic,Tech,109
Venipuncture VENI,UHHS UHC,8372,RBC 6th Floor Clinic,Tech,21
Aerosol  treatment,UHHS UHC,11435,RBC After Hours Clin,Tech,191
Aerosol inhalation treatment repeat same day in clinic,UHHS UHC,24493,RBC After Hours Clin,Tech,142
Bicillin 100000u,UHHS UHC,31922,RBC After Hours Clin,Tech,27
