Enc - MS DRG,Enc - MS DRG Desc,Sum of Average Charge
4,"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",132482.69
41,Periph/cranial nerve & other nerv syst proc w CC or periph neurostim,10592.2
54,Nervous system neoplasms w MCC,2577.61
57,Degenerative nervous system disorders w/o MCC,5474.51
60,Multiple sclerosis & cerebellar ataxia w/o CC/MCC,24305.35
64,Intracranial hemorrhage or cerebral infarction w MCC,41619.58
65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,168683.14
69,TRANSIENT ISCHEMIA W/O THROMBOLYTIC,99063.18
70,Nonspecific cerebrovascular disorders w MCC,8497.73
71,Nonspecific cerebrovascular disorders w CC,37730.55
89,Concussion w CC,14036.93
92,Other disorders of nervous system w CC,39951.55
100,Seizures w MCC,9209.62
149,Dysequilibrium,102410.22
151,Epistaxis w/o MCC,2524.76
152,Otitis media & URI w MCC,14985.57
153,Otitis media & URI w/o MCC,21223.38
154,"Other ear, nose, mouth & throat diagnoses w MCC",16996.82
164,Major chest procedures w CC,24277.97
166,Other resp system O.R. procedures w MCC,74344.82
175,Pulmonary embolism w MCC,217474.87
176,Pulmonary embolism w/o MCC,313704.47
177,Respiratory infections & inflammations w MCC,329397.71
178,Respiratory infections & inflammations w CC,55592.94
179,Respiratory infections & inflammations w/o CC/MCC,14254.97
180,Respiratory neoplasms w MCC,136540.08
181,Respiratory neoplasms w CC,27484.4
184,Major chest trauma w CC,75965
186,Pleural effusion w MCC,44428.71
187,Pleural effusion w CC,52803.95
188,Pleural effusion w/o CC/MCC,31892.61
189,Pulmonary edema & respiratory failure,845961.95
190,Chronic obstructive pulmonary disease w MCC,773979.18
191,Chronic obstructive pulmonary disease w CC,400994.44
192,Chronic obstructive pulmonary disease w/o CC/MCC,25231.21
193,Simple pneumonia & pleurisy w MCC,1287652.01
194,Simple pneumonia & pleurisy w CC,564028.2
195,Simple pneumonia & pleurisy w/o CC/MCC,89728.66
197,Interstitial lung disease w CC,2570.2
199,Pneumothorax w MCC,11550.77
200,Pneumothorax w CC,66084.15
201,Pneumothorax w/o CC/MCC,12045.29
202,Bronchitis & asthma w CC/MCC,101045.67
203,Bronchitis & asthma w/o CC/MCC,19783.38
205,Other respiratory system diagnoses w MCC,18089.6
206,Other respiratory system diagnoses w/o MCC,16561.65
207,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS,80172.72
207,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),163825.69
208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,321056.03
264,Other circulatory system O.R. procedures,14236.39
280,"Acute myocardial infarction, discharged alive w MCC",384450.14
281,"Acute myocardial infarction, discharged alive w CC",200918.93
282,"Acute myocardial infarction, discharged alive w/o CC/MCC",29071.96
283,"Acute myocardial infarction, expired w MCC",26904.95
287,"Circulatory disorders except AMI, w card cath w/o MCC",29440.66
291,Heart failure & shock w MCC,1222759.48
291,HEART FAILURE & SHOCK W MCC OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),398226.08
292,Heart failure & shock w CC,359652.3
293,Heart failure & shock w/o CC/MCC,22530.36
296,"CARDIAC ARREST, UNEXPLAINED W MCC OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO)",30909.99
299,Peripheral vascular disorders w MCC,10496.5
300,Peripheral vascular disorders w CC,31157.64
304,Hypertension w MCC,85449.34
305,Hypertension w/o MCC,109155.59
306,Cardiac congenital & valvular disorders w MCC,31472.69
307,Cardiac congenital & valvular disorders w/o MCC,8217.3
308,Cardiac arrhythmia & conduction disorders w MCC,367290.69
309,Cardiac arrhythmia & conduction disorders w CC,509270.5
310,Cardiac arrhythmia & conduction disorders w/o CC/MCC,160821.34
312,Syncope & collapse,180312.93
313,Chest pain,26963.43
315,Other circulatory system diagnoses w CC,18941.63
316,Other circulatory system diagnoses w/o CC/MCC,8202.4
329,Major small & large bowel procedures w MCC,285210.02
330,Major small & large bowel procedures w CC,218736.61
331,Major small & large bowel procedures w/o CC/MCC,194544.94
343,Appendectomy w/o complicated principal diag w/o CC/MCC,22680.05
345,Minor small & large bowel procedures w CC,19572.66
346,Minor small & large bowel procedures w/o CC/MCC,15714.09
350,Inguinal & femoral hernia procedures w MCC,57281.21
371,Major gastrointestinal disorders & peritoneal infections w MCC,38593.53
372,Major gastrointestinal disorders & peritoneal infections w CC,107260.76
373,Major gastrointestinal disorders & peritoneal infections w/o CC/MCC,69959.39
374,Digestive malignancy w MCC,23187.83
375,Digestive malignancy w CC,95413.82
377,G.I. hemorrhage w MCC,194122.36
378,G.I. hemorrhage w CC,535364.54
379,G.I. hemorrhage w/o CC/MCC,36928.2
381,Complicated peptic ulcer w CC,7798.92
386,Inflammatory bowel disease w CC,43030.2
388,G.I. obstruction w MCC,46107.68
389,G.I. obstruction w CC,325776.92
390,G.I. obstruction w/o CC/MCC,109059.39
391,"Esophagitis, gastroent & misc digest disorders w MCC",92076.96
392,"Esophagitis, gastroent & misc digest disorders w/o MCC",536380.9
393,Other digestive system diagnoses w MCC,12932.28
