Charge Description,Receivable Owner,Service ID,Service Provider,Service Type,Eff Rate Amt
Abdom Paracentesis(diag/ther) wo imag,UHHS PMC,33815,PMC 1 Heart Center,Tech,"1,420.00"
Admin influenza virus vaccine Nurse Unit,UHHS PMC,9362,PMC 1 Heart Center,Tech,45
Admin pneumococcal vaccine Nurse Unit,UHHS PMC,9363,PMC 1 Heart Center,Tech,45
Administration of Hep B nursing units,UHHS PMC,33570,PMC 1 Heart Center,Tech,40
Bladder indwelling catheter insert foley,UHHS PMC,9472,PMC 1 Heart Center,Tech,306
Bladder irrigation simple/lavage/instillation,UHHS PMC,22195,PMC 1 Heart Center,Tech,409
Bladder straight catheterization for residual urine,UHHS PMC,21233,PMC 1 Heart Center,Tech,230
Bone marrow aspiration only,UHHS PMC,8400,PMC 1 Heart Center,Tech,"1,073.00"
Bone marrow biopsy needle or trocar,UHHS PMC,8401,PMC 1 Heart Center,Tech,907
Cardioversion External OR/Nurse Unit,UHHS PMC,15668,PMC 1 Heart Center,Tech,"2,413.00"
CRRT Per Day,UHHS PMC,39287,PMC 1 Heart Center,Tech,"2,283.00"
Diagnostic bone marrow biopsy(ies) and aspirations,UHHS PMC,53667,PMC 1 Heart Center,Tech,"3,292.00"
Direct Refer to Observation,UHHS PMC,39794,PMC 1 Heart Center,Tech,546
EKG 12 lead tracing,UHHS PMC,9142,PMC 1 Heart Center,Tech,289
Extend Recovery in ICU 1st hr,UHHS PMC,18076,PMC 1 Heart Center,Tech,"1,938.00"
ICU Observation 1st hour,UHHS PMC,12850,PMC 1 Heart Center,Tech,"1,875.00"
ICU Room Rate 201 202 208 210,UHHS PMC,12846,PMC 1 Heart Center,Tech,"3,749.00"
Insert nontunnel/PICC CV Cath 5 & >,UHHS PMC,16355,PMC 1 Heart Center,Tech,"2,687.00"
Insert/placemnt flow direct cath monitor,UHHS PMC,9160,PMC 1 Heart Center,Tech,"4,349.00"
Miscellaneous bedside procedure,UHHS PMC,18082,PMC 1 Heart Center,Tech,"1,119.00"
Spinal puncture lumbar diag,UHHS PMC,8477,PMC 1 Heart Center,Tech,"1,265.00"
Tube thoracostomy (eg for abscess  hemothorax  empyema),UHHS PMC,8317,PMC 1 Heart Center,Tech,"1,410.00"
Abdom Paracentesis(diag/ther) wo imag,UHHS PMC,33815,PMC 1 ICU,Tech,"1,420.00"
Admin influenza virus vaccine Nurse Unit,UHHS PMC,9362,PMC 1 ICU,Tech,45
Admin pneumococcal vaccine Nurse Unit,UHHS PMC,9363,PMC 1 ICU,Tech,45
Administration of Hep B nursing units,UHHS PMC,33570,PMC 1 ICU,Tech,40
Bladder indwelling catheter insert foley,UHHS PMC,9472,PMC 1 ICU,Tech,306
Bladder irrigation simple/lavage/instillation,UHHS PMC,22195,PMC 1 ICU,Tech,409
Bladder straight catheterization for residual urine,UHHS PMC,21233,PMC 1 ICU,Tech,230
Bone marrow aspiration only,UHHS PMC,8400,PMC 1 ICU,Tech,"1,073.00"
Bone marrow biopsy needle or trocar,UHHS PMC,8401,PMC 1 ICU,Tech,907
Cardioversion External OR/Nurse Unit,UHHS PMC,15668,PMC 1 ICU,Tech,"2,413.00"
CRRT Per Day,UHHS PMC,39287,PMC 1 ICU,Tech,"2,283.00"
Diagnostic bone marrow biopsy(ies) and aspirations,UHHS PMC,53667,PMC 1 ICU,Tech,"3,292.00"
Direct Refer to Observation,UHHS PMC,39794,PMC 1 ICU,Tech,546
EKG 12 lead tracing,UHHS PMC,9142,PMC 1 ICU,Tech,289
Extend Recovery in ICU 1st hr,UHHS PMC,18076,PMC 1 ICU,Tech,"1,938.00"
ICU Observation 1st hour,UHHS PMC,12850,PMC 1 ICU,Tech,"1,875.00"
ICU Room Rate 201 202 208 210,UHHS PMC,12846,PMC 1 ICU,Tech,"3,749.00"
Insert nontunnel/PICC CV Cath 5 & >,UHHS PMC,16355,PMC 1 ICU,Tech,"2,687.00"
Insert/placemnt flow direct cath monitor,UHHS PMC,9160,PMC 1 ICU,Tech,"4,349.00"
Miscellaneous bedside procedure,UHHS PMC,18082,PMC 1 ICU,Tech,"1,119.00"
Spinal puncture lumbar diag,UHHS PMC,8477,PMC 1 ICU,Tech,"1,265.00"
Tube thoracostomy (eg for abscess  hemothorax  empyema),UHHS PMC,8317,PMC 1 ICU,Tech,"1,410.00"
Abdom Paracentesis(diag/ther) wo imag,UHHS PMC,33815,PMC 2 Surgical,Tech,"1,420.00"
Admin influenza virus vaccine Nurse Unit,UHHS PMC,9362,PMC 2 Surgical,Tech,45
Admin pneumococcal vaccine Nurse Unit,UHHS PMC,9363,PMC 2 Surgical,Tech,45
Administration of Hep B nursing units,UHHS PMC,33570,PMC 2 Surgical,Tech,40
Bladder indwelling catheter insert foley,UHHS PMC,9472,PMC 2 Surgical,Tech,306
Bladder irrigation simple/lavage/instillation,UHHS PMC,22195,PMC 2 Surgical,Tech,409
