DESCRIPTION,CHARGE
"17 HYDROXYPROGESTER, SER",641
24 HR URINE CHLORIDE,118
24 HR URINE COPPER,289
24 HR. URINE/CITRIC ACID,657
3-D TUMOR LOCAL,"5,000"
3D W/INTERP&POSTPROC-SAME WRKST,906
3D W/INTRP&POSTPROC-REQ.DIFF.WKST,"1,768"
"A-AUGMENTIN SUSP, 600MG/5ML",19
"ABACAVIR SOLN, 20 MG/ML (240ML",4
"ABACAVIR TAB, 300MG",57
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,171
"ABATACEPT, PER 10 MG, INJ (250MG)",266
"ABCIXIMAB INJ, 10MG/5ML","8,332"
ABD PARACENTESIS W/IMAGING,"2,758"
ABD PARACENTESIS W/O IMAGING GUID,"1,581"
ABD.ACUTE(SUP/ER-DECUB)W/1V CHEST,833
ABDOMEN RETROPERT COM,"2,126"
ABDOMEN RETROPERT LTD,"1,457"
ABDOMEN XRAY 1 VIEW,490
ABDOMEN XRAY 2 VIEWS,612
ABDOMEN XRAY 3 OR MORE VIEWS,719
"ABDOMEN,COMPLETE","2,125"
"ABDOMEN,LIMITED","1,689"
ABDOMEN-2 VIEWS,609
ABDOMEN-SINGLE AP,616
ABDOMINAL AORTOGRAPHY/RADIOL S&I,"4,949"
ABG ARTERIAL BLOOD GAS,338
ABLAT.PROBE HIPVAC 50IFS 72290004,"2,773"
ABLATE ARRHYTHMIA ADD ON-8246,"13,801"
ABLATION PROBE-CERTUS-LK/LN/PR/SR,"7,425"
"ABLATION, AVN","8,035"
"ABSORBABLE GELATIN FILM, (10X12.5","7,996"
A-C JOINTS BILAT,265
ACCOLADE C DISTAL SPACER 10596715,473
ACCULIF CAGE 6-9X11X34 305006,"32,926"
ACET REV SHELL 64MM 00700006420,"19,395"
ACET REV SYS CAGE RT 00713506254,"2,831"
ACET REV SYSTCROSSLINK00710506236,"10,695"
ACETAMINOPHEN 120MG SUPP,3
ACETAMINOPHEN 325MG SUPP,4
ACETAMINOPHEN 325MG TAB,0
ACETAMINOPHEN 325MG/10ML ELIX,20
ACETAMINOPHEN 500MG TAB,0
ACETAMINOPHEN 650MG SUPP,3
ACETAMINOPHEN 80MG CHEW TAB,0
ACETAMINOPHEN ASSAY,374
ACETAMINOPHEN ELIX 640MG/20ML,14
ACETAMINOPHEN SUPP 80MG,5
"ACETAMINOPHEN SUPP, 650MG",164
"ACETAMINOPHEN SUSP, 160MG/5ML",9
"ACETAMINOPHEN,@ 10MG,INJ (1000MG)",2
ACETAZOLAMIDE 500MG CAP SEQUEL,24
